date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,people_vaccinated_per_hundred,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,diabetes_prevalence,life_expectancy,human_development_index,population
2020-03-11,1.9685984970911519,0.05920792421218909,0.02565797879546411,1.0000000000000038,0.0,0.0,15.679855627828115,0.22000000000000086,1.8700000000000077,500.00000000000193,0.47000000000000164,18.78159601414302,36.200000000000145,10.550000000000042,73.40000000000032,0.8000000000000032,107135.00000000041
2020-03-12,1.961904593568205,0.08196250424511486,0.037714395538097856,1.0000000000000042,0.0,0.0,15.626531992364319,0.22000000000000097,1.870000000000008,500.00000000000216,0.47000000000000186,19.528817582908296,36.20000000000016,10.550000000000047,73.40000000000035,0.8000000000000034,107135.00000000045
2020-03-13,1.9698124141483606,0.11169812252772782,0.053250890383373134,1.0000000000000044,0.0,0.0,15.689525691105839,0.22000000000000103,1.8700000000000085,500.0000000000023,0.47000000000000197,20.419435262165095,36.20000000000017,10.55000000000005,73.40000000000036,0.8000000000000036,107135.00000000048
2020-03-14,2.0005493558601417,0.14723513035733465,0.07259201394137618,1.0000000000000047,0.0,0.0,15.934376168781888,0.22000000000000108,1.870000000000009,500.0000000000024,0.4700000000000021,21.448508250114482,36.20000000000018,10.550000000000052,73.40000000000038,0.8000000000000038,107135.00000000051
2020-03-15,2.061497989745788,0.18655756948745844,0.09582523217548938,1.0000000000000049,0.0,0.0,16.41989298631495,0.22000000000000114,1.8700000000000094,500.0000000000025,0.4700000000000022,22.60025061227885,36.20000000000019,10.550000000000054,73.40000000000039,0.800000000000004,107135.00000000052
2020-03-16,2.157338747642247,0.22828275371546505,0.1238294929745391,1.000000000000005,0.0,0.0,17.183355421701332,0.2200000000000012,1.8700000000000094,500.0000000000026,0.4700000000000023,23.854242581057918,36.200000000000195,10.550000000000056,73.4000000000004,0.800000000000004,107135.00000000054
2020-03-17,2.292228365838347,0.27287657724522896,0.156692255477511,1.000000000000005,0.0,0.0,18.25787645638592,0.2200000000000012,1.8700000000000094,500.0000000000026,0.4700000000000023,25.184383293259543,36.2000000000002,10.550000000000058,73.4000000000004,0.800000000000004,107135.00000000055
2020-03-18,2.468961190345151,0.3175210399151764,0.19361292140774583,1.000000000000005,0.0,0.0,19.665719721087143,0.2200000000000012,1.8700000000000094,500.0000000000026,0.4700000000000023,26.57805136781154,36.2000000000002,10.550000000000058,73.4000000000004,0.800000000000004,107135.00000000055
2020-03-19,2.688340155848719,0.3594562291930087,0.2331959547920736,1.000000000000005,0.0,0.0,21.41328720516575,0.2200000000000012,1.8700000000000094,500.0000000000026,0.4700000000000023,28.020912475438532,36.2000000000002,10.550000000000058,73.4000000000004,0.800000000000004,107135.00000000055
2020-03-20,2.9487050199246827,0.3959657982683836,0.2736707217501644,1.000000000000005,0.0,0.0,23.487360038651346,0.2200000000000012,1.8700000000000094,500.0000000000026,0.4700000000000023,29.497197284827166,36.2000000000002,10.550000000000058,73.4000000000004,0.800000000000004,107135.00000000055
