date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,weekly_hosp_admissions,total_boosters_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2020-03-11,0.0,0.0,0.0,0.0,5.8856228422266765,404.0000000000016,109.89936504301966,4.930000000000018,2.9900000000000118,12664.000000000051,12664.000000000051,0.23000000000000093,5466000.0000000205
2020-03-12,0.0,0.0,0.0,0.0,5.9184349726525625,404.00000000000176,115.59393225840418,4.930000000000021,2.9900000000000126,12664.000000000055,12664.000000000055,0.23000000000000104,5466000.000000023
2020-03-13,0.0,0.0,0.0,0.0,6.033719571441596,404.0000000000019,122.4514123482959,4.930000000000023,2.9900000000000135,12664.000000000058,12664.000000000058,0.2300000000000011,5466000.000000025
2020-03-14,0.0,0.0,0.0,0.0,6.2725424258339535,404.000000000002,130.74340735430553,4.930000000000024,2.9900000000000144,12664.000000000062,12664.000000000062,0.23000000000000115,5466000.000000026
2020-03-15,0.0,0.0,0.0,0.0,6.690880639672825,403.8651260504222,140.7788063237449,4.930000000000025,2.9900000000000153,12664.000000000065,12664.000000000065,0.2300000000000012,5466000.000000027
2020-03-16,0.0,0.0,0.0,0.0,7.348380259974411,403.53855042017017,152.92193602916964,4.930000000000025,2.9900000000000153,12664.000000000065,12664.000000000065,0.23000000000000123,5466000.000000028
2020-03-17,0.0,0.0,0.0,0.0,8.311285194980822,403.0513271654837,167.60265111690015,4.930000000000025,2.9900000000000153,12664.000000000065,12664.000000000065,0.23000000000000126,5466000.000000029
2020-03-18,0.0,0.0,0.0,0.0,9.632413476067567,402.4601178692653,185.2839695917155,4.930000000000025,2.9900000000000153,12664.000000000065,12664.000000000065,0.23000000000000126,5466000.000000029
2020-03-19,0.0,0.0,0.0,0.0,11.385299118039708,402.0142060490083,206.43736310199643,4.930000000000025,2.9900000000000153,12664.000000000065,12664.000000000065,0.23000000000000126,5466000.000000029
2020-03-20,0.0,0.0,0.0,0.0,13.653292373436077,402.07694412951696,231.61069847387978,4.930000000000025,2.9900000000000153,12664.000000000065,12664.000000000065,0.23000000000000126,5466000.000000029
