date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,median_age,aged_70_older,population,excess_mortality_cumulative,excess_mortality
2021-08-13,19517.01447336279,4.914697224465662,4.2228372474701255,174.19094824832277,0.051952282363496936,0.027691158897801108,63931.94106541359,570.5963102570772,20.100000000000104,2.4100000000000126,326113.00000000175,25.188433034727865,19.09411957824197
2021-08-14,19522.395648170146,5.381174825265869,4.453113714529557,174.2490935391835,0.05829194286505979,0.03494257731814729,63949.568276597456,570.7870268104558,20.100000000000104,2.4100000000000126,326113.00000000175,25.15075480190243,20.193183113361073
2021-08-15,19528.313591331258,5.917943174540879,4.736069448793104,174.31182015438787,0.06283660420761847,0.04199652574879155,63968.953710841844,570.9927701078427,20.100000000000104,2.4100000000000126,326113.00000000175,25.121059475699646,21.318808249540492
2021-08-16,19534.773137907003,6.459546585818404,5.085632403336918,174.37798276284997,0.06624510021453749,0.04852454363286073,63990.113157727465,571.2097834632358,20.100000000000104,2.4100000000000126,326113.00000000175,25.099051232501985,22.458594944196683
2021-08-17,19541.824536688197,7.051398788749723,5.506380572703085,174.44693245028895,0.0690115562533402,0.0543210095346004,64013.211202006096,571.4359384377638,20.100000000000104,2.4100000000000126,326113.00000000175,25.084243752661685,23.6080313268104
2021-08-18,19549.510887971897,7.686351289364504,5.993939598887375,174.51729371392898,0.07040766525076803,0.05914120963963819,64038.389030302336,571.6667233822991,20.100000000000104,2.4100000000000126,326113.00000000175,25.076003827516892,24.764797366194735
2021-08-19,19557.853931977657,8.343044010009818,6.5370834968384575,174.5873077127256,0.0700488000046566,0.06275635971841653,64065.71787437519,571.8963692981989,20.100000000000104,2.4100000000000126,326113.00000000175,25.073532213143935,25.925511366906072
2021-08-20,19566.84339015974,8.989458185270792,7.119310198582315,174.65508970503572,0.06780809321616221,0.06499487159876725,64095.164093564286,572.1186942328613,20.100000000000104,2.4100000000000126,326113.00000000175,25.07588205301525,27.08394364153383
2021-08-21,19576.428971191257,9.585581033911094,7.720023211315547,174.71882212687012,0.06375199751393168,0.06577330302034251,64126.5629866245,572.3277365763921,20.100000000000104,2.4100000000000126,326113.00000000175,25.0820054773365,28.230330564899297
2021-08-22,19586.514375452294,10.085404262828295,8.315417860975362,174.7768994005827,0.05809195547222969,0.06511957002543797,64159.59915060195,572.5182300341048,20.100000000000104,2.4100000000000126,326113.00000000175,25.090821334893164,29.347923278431804
