date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,total_deaths_per_million,reproduction_rate,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,total_vaccinations_per_hundred,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,population,excess_mortality_cumulative,excess_mortality
2022-07-10,30442173.17271775,111802.76731435169,102407.73423352835,150331.00863291032,51.892748306194036,45.879422774692124,59.55996894697479,2338.782927944676,1.2336697841698938,1030.908210515564,17507.082473594717,713.7749866671643,8130.524015645855,216.54773004190588,179493.98699862155,201651.23995759134,0.2299365303477126,4.401387611184454,80.42711014536303,94684.7790631945,91789.92674828501,1.3165818802748182e-18,18.802811778730202,35.600000000000186,42.00000000000021,67813000.00000036,5.901103736747968,3.603169933740854
2022-07-11,30555221.380992785,113048.20827503348,105622.30032511409,150385.12615794086,54.11752503055058,47.64059358392802,59.69337974836951,2339.6247305415745,1.2110947751022119,1049.232984001736,17773.000866185073,735.0011656629471,8369.070387300015,216.68639417008518,179477.24024896638,201661.1799681938,0.2299523977607848,4.401040708388346,80.42907646810448,94102.91912286464,92986.2425563658,9.874364102061136e-19,18.802231005993377,35.600000000000186,42.00000000000021,67813000.00000036,5.900623051429763,4.261393587529769
2022-07-12,30669158.709177084,113937.32818429725,108332.29753439811,150441.68813817145,56.56198023057301,49.650083196995865,59.82531034456745,2340.5046188499464,1.1884131950952448,1068.075335932784,18039.317617964625,755.5273771560672,8591.548653435593,216.82346611883764,179464.68018672505,201668.63497614564,0.22996429832058893,4.400780531291265,80.43103634267511,93020.90196335095,93582.87461281425,7.405773076545851e-19,18.801719634585556,35.600000000000186,42.00000000000021,67813000.00000036,5.901475853536779,5.028599789409919
2022-07-13,30783390.266433604,114231.55725651656,110463.48648919564,150501.05438740383,59.3662492323998,51.908262139182014,59.95528123935651,2341.428186826539,1.1658764767997805,1087.283796713649,18304.19842678959,775.2493467002771,8797.139447413489,216.95846917542463,179455.26014004403,201674.22623210953,0.22997322374044202,4.400585398468455,80.43299267394245,91603.86688944933,93626.45332548024,5.554329807409388e-19,18.80128649387714,35.600000000000186,42.00000000000021,67813000.00000036,5.9036960719791685,5.8976405106325736
2022-07-14,30897211.63907864,113821.37264503787,111954.07549650258,150563.58833418592,62.53394678208922,54.403102228174575,60.08303655976957,2342.4010787107286,1.1435951404052667,1106.794683346486,18565.84578195389,794.1426822941166,8985.12496371139,217.09114713043755,179448.1951050333,201678.41967408243,0.22997991780533183,4.400439048851347,80.43494360047957,90012.89186068764,93188.7714259138,4.165747355557041e-19,18.80093578184938,35.600000000000186,42.00000000000021,67813000.00000036,5.907280549690359,6.856127765004178
2022-07-15,31009905.67578607,112694.03670743725,112770.74559425816,150629.55463137655,65.96629719063941,57.10925879782785,60.20832493113948,2343.42739759155,1.1215599622852055,1126.4507798013983,18821.886695870744,812.1389606540082,9154.39735885337,217.22123817588277,179442.8963287752,201681.5647555621,0.2299849383539992,4.400329286638517,80.43688530216974,88251.76367573562,92340.73186613878,3.124310516667781e-19,18.800666606910653,35.600000000000186,42.00000000000021,67813000.00000036,5.912180307918346,7.885389906770971
2022-07-16,31120815.076490533,110909.40070446301,112920.66934016695,150699.0423633193,69.48773194275341,59.98738236598572,60.33086554709419,2344.508511832968,1.0997244319595423,1145.9467629376697,19069.63447891666,828.9616865538558,9303.00842637986,217.34847145673464,179438.92224658164,201683.92356667185,0.22998870376549974,4.400246964978893,80.43880150086788,86303.29289254843,91140.10382849886,2.3432328875008357e-19,18.800472644258647,35.600000000000186,42.00000000000021,67813000.00000036,5.9182990733988285,8.960647506724289
2022-07-17,31229396.834064774,108581.75757424269,112460.52490331541,150771.9074512227,72.86508790341294,62.983602385349116,60.450443924380195,2345.642159892829,1.0780791998584753,1164.8503921773977,19305.787429969685,844.2627484318766,9428.50761260973,217.47263623637804,179435.94168493646,201685.6926750042,0.22999152782412513,4.400185223734176,80.44067917994965,84207.39803075597,89643.332961872,1.757424665625627e-19,18.800341878151997,35.600000000000186,42.00000000000021,67813000.00000036,5.925497252689725,10.052103911971392
2022-07-18,31335709.729023088,106312.89495831629,111498.33706145568,150847.7143311451,75.80687992238853,66.0822577036855,60.566951236756466,2346.82153944128,1.0566550689307035,1182.709772155028,19526.641574416528,857.6929889257187,9528.94518909532,217.59361227747775,179433.7062637026,201687.01950625342,0.22999364586809418,4.400138917800637,80.44252037397334,82036.07995487057,87919.49547124252,1.3180684992192203e-19,18.800256408614025,35.600000000000186,42.00000000000021,67813000.00000036,5.933599991876708,11.126875468376937
2022-07-19,31439396.21236206,103686.48333897007,110033.93039402338,150926.52875094468,78.81441979958079,69.26135649689803,60.68048637520803,2348.0476654083714,1.0355129565138015,1199.1212754640428,19729.312628776224,869.0339789276452,9604.106807141477,217.71151302194184,179432.02969777718,201688.01462969033,0.22999523440107095,4.400104188350484,80.44432741687314,79947.01460416208,86051.79290272095,9.885513744144152e-20,18.809885583771468,35.600000000000186,42.00000000000021,67813000.00000036,5.942404698866445,12.145948999011047
2022-07-20,31539965.686647154,100569.47428509388,108082.20396261528,151008.3362690911,81.80751814638901,72.46743495509122,60.79130369543326,2349.3203115966826,1.0146237283743635,1213.8245054021709,19911.98587752919,878.141111215774,9654.444730436924,217.82660373866094,179430.7722733331,201688.760972268,0.22999642580080354,4.40007814126287,80.44610448314623,78044.61946960518,84114.75424394451,7.414135308108114e-20,18.82841628866896,35.600000000000186,42.00000000000021,67813000.00000036,5.951687770155937,13.06844841700233
2022-07-21,31636946.71220584,96981.02555868155,105676.43977512902,151093.01075062266,84.67448153157599,75.63055843997722,60.89965828224083,2350.637519411801,0.9938385137985503,1226.5906802798136,20073.3997507455,884.7253389063372,9679.628150284074,217.939161918411,179429.82920500007,201689.3207292013,0.22999731935060297,4.400058605947158,80.4478587437431,76337.05080129902,82161.0611419113,5.560601481081086e-20,18.84840368385792,35.600000000000186,42.00000000000021,67813000.00000036,5.9612189627171555,13.856403204893242
2022-07-22,31730001.161772393,93054.4495665549,102870.78413386791,151180.2907391146,87.27998849192711,78.67557235293067,61.00581610987075,2351.995229410179,0.9729802104943568,1237.1364168032685,20211.64625779089,888.5717352721912,9679.291345421538,218.04947518800054,179429.1219037503,201689.74054690124,0.22999798951295256,4.400043954460374,80.44957650771047,74826.39584176298,80243.1509469313,4.1704511108108146e-20,18.858671864380213,35.600000000000186,42.00000000000021,67813000.00000036,5.970776097557314,14.479057725029268
2022-07-23,31819009.83647155,89008.67469915675,99742.10864661954,151269.76173565484,89.47099654024476,81.53054028602975,61.10995662021827,2353.3870049600296,0.9518909432618483,1245.2557709088526,20324.782624823478,889.6609443112875,9653.602364916198,218.15774730890632,179428.59142781293,201690.05541017622,0.22999849213471474,4.400032965845287,80.45125364775129,73445.62572747617,78406.34081200854,3.127838333108111e-20,18.846489354005936,35.600000000000186,42.00000000000021,67813000.00000036,5.980160012035849,14.915857011566786
