date,total_cases,new_cases,new_deaths,total_deaths,total_boosters_per_hundred,reproduction_rate,new_tests,positive_rate,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,population
2021-06-28,170093.3426999644,1829.1473051403846,12.457560240293258,1165.708961166651,7.950000000000042,1.2913790107526277,32055.55507624451,0.06322420533223509,16.338298810997816,132898.4081723376,138441.0867523035,0.41645737499937324,73.58207062345409,43.10000000000022,11212198.000000056
2021-06-29,171998.6772253614,1905.3345253969849,12.586399010213496,1178.2953601768645,7.950000000000042,1.305867645265507,32643.446769368304,0.06509349336569226,15.952701160607788,131647.69683707497,136717.48180630925,0.41398912045444325,73.20572038840514,43.10000000000022,11212198.000000056
2021-06-30,173999.0587270368,2000.3815016754083,12.745132160051865,1191.0404923369165,7.950000000000042,1.319615504472726,33199.590830096735,0.06717451562866489,15.525425999738342,130834.58618630673,135087.85821963192,0.4094005345877625,72.87434458994649,43.10000000000022,11212198.000000056
2021-07-01,176116.97542860042,2117.9167015636053,12.948587323012415,1203.9890796599288,7.950000000000042,1.3325897796150508,33740.24519109231,0.06942080268788534,15.067935046022262,130310.05971083559,133633.16260460776,0.4025463608632529,72.59366406624795,43.10000000000022,11212198.000000056
2021-07-02,178373.03218554234,2256.0567569419386,13.199158656448082,1217.188238316377,7.950000000000042,1.3446721343234425,34287.35543501288,0.07175548566168011,14.597037257367393,129996.29764350179,132412.1818435659,0.3932539852563607,72.36639866377786,43.10000000000022,11212198.000000056
2021-07-03,180781.8166084524,2408.784422910078,13.489915210823476,1230.6781535272005,7.950000000000042,1.3557332539423252,34821.56226145687,0.07410362135679671,14.129520024473528,129869.32636772672,131453.85454686335,0.38151531117885795,72.19197029712244,43.10000000000022,11212198.000000056
2021-07-04,183348.79865543457,2566.982046982175,13.806932206436954,1244.4850857336376,7.950000000000042,1.365593734897599,35334.021582970534,0.07639332687732615,13.681293218096599,129754.52470468986,130756.43001809856,0.36757636702990987,72.06628024385033,43.10000000000022,11212198.000000056
2021-07-05,186039.05406591366,2690.2554104790397,13.78061932289496,1258.2657050565324,7.950000000000042,1.3740815325888442,35817.440379212436,0.07855824661242267,13.26585679140052,129451.43378385047,130264.5762789264,0.3520387717171645,71.98154211566096,43.10000000000022,11212198.000000056
2021-07-06,188862.8899030231,2823.835837109446,13.80458213923006,1272.0702871957624,7.950000000000042,1.3810020027060177,36268.4172591993,0.08055313874082973,12.89402898656915,128868.06106833406,129867.91516006764,0.3358629507982164,71.92615658674582,43.10000000000022,11212198.000000056
2021-07-07,191844.19612797868,2981.306224955554,14.103889093110347,1286.1741762888728,7.950000000000042,1.3861626203229864,36689.68236909248,0.08234245586557717,12.573362722473743,127898.16931450219,129448.75199707095,0.3202587192395806,71.88461744005946,43.10000000000022,11212198.000000056
