date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,population_density,male_smokers,population
2021-10-15,6.963536384323858,0.20392372580288726,0.2012087674566212,6.000000000000032,0.0,391.5596508905304,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-10-16,7.155166832522154,0.19163057715759554,0.20320424850778618,6.000000000000032,0.0,402.3350309927206,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-10-17,7.3297235406812185,0.17455680487853942,0.20089979271568154,6.000000000000032,0.0,412.1503546925049,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-10-18,7.483378628361604,0.15365516021999065,0.19420991241006458,6.000000000000032,0.0,420.79038027277295,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-10-19,7.613503589887891,0.13012501593099177,0.18301490037089707,6.000000000000032,0.0,428.10730685939615,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-10-20,7.718854259966027,0.10535071088166338,0.16771140152251687,6.000000000000032,0.0,434.0311750378897,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-10-21,7.799709537896316,0.08085530853293468,0.1490833248975439,6.000000000000032,0.0,438.5776673159098,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-10-22,7.857975430733172,0.06064148139970101,0.1282050276098096,6.000000000000032,0.0,441.85395847012626,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-10-23,7.897263085654933,0.04548111104977576,0.10636870283405409,6.000000000000032,0.0,444.0631033063769,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-10-24,7.92294731424121,0.03411083328733182,0.08502992079069896,6.000000000000032,0.0,445.50732747978327,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-10-25,7.942210485680919,0.025583124965498864,0.06576678448442695,6.000000000000032,0.0,446.59049560983806,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-10-26,7.9566578642607,0.01918734372412415,0.04932508836332021,6.000000000000032,0.0,447.4028717073792,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-10-27,7.967493398195536,0.014390507793093112,0.036993816272490154,6.000000000000032,0.0,448.01215378053496,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-10-28,7.975620048646663,0.010792880844819833,0.027745362204367616,6.000000000000032,0.0,448.46911533540185,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-10-29,7.981715036485008,0.008094660633614876,0.020809021653275712,6.000000000000032,0.0,448.81183650155197,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-10-30,7.986286277363767,0.006070995475211157,0.015606766239956785,6.000000000000032,0.0,449.06887737616455,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-10-31,7.989714708022836,0.0045532466064083675,0.011705074679967589,6.000000000000032,0.0,449.26165803212405,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
