date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters,total_boosters_per_hundred,reproduction_rate,icu_patients,hosp_patients,weekly_hosp_admissions,total_tests,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,female_smokers,hospital_beds_per_thousand,population,excess_mortality_cumulative,excess_mortality
2021-05-02,648702.521210169,1867.3947398996488,1947.583804082658,10130.325868416181,8.427727119211317,8.068445489348997,122.38762959371492,0.010000000000000054,0.9910011714605247,240.6152545310057,1037.3042176089548,464.2168852475358,6483176.550071353,25905.12383961908,25998.571936969303,0.07806567576081419,12.915376957063419,20.110927196362198,56339.80761832831,53541.758229538886,0.43861051313459765,51.24657913673862,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.782896215405781,2.9552848122437507
2021-05-03,650542.0451577893,1839.5239476202787,1924.1047464039482,10138.79847371034,8.472605294159631,8.195022869435807,123.29708935753588,0.010000000000000054,0.9806534319244187,238.62496707795725,1027.6930306921731,456.1640052414055,6509094.5557338735,25918.005662519776,25963.592785952613,0.07671360717613757,13.154978095948845,20.58138786656709,57343.64102402428,54469.30126750008,0.44699634638941044,51.16743435255404,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.769153900403733,3.1123375933918864
2021-05-04,652351.0179827579,1808.972824968605,1897.716779098374,10147.29303757107,8.494563860729626,8.299845044772407,124.21465606146172,0.010000000000000054,0.9705896214546276,236.24629479780242,1016.2986676539082,446.95860509459703,6535027.545388003,25932.989654129688,25939.127734260874,0.07522024093478588,13.427046435568634,21.057818210849717,58324.489704669875,55407.429457412465,0.45491354938481865,51.1080757644156,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.755254473229675,3.293665896663029
2021-05-05,654124.6210177739,1773.6030350160488,1868.4324270839638,10155.755201578446,8.462164007376577,8.3739990065916,125.15199075327165,0.010000000000000054,0.9608942199694464,233.51781741380137,1003.1895469589199,436.6579971305799,6560971.937709402,25944.392321398853,25925.679543423554,0.07361734618266676,13.733064400044306,21.539176360141198,59261.91008716442,56355.72637554166,0.46225319694488487,51.06355682331177,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.741187022620116,3.472909665440609
2021-05-06,655857.7707245466,1733.1497067727046,1836.3548332412233,10164.115431565231,8.360229986786484,8.408901161860324,126.10993682707414,0.010000000000000054,0.9516459397023608,230.4924839394722,988.4983819386482,425.31835240514295,6586916.4469957,25944.509286298042,25923.192899325943,0.07194733413603055,14.0728477505827,22.024287570687704,60156.96233266493,57310.791856640164,0.4688733172303191,51.0301676174839,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.72695500055084,3.6386588339451773
2021-05-07,657546.5237932493,1688.753068702672,1801.7075312011204,10172.301214915049,8.18578334981838,8.397785761505144,127.0910175847531,0.010000000000000054,0.9429387210986853,227.2557559733504,972.3351633124232,413.01859623663086,6612846.622819506,25930.17582380566,25925.145595632177,0.0702374883201872,14.442436394708217,22.51199234252777,61022.68382125057,58257.89904761918,0.47460779981672835,51.005125713112996,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.712576671504655,3.781939305453964
2021-05-08,659189.1309671098,1642.607173860555,1764.8567749360723,10180.24620853601,7.94499362096108,8.336821221581358,128.09866073219786,0.010000000000000054,0.934850776441339,223.8724569283001,954.7595334410091,399.9600202220761,6638754.030463055,25907.407643549173,25925.972432018287,0.06852895657627495,14.836125938565122,23.00119836161467,61885.23789825864,59190.642094376395,0.4793550095264125,50.98634428483482,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.698083833391177,3.8964897470438142
2021-05-09,660786.8274108537,1597.6964437438344,1726.3282859531878,10187.897099840935,7.650891304925732,8.22594736414983,129.13787725567732,0.010000000000000054,0.9274103835591891,220.40450429932812,935.9792331447529,386.3908296461956,6664644.17176456,25890.14130150484,25923.830843082917,0.06683757069658897,15.247986503051209,23.49099508666029,62787.11696603408,60111.684802844444,0.4830810599890247,50.97225821362619,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.683519242205644,3.979065320256087
2021-05-10,662347.9838903972,1561.1564795434952,1686.5614103278535,10195.227576011937,7.330476171002,8.062835280707729,130.213572776923,0.010000000000000054,0.9206185504360382,216.89723730659077,916.2943634493868,372.5900032947635,6690528.871341206,25884.6995766458,25919.07468370201,0.06516017543679217,15.672875785497867,23.98074372934561,63747.673648895405,61026.54556722715,0.48582113759034706,50.961693660219716,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.668933064491995,4.029669907789879
2021-05-11,663871.1811466288,1523.1972562316375,1645.7363106547482,10202.20402072907,6.976444717133214,7.845950636354982,131.32960427564655,0.010000000000000054,0.9144538934346575,213.39850975111335,895.9388882948629,358.896219342437,6716443.665513025,25914.79417181858,25916.4804794863,0.06349036428606222,16.10726349717126,24.470191604378343,64786.82130002006,61949.73516119938,0.4876804944338728,50.95377024516486,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.654398408582324,4.051640128229062
