date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,people_vaccinated_per_hundred,total_boosters,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2020-04-02,8720.172500264944,1080.7970565865621,827.6325912385926,278.1329128327957,44.39265833275731,29.60952477435609,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-03,9925.870066860007,1205.6987297379198,916.2133768484676,330.8570375657739,52.72468120916731,34.728268015156274,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-04,11271.34406598213,1345.4748714792665,1012.2337078141159,393.198870611306,62.342250402673926,40.62631768880749,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-05,12763.511669396124,1492.1682576818507,1116.5281123085526,465.8962117820098,72.69765418856022,47.341858176107976,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-06,14378.297746875822,1614.786568180589,1229.4740493251466,546.9198479121387,81.02387089352115,54.78575820868096,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-07,16125.40139677616,1747.1040179260071,1351.6849557075016,637.112364925702,90.19269308610741,63.00857544384115,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-08,18022.7137011051,1897.312580348193,1483.3353968064853,738.2546195249179,101.14238665362404,72.07451044519516,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-09,20088.896588046056,2066.183093955395,1624.1051185486288,852.3655929565537,114.1110724724419,82.03403183195728,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-10,22337.816978849707,2248.9205460644816,1773.1370864874282,981.1772813366802,128.81176266073115,92.90334514093645,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-11,24774.372398002874,2436.5555355987854,1929.0060150918189,1125.7408633942382,144.56363776801146,104.64899447302639,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-12,27391.360180855147,2616.987870186488,2089.694764712533,1286.1313262787128,160.39050466731464,117.17631372807317,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-13,30137.191144044773,2745.8310286902906,2251.272735945522,1458.8725735713515,172.74127862976877,130.27862637556382,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-14,33017.8874756807,2880.69638076142,2413.2146461737548,1644.7598277221496,185.88727765364558,143.94917550242295,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-15,36055.07401012193,3037.186571285356,2576.053883951587,1845.6530802292368,200.8932701342229,158.1992718983107,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-16,39275.57126389403,3220.497281405199,2740.955961767832,2063.6452885171157,217.99222150823056,173.03948495152906,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-17,42703.59021262648,3428.0189694572664,2909.3986056180574,2300.438523595339,236.79324499348746,188.46553582095157,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-18,46354.87837375565,3651.288176672788,3082.931822183813,2556.8760808025204,256.4375646436293,204.44771731497065,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-19,50232.32936855211,3877.451006454177,3262.9979492170505,2832.591562864339,275.7154876391543,220.922958800708,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-20,54268.24765666628,4035.918296857445,3447.2960966897813,3121.0263644559523,288.43480577461503,237.45089589432584,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-21,58476.12208703763,4207.874436928804,3636.8929337002764,3423.1018515578717,302.07549023917113,254.0495436078812,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-22,62898.70084129643,4422.578759176895,3834.80608085052,3742.3842102585845,319.28236105365164,270.9626281325435,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-23,67589.85856568477,4691.157728076925,4044.9004108318204,4083.516486717863,341.132278223982,288.5544260121424,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-24,72600.99671999738,5011.138157079034,4271.060273864015,4451.042617139245,367.5261317449102,307.2308935233284,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-25,77970.84383928712,5369.847121364553,4516.568666774876,4848.5254502494,397.48283410280095,327.3805137106933,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-26,83717.8057301442,5746.96189241321,4783.6416098096715,5277.885264157648,429.35981465273164,349.3299316631111,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-27,89778.38778177119,6060.5820527940805,5072.87922755765,5733.8868472779095,456.00158367862514,373.268176769312,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-28,96177.95098500341,6399.56320410753,5385.977537668893,6218.83530352567,484.94845666653265,399.392914574399,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-29,102964.42097954135,6786.469995194427,5723.676177007335,6737.089389732176,518.2540865205856,427.8173691887185,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-04-30,110188.50807466911,7224.087095620136,6085.523099626876,7293.299880049629,556.2104905530128,458.54265374997533,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-01,117888.87226479323,7700.364190493396,6469.698100253458,7891.088339255077,597.7884593821168,491.43701826981913,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-02,126080.99699109673,8192.124726580467,6872.8804568966325,8532.05620272833,640.9678636057548,526.2202855187841,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-03,134748.84446277976,8667.847471890762,7290.149662808233,9215.041586435404,682.9853838064505,562.4521779399939,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-04,143776.78832446062,9027.943861836637,7714.05833259423,9930.806012063156,715.7644257022857,599.5608359436842,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-05,153180.4790907924,9403.690766448597,8143.219258172254,10680.78159372741,749.9755817201544,637.4215582764455,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-06,163004.49926638158,9824.020175676798,8577.15485183864,11468.431153278769,787.6495595932845,675.9063627926616,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-07,173300.04712270177,10295.547856385929,9015.934825207372,12297.487634513072,829.0564812657468,714.8841360246848,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
