date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,new_tests_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,aged_70_older,median_age,aged_65_older,population
2021-07-20,12466.322303010129,25.587394364024348,15.414335310325155,125.99418959833582,0.002569511795507139,0.006606462834826254,8.160000000000043,13.000000000000068,89.6973310017795,47.52100534551303,42.17656416637121,328.15534108432985,263.53017068843997,0.07579697738231272,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-07-21,12496.084148072094,29.761845061964667,18.66327960168379,125.99564219875204,0.001927133846630354,0.00495484712611969,8.160000000000043,13.000000000000068,89.8288470716321,47.5963883821148,42.23281897157872,325.78687992443076,261.24166486183776,0.07610581319187364,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-07-22,12530.31965597975,34.235507907656505,22.2787452539455,125.9967316490642,0.0014453503849727657,0.003716135344589768,8.160000000000043,13.000000000000068,89.95864042115579,47.67049434088481,42.288623143788605,326.4978724514037,258.37745097346334,0.07596122802577346,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-07-23,12569.141244893686,38.82158891393573,26.178230724557434,125.99754873679832,0.0010840127887295744,0.0027871015084423257,8.160000000000043,13.000000000000068,90.0870570234731,47.74309403728402,42.34455246880897,330.4969431771656,255.20763574141006,0.07539836122618217,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-07-24,12612.398095919798,43.25685102611122,30.254873592868684,125.99816155259892,0.0008130095915471808,0.002090326131331744,8.160000000000043,13.000000000000068,90.21436742823843,47.81393793261725,42.40111328502631,337.0463081693431,251.96789551969718,0.07448606891575826,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-07-25,12659.618820808646,47.22072488884659,34.380652932208136,125.99862116444936,0.0006097571936603855,0.001567744598498808,8.160000000000043,13.000000000000068,90.34035260199127,47.88275936413657,42.45836052399388,345.4667406615909,248.79665531785983,0.07326888264997329,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-07-26,12710.078126595512,50.45930578686774,38.47524487045546,125.99392385653047,0.00045731789524528914,0.001175808448874106,8.160000000000043,13.000000000000068,90.46490967881527,47.9491198086013,42.5166235227089,355.87173589912413,245.78453091955228,0.07174384039730552,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-07-27,12763.722912981557,53.64478638604618,42.48348568904076,125.98451852265012,0.00034298842143396684,0.0008818563366555796,8.160000000000043,13.000000000000068,90.58806194560157,48.012705698941886,42.57623520290224,368.36828425573776,242.95245765960635,0.06994750537878078,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-07-28,12820.367669545496,56.644756563936795,46.323999366974576,125.97429710142539,0.0002572413160754751,0.0006613922524916847,8.160000000000043,13.000000000000068,90.7099332562278,48.07350955862795,42.63732475382509,382.85150407738894,240.30404912705802,0.0679460847548355,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-07-29,12879.69606566916,59.328396123663744,49.908840507777875,125.96908740266909,0.002649298149306123,0.0004960441893687635,8.160000000000043,13.000000000000068,90.83056656574348,48.131652315491166,42.69982600988515,397.87922814423064,237.80636586921108,0.06579020351441373,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-07-30,12941.26214298169,61.56607731252812,53.15822653467964,125.97552272717977,0.012329572189872337,0.0003720331420265726,8.160000000000043,13.000000000000068,90.95048762631161,48.18747498861154,42.76392286337169,412.5109671111902,235.5049521653217,0.06355079743219047,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-07-31,13004.491209692653,63.229066710963735,56.01158683701499,126.0001940815841,0.029092040163735965,0.0029226900148909755,8.160000000000043,13.000000000000068,91.07013753615271,48.24150273467139,42.82952254507246,426.1635851696355,233.44526228171623,0.06131856025901688,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-08-01,13068.680511341905,64.18930164925392,58.435849630023775,126.04901433946878,0.0521357722042501,0.009155818416145637,8.160000000000043,13.000000000000068,91.18995280736137,48.29430136688381,42.89647015164,439.35384595544315,231.80417941975549,0.05920191308372621,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-08-02,13132.956876719116,64.27636537721202,60.40986298205251,126.12422035382608,0.07769265009694991,0.02004204157552235,8.160000000000043,13.000000000000068,91.3106937587209,48.34639786312888,42.96499388177574,451.78810047606373,230.81274994943232,0.057325481354488325,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-08-03,13197.063633622096,64.10675690298021,61.90453750803269,126.22926739853068,0.10691202150936428,0.03596915238396896,8.160000000000043,13.000000000000068,91.4333515515338,48.398458842293934,43.03542971967059,464.1497157362771,230.7307809494695,0.05580584340112811,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-08-04,13260.859586884337,63.79595326223848,62.926203389589574,126.36755494450259,0.13968627857546245,0.056840956078539256,8.160000000000043,13.000000000000068,91.55856020534408,48.451138168566025,43.10778035374783,476.23796553524016,231.7020773087411,0.054722352815875244,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-08-05,13324.29871408053,63.439127196194136,63.51348108130022,126.54147099182896,0.1749650967790439,0.08215140225606044,8.160000000000043,13.000000000000068,91.68665027682655,48.504905070078976,43.18189201493385,488.4874538971753,233.79674220909334,0.054107375471635015,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-08-06,13387.41493730573,63.11622322519999,63.734934340387014,126.75167531885572,0.21099111411628077,0.11104018388338366,8.160000000000043,13.000000000000068,91.81780277980278,48.55998864957503,43.257675394523005,500.56038141620263,236.90987081325216,0.05394995629668044,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-08-07,13450.310702009698,62.895764703967956,63.68730999898783,126.99656191900621,0.24547669046762477,0.142334436555072,8.160000000000043,13.000000000000068,91.95186258905389,48.61653956410442,43.33482870167771,512.8386064672378,240.87589050489746,0.05419695332464357,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-08-08,13513.148411122678,62.83770911297928,63.49421779335861,127.2718558283951,0.2757364771267372,0.17458001293666636,8.160000000000043,13.000000000000068,92.08854351580476,48.67460842765714,43.41303331789807,526.4147014567641,245.50067999890615,0.05477748228501475,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-08-09,13576.154084683334,63.005673560655694,63.31270326098543,127.57031074653891,0.2987868439471866,0.20643048481562237,8.160000000000043,13.000000000000068,92.2277388693467,48.73426131966556,43.49213899941263,541.4928565170513,250.55141497655552,0.05564759135177019,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-08-10,13639.376423241025,63.22233855769289,63.18639719363832,127.89137236177896,0.3213105595925818,0.23731252101313932,8.160000000000043,13.000000000000068,92.36919124530901,48.79555684947775,43.5718555154505,557.5795432712197,255.69001566034206,0.05674248084414447,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-08-11,13702.836599913011,63.46017667198663,63.138498606282475,128.2341401310629,0.34295447754834774,0.2666062394993508,8.160000000000043,13.000000000000068,92.51246486255332,48.85841658668821,43.651853740660336,573.6083323079728,260.6210346928975,0.05796749411727133,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-08-12,13766.530940561797,63.694340648786444,63.17505818224912,128.59713063158762,0.3631305317229938,0.2937489588746752,8.160000000000043,13.000000000000068,92.65704057753351,48.922600874620834,43.73187164033695,588.9836032495109,265.1158729815352,0.05924178089823154,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-08-13,13830.432933928156,63.90199336635722,63.28744085711355,128.97810007453123,0.38107446634234293,0.3183130119808292,8.160000000000043,13.000000000000068,92.802381165751,48.98785999662503,43.8116294628535,603.5889413942554,268.9861452015687,0.060498077755121706,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-08-14,13894.494739230882,64.06180530272535,63.45417275660384,129.37391119035237,0.3958898833702032,0.3400641061090872,8.160000000000043,13.000000000000068,92.9477374741841,49.05379585396528,43.89078601116734,616.9824192540527,272.06842273440253,0.06167430169061416,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
2021-08-15,13958.64831686662,64.15357763573834,63.642326400032154,129.78043339276445,0.4065812780738715,0.3590050931564766,8.160000000000043,13.000000000000068,93.09230329417514,49.11992596825899,43.96903836099354,628.5643516092541,274.21608757439634,0.06270934617746297,10.070000000000054,41.70000000000023,16.370000000000083,191173.00000000105
