date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,people_vaccinated_per_hundred,total_boosters_per_hundred,total_vaccinations_per_hundred,reproduction_rate,new_tests,positive_rate,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,male_smokers,hospital_beds_per_thousand,population
2020-04-15,3390.2222032748978,298.9664373382584,230.27610878221213,42.08390111735103,3.829639599672982,43.650000000000226,0.7100000000000039,0.380000000000002,1.6761002992110319,7845.018470068659,0.04274975396643832,28.77355940608829,117876.00000000064,13492.00000000007,0.23000000000000126,91.36956218098302,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-04-16,3725.0708218162317,334.84866446135436,254.23388847095174,46.073995650553755,4.000914250498117,43.650000000000226,0.7100000000000039,0.380000000000002,1.6768843711438937,7985.7057239154365,0.047183032992605164,26.43124421519973,117876.00000000064,13492.00000000007,0.23000000000000126,91.44202457691387,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-04-17,4103.588022632381,378.5172352561651,281.8560955710553,50.25774302104404,4.19186215846183,43.650000000000226,0.7100000000000039,0.380000000000002,1.675420227291342,8133.490637474404,0.05201914287632209,24.210335229919536,117876.00000000064,13492.00000000007,0.23000000000000126,91.50816743074628,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-04-18,4531.732338887674,428.14434208530497,313.42826576361847,54.646797892803164,4.3951409627377815,43.650000000000226,0.7100000000000039,0.380000000000002,1.6713411885680562,8281.14141055572,0.057193413395121434,22.134451487080916,117876.00000000064,13492.00000000007,0.23000000000000126,91.5741178161109,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-04-19,5012.5665618580715,480.8342423429066,348.9830454765606,59.24165950557533,4.599426181006155,43.650000000000226,0.7100000000000039,0.380000000000002,1.6644184641474407,8424.366125790106,0.06264748409288287,20.218711918478125,117876.00000000064,13492.00000000007,0.23000000000000126,91.64403309382215,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-04-20,5539.256369357365,526.689822028674,388.4704823944283,64.02864281922685,4.790406739827022,43.650000000000226,0.7100000000000039,0.380000000000002,1.6545623936826577,8562.565382965735,0.06830138553249356,18.466475761741613,117876.00000000064,13492.00000000007,0.23000000000000126,91.72089392185349,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-04-21,6115.459956397479,576.2035979371498,432.03181202206633,69.01469478410351,4.988619534508283,43.650000000000226,0.7100000000000039,0.380000000000002,1.641784432624633,8698.501978400785,0.07406055757212401,16.88262669848787,117876.00000000064,13492.00000000007,0.23000000000000126,91.80709901281881,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-04-22,6746.79718126063,631.3372330359274,479.51335529967923,74.19993511522708,5.187166008347283,43.650000000000226,0.7100000000000039,0.380000000000002,1.6262214854251673,8831.88514572691,0.07981174009247388,15.466069894583434,117876.00000000064,13492.00000000007,0.23000000000000126,91.90031230098464,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-04-23,7438.566971271924,691.7697961408769,530.5020636628664,79.57596943596795,5.3774785786586605,43.650000000000226,0.7100000000000039,0.380000000000002,1.6081307229893689,8962.947230335918,0.08547144243199292,14.213044663988658,117876.00000000064,13492.00000000007,0.23000000000000126,91.99699117467202,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-04-24,8194.035377128812,755.4684104540753,584.3521778376485,85.12462413579964,5.549737893270022,43.650000000000226,0.7100000000000039,0.380000000000002,1.5878480422420287,9100.189301226419,0.09096508796491276,13.109954797280455,117876.00000000064,13492.00000000007,0.23000000000000126,92.09503265055812,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
