date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,diabetes_prevalence,hospital_beds_per_thousand,population
2020-03-11,20.88067428894643,0.7089115090114378,0.29453547723569323,2.0000000000000075,0.0,0.0,0.7357293956043982,0.8800000000000034,31.00000000000012,0.0,21.67940957084216,36.25000000000014,29.00000000000011,6.610000000000026,6.4700000000000255,0.8000000000000032,28301700.00000011
2020-03-12,20.855237455559237,0.9054554481774557,0.4254620474872106,2.0000000000000084,0.0,0.0,0.7348190247252777,0.8800000000000039,31.000000000000135,0.0,25.134788527476143,36.250000000000156,29.00000000000012,6.610000000000028,6.470000000000027,0.8000000000000034,28301700.00000012
2020-03-13,20.885287173763835,1.1198478886541028,0.57885413096124,2.000000000000009,0.0,0.0,0.7358944883241791,0.8800000000000041,31.000000000000142,0.0,28.997234414353123,36.25000000000017,29.00000000000013,6.61000000000003,6.470000000000029,0.8000000000000036,28301700.000000127
2020-03-14,21.002087552268605,1.3400313592830817,0.7504426344200268,2.0000000000000093,0.0,0.0,0.7400747123969815,0.8800000000000043,31.00000000000015,0.0,33.22727648949794,36.25000000000018,29.00000000000014,6.610000000000031,6.470000000000031,0.8000000000000038,28301700.000000134
2020-03-15,21.233692361034063,1.5504986325844865,0.9342889893896829,2.0000000000000098,0.0,0.0,0.7483637266054295,0.8800000000000046,31.000000000000156,0.0,37.758073721357526,36.250000000000185,29.000000000000142,6.610000000000033,6.470000000000033,0.800000000000004,28301700.00000014
2020-03-16,21.510660350284304,1.667608945349809,1.1168149967287544,2.00000000000001,0.0,0.0,0.7583173974104404,0.8800126050420215,31.00000000000016,0.0,42.46918085662908,36.250000000000185,29.000000000000146,6.610000000000033,6.470000000000033,0.800000000000004,28301700.00000014
2020-03-17,21.85605602547991,1.794258745211455,1.2965999353293738,2.00000000000001,0.0,0.0,0.7707577636363705,0.8800241596638703,31.000000000000163,0.0,47.24600442075244,36.250000000000185,29.00000000000015,6.610000000000033,6.470000000000033,0.800000000000004,28301700.00000014
2020-03-18,22.347455723053077,1.9696759593610833,1.4768437782585069,2.00000000000001,0.0,0.0,0.7884296672650941,0.8800260382999401,31.000000000000163,0.0,51.98651236533817,36.250000000000185,29.000000000000153,6.610000000000033,6.470000000000033,0.800000000000004,28301700.00000014
2020-03-19,23.08845216720904,2.211807712895089,1.6634961174689318,2.00000000000001,0.0012281835811247584,0.0,0.8149932265315625,0.8800133878070506,31.000000000000163,0.0,56.5853477517025,36.250000000000185,29.000000000000153,6.610000000000033,6.470000000000033,0.800000000000004,28301700.00000014
2020-03-20,24.18728288752705,2.5226405293384193,1.8638528573324713,2.00000000000001,0.006092436974789941,0.0,0.8542681907454733,0.8799841843588445,31.000000000000163,0.0,60.93639268190885,36.250000000000185,29.000000000000153,6.610000000000033,6.470000000000033,0.800000000000004,28301700.00000014
