date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,people_vaccinated_per_hundred,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,gdp_per_capita,male_smokers,life_expectancy,population
2022-04-22,1652598.3872472267,221.8120509704768,254.51603289889627,16735.171452894974,2.258793874513759,2.5756797102329845,435492.19357245637,0.6097059153431199,43.0641617842275,18593.193918686982,3521.854011260725,0.07329422511370784,13.780513944677368,1469.482183592227,803.6366471222851,0.015419924623493505,13.9002999941293,14.860000000000078,38.7000000000002,9745.08000000005,55.500000000000306,73.77000000000038,3744385.00000002
2022-04-23,1652809.6839874582,211.29674023173635,243.46217027856812,16737.31853795826,2.147085063286744,2.4608682183567065,435547.8749613403,0.6038267862164551,43.07774176711149,19015.143689661676,3509.10455175518,0.07256666107833204,13.873753267169972,1501.0843106094926,788.6483321419735,0.014991252452752662,13.897724995596995,14.860000000000078,38.7000000000002,9745.08000000005,55.500000000000306,73.77000000000038,3744385.00000002
2022-04-24,1653011.5868593743,201.90287191588396,232.988734043768,16739.35451432845,2.035976370186457,2.3561873628625554,435601.0809551687,0.5961947502958262,43.09107365149491,19370.625119379445,3501.462819116972,0.07194762024313828,13.952444879272132,1520.346097641457,771.012703534406,0.014504428350553525,13.895793746697766,14.860000000000078,38.7000000000002,9745.08000000005,55.500000000000306,73.77000000000038,3744385.00000002
2022-04-25,1653207.4351671576,195.84830778306707,223.13340832209582,16741.295119747654,1.9406054192041629,2.2532426553078757,435652.6915677023,0.5865762501814697,43.104171916061446,19646.110989663895,3497.744948856156,0.07143776754175911,14.017210194683594,1526.9208033000455,751.8394565454403,0.013974798315274567,13.894345310023345,14.860000000000078,38.7000000000002,9745.08000000005,55.500000000000306,73.77000000000038,3744385.00000002
2022-04-26,1653397.2610069152,189.8258397577918,213.89804331332388,16743.13686986894,1.8417501212874166,2.149988067757574,435702.7152585181,0.5747867448436015,43.11708135647546,19841.9415365272,3496.52083187483,0.07103517762787728,14.068694653123252,1521.9143002233664,732.2604747620223,0.0134284161249498,13.893258982517528,14.860000000000078,38.7000000000002,9745.08000000005,55.500000000000306,73.77000000000038,3744385.00000002
2022-04-27,1653580.2171676,182.95616068453674,205.20733549081086,16744.87359616385,1.7367262949086801,2.045533875640419,435750.92874560214,0.560723381192495,43.12981576156203,19975.753999034085,3496.1444054187323,0.07073436641418537,14.107193258750023,1504.5862746180762,713.264215153612,0.012899366392354901,13.892444236888165,14.860000000000078,38.7000000000002,9745.08000000005,55.500000000000306,73.77000000000038,3744385.00000002
2022-04-28,1653755.0909138406,174.87374624061675,196.93095539962098,16746.50002582362,1.626429659772333,1.9398575819080799,435797.0124068104,0.5443521674392976,43.14237076705763,20065.98850347727,3495.5263712909446,0.07052556472660551,14.13342015414657,1475.265796784503,695.597353349696,0.012403031581596507,13.891833177666143,14.860000000000078,38.7000000000002,9745.08000000005,55.500000000000306,73.77000000000038,3744385.00000002
2022-04-29,1653920.6893230686,165.59840922797406,188.9001435051135,16748.014466685127,1.5144408615066915,1.8335871101543975,435840.65183096495,0.5257209775510318,43.15471881312688,20128.99137760798,3494.394778468213,0.07039417354495422,14.150065115609948,1435.0296468234578,679.4693143012191,0.011951756556268501,13.891374883249627,14.860000000000078,38.7000000000002,9745.08000000005,55.500000000000306,73.77000000000038,3744385.00000002
2022-04-30,1654076.1282883608,155.43896529202144,180.9201570793848,16749.42082092531,1.406354240183026,1.7278381994548433,435881.6139811752,0.504965587720482,43.16682579374955,20176.243533206016,3493.5460838511644,0.07029563015871576,14.16254883670748,1385.1348846004653,664.7131848209378,0.011553991948552392,13.89103116243724,14.860000000000078,38.7000000000002,9745.08000000005,55.500000000000306,73.77000000000038,3744385.00000002
2022-05-01,1654221.0492705717,144.92098221077447,172.7796053660999,16750.730095332012,1.3092744067048212,1.6240924504961116,435919.80431732995,0.4823082244038074,43.178689077051075,20211.682649904542,3492.909562888378,0.07022172261903692,14.17191162753063,1327.4251291904927,651.4300566829311,0.011213651686042622,13.89077337182795,14.860000000000078,38.7000000000002,9745.08000000005,55.500000000000306,73.77000000000038,3744385.00000002
