date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,hospital_beds_per_thousand,population
2021-09-06,662250.3512613152,2214.2496872982647,2389.2157121330993,23390.823469262883,84.82518703954362,95.45771067912705,34.03449314110284,0.895063663991402,22367.89113025777,13401.731256580135,0.16916047541083906,6.072568137466852,0.23000000000000126,154362.61759185628,84182.92759155823,0.4384272134905782,76.86250134371079,74.23000000000039,32.70000000000017,8.00000000000004,10849.300000000057,2.00000000000001,2.3000000000000114,12356116.000000067
2021-09-07,664388.4452333176,2138.0939720024667,2335.6714872349276,23471.813416426834,80.98994716394999,92.08420317741263,34.39456337554276,0.8911982004822405,24151.438026911208,13402.407880056322,0.16532042119937063,6.240321384289547,0.23000000000000126,156478.81097454316,85561.59960446387,0.42271956978179975,76.1656260077832,74.23000000000039,32.70000000000017,8.00000000000004,10849.300000000057,2.00000000000001,2.3000000000000114,12356116.000000067
2021-09-08,666449.6957220156,2061.2504886980387,2274.0519155231605,23548.761549068706,76.94813264187015,88.45683580258124,34.72641598673145,0.8873013652938082,25963.245862889766,13442.171860268505,0.16168456282906923,6.409428174610188,0.23000000000000126,156382.49550196985,86667.97113191946,0.40355098955354485,75.43057244701397,74.23000000000039,32.70000000000017,8.00000000000004,10849.300000000057,2.00000000000001,2.3000000000000114,12356116.000000067
2021-09-09,668438.1627740595,1988.4670520438935,2206.947367153039,23621.57377977183,72.81223070312215,84.64424773105691,35.030038880804945,0.8832636774933049,27696.77998944274,13522.782385828417,0.15836781772619773,6.574655164571096,0.23000000000000126,153935.30184087105,87409.38007809292,0.3813925569680032,74.66455118400008,74.23000000000039,32.70000000000017,8.00000000000004,10849.300000000057,2.00000000000001,2.3000000000000114,12356116.000000067
2021-09-10,670362.6419900478,1924.47921598832,2137.5439964378265,23690.338479625283,68.76469985345675,80.73532784742012,35.306994739142866,0.8789509901820355,29245.37258823595,13644.978192086264,0.15540692341100273,6.733252200836218,0.23000000000000126,149322.27364417427,87733.55123504039,0.3570819096458477,73.88284486828458,74.23000000000039,32.70000000000017,8.00000000000004,10849.300000000057,2.00000000000001,2.3000000000000114,12356116.000000067
2021-09-11,672236.6553289944,1874.0133389466398,2069.3606119049723,23755.37895668086,65.0404770555742,76.83186724949536,35.56039125474505,0.874213081033425,30516.94675237072,13805.422299526901,0.15272067413549856,6.886193190704743,0.23000000000000126,143101.200638216,87626.96486454802,0.33175390152979656,73.11011248120707,74.23000000000039,32.70000000000017,8.00000000000004,10849.300000000057,2.00000000000001,2.3000000000000114,12356116.000000067
2021-09-12,674078.4442116788,1841.788882684449,2006.051328838234,23817.292814795746,61.91385811488693,73.04304862716685,35.795161815331625,0.8689164365022839,31432.269384737043,13988.934775711776,0.1502076032098982,7.036744117333674,0.23000000000000126,136172.4786622433,87122.75656696317,0.30675126971554423,72.3894683298776,74.23000000000039,32.70000000000017,8.00000000000004,10849.300000000057,2.00000000000001,2.3000000000000114,12356116.000000067
2021-09-13,675918.5097263101,1840.0655146313095,1952.5963906170427,23877.165506378034,59.8726915822868,69.4782502712802,36.017273430018484,0.8629347417270696,31941.426897150115,14171.08299839665,0.14784025315079813,7.182677674296323,0.23000000000000126,129177.21775018402,86255.8776385386,0.2834047580397289,71.73529403990992,74.23000000000039,32.70000000000017,8.00000000000004,10849.300000000057,2.00000000000001,2.3000000000000114,12356116.000000067
2021-09-14,677762.3337168408,1843.8239905306923,1910.55776823751,23935.111266176576,57.945759798544515,66.18604193746152,36.22772511129866,0.8561680892623363,32030.828601811136,14333.163784026983,0.1455524587706618,7.329698947383533,0.23000000000000126,121526.17949988229,84975.44875896224,0.2622158180449876,71.14311274066299,74.23000000000039,32.70000000000017,8.00000000000004,10849.300000000057,2.00000000000001,2.3000000000000114,12356116.000000067
2021-09-15,679608.3558629386,1846.0221460977632,1879.8108159971393,23991.125514920117,56.014248743543234,63.1952806450807,36.42832639649926,0.8485711218918084,31689.753837197346,14459.67923750313,0.14329863625640638,7.480283260311416,0.23000000000000126,113514.27215453908,83310.41796870466,0.24364424879553798,70.59444008232344,74.23000000000039,32.70000000000017,8.00000000000004,10849.300000000057,2.00000000000001,2.3000000000000114,12356116.000000067
