date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,male_smokers,life_expectancy,population
2020-10-21,42968.68105443896,343.4656342993552,264.2551813295428,615.0464656208987,2.651544426734553,2.1765931206143443,4.680000000000024,1.5721074392314014,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,66.89613857442663,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-10-22,43346.15351868966,377.47246425069676,291.0918465660005,617.9593482460564,2.912882625157578,2.341263844985649,4.680000000000024,1.5690621566698364,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,66.80896818421373,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-10-23,43761.12477056224,414.97125187257404,320.12236666335036,621.1926689091715,3.2333206631151183,2.5362817557495836,4.680000000000024,1.5619916724474343,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,66.70126799336401,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-10-24,44215.25393668063,454.1291661183938,351.0767043769575,624.7918837116144,3.599214802443003,2.7633586988419276,4.680000000000024,1.5514307291254936,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,66.57085597239866,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-10-25,44707.686380112355,492.43244343171796,383.53959502480024,628.780903733938,3.989020022323533,3.022131015081677,4.680000000000024,1.537999840638563,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,66.41342866320342,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-10-26,45229.838799305406,522.1524191930524,416.9300227068685,633.0830598301893,4.302156096251384,3.3075649710720914,4.680000000000024,1.52237172921842,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,66.2298009738086,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-10-27,45783.13915119211,553.30035188671,451.1331983488335,637.7283097401283,4.6452499099390305,3.6208542389698795,4.680000000000024,1.5052689391245473,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,66.02432762111283,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-10-28,46371.08269241807,587.9435412259579,486.05828224578886,642.7795225442698,5.051212804141418,3.9636616876307778,4.680000000000024,1.487363469049295,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,65.80371921292586,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-10-29,46997.51686740671,626.4341749886356,521.6239448776198,648.3074441060055,5.527921561735679,4.337216692355282,4.680000000000024,1.4692231512375227,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,65.57615430950057,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-10-30,47665.35497440772,667.8381070010124,557.7475375205299,654.3719211531961,6.0644770471905876,4.74163811719795,4.680000000000024,1.4512800007907813,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,65.35061346968207,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
