date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2022-03-31,121500042.48325568,593392.6444094996,600305.6275122027,1056977.0895154031,1089.5197413661626,1121.554379934908,48.7916120554507,191.87716775621251,74.12737529091623,352746.35854126944,366918.50520284794,0.0012898151221443703,450146793.00000226
2022-04-01,122086668.31232882,586625.8290731242,598194.7292865446,1058053.724424854,1076.6349094506093,1110.3532634579697,48.842148602027656,191.95602740087006,74.1312299167975,348513.9810746662,362192.8708543019,0.0009673613416082777,450146793.00000226
2022-04-02,122664906.42480916,578238.112480345,594669.5038765124,1059116.8713891008,1063.1469642469758,1099.0523246135176,48.89234820006638,192.03384682731732,74.13498109952452,344540.3464879652,357608.4452868161,0.0007255210062062083,450146793.00000226
2022-04-03,123233643.72935365,568737.304544487,589811.6709763897,1060166.710102913,1049.8387138122534,1087.5888588447551,48.94216887467817,192.11068570225942,74.13863950919423,340587.8423158774,353167.19063932076,0.0005441407546546563,450146793.00000226
2022-04-04,123793992.60207358,560348.8727199368,583812.1431817112,1061206.1944711746,1039.4843682615833,1075.9425337586486,48.99153551185873,192.18653156822683,74.14221799647238,336352.60229282314,348828.26410101657,0.0004081055659909922,450146793.00000226
2022-04-05,124345004.5453498,551011.943276217,576655.3463706087,1062234.7972593294,1028.6027881548184,1064.073834708128,49.0403948465638,192.2614124124341,74.14570955423869,331868.06624773674,344542.4290227571,0.0003060791744932442,450146793.00000226
2022-04-06,124885169.99980116,540165.4544513457,568360.022577731,1063251.1674823137,1016.370222984247,1051.945368758958,49.08867428618342,192.33528603847907,74.14911910814843,326951.1593173479,340223.0086448963,0.00022955938086993314,450146793.00000226
2022-04-07,125412963.51502559,527793.5152244181,558988.7185278368,1064253.7784882719,1002.61100595829,1039.529737622872,49.13630257953744,192.40811530455446,74.15246376550056,321534.6555255033,335764.20953797136,0.00017216953565244987,450146793.00000226
2022-04-08,125927252.62765592,514289.1126303375,548654.9020359883,1065241.4140213444,987.635533072468,1026.815442357427,49.183166495092706,192.47974113258547,74.15573728760322,315571.9465730225,331058.22014636843,0.0001291271517393374,450146793.00000226
2022-04-09,126427604.51990178,500351.892245863,537528.2993076965,1066213.532768757,972.1187474126264,1013.8113118908899,49.229127780175446,192.55004211317566,74.15893176337543,309141.4221954428,326001.2447962667,9.684536380450304e-05,450146793.00000226
2022-04-10,126914516.01345593,486911.49355414574,525838.8979140309,1067170.5417711395,957.0090023823541,1000.5498244159062,49.27408533092997,192.61886093200548,74.16204125950647,302307.7798333957,320532.67968640535,7.263402285337728e-05,450146793.00000226
2022-04-11,127390763.92542827,476247.9119723326,513824.47514059814,1068115.6590432883,945.1172721487578,987.0687118801275,49.31793778617428,192.68601076041358,74.16506455807533,295116.1450560426,314641.7650815465,5.447551714003296e-05,450146793.00000226
2022-04-12,127855957.63062601,465193.70519773744,501564.7270459793,1069048.387462817,932.7284195285056,973.3722759915448,49.360641122436206,192.75142565272802,74.16796987944865,287845.14471640205,308352.76922163216,4.085663785502472e-05,450146793.00000226
2022-04-13,128309274.80551654,453317.17489054665,489157.83017314057,1069967.5322745543,919.1448117375246,959.4828340136986,49.40219141067014,192.8151167508585,74.17075245806751,280604.4378036238,301731.78300866147,3.0642478391268544e-05,450146793.00000226
2022-04-14,128749921.15258619,440646.3470696559,476708.2349254281,1070871.8192608622,904.2869863079927,945.436445969228,49.44261139898523,192.87717676805687,74.17342940495992,273582.6071503911,294881.44268636074,2.2981858793451408e-05,450146793.00000226
2022-04-15,129177475.19360918,427554.0410229923,464317.51059856423,1071760.3583693714,888.5391085092763,931.2797100425331,49.481912492354695,192.9376949548406,74.17601274538133,266903.86223092553,287928.79059589567,1.7236394095088556e-05,450146793.00000226
2022-04-16,129592146.86459944,414671.670990257,452077.4791546445,1072632.991433785,872.6330644136326,917.0673591317717,49.5201328178763,192.99679610300853,74.17851392231987,260608.6420190251,280995.44773037394,1.2927295571316417e-05,450146793.00000226
2022-04-17,129994971.46202442,402824.59742498153,440065.06555263547,1073490.5529644806,857.5615306954875,902.860458262857,49.557359309593465,193.0545765536626,74.18092196404123,254845.3516500158,274215.00013197603,9.695471678487312e-06,450146793.00000226
2022-04-18,130388895.28229742,393923.82027300296,428304.481118097,1074336.4775061673,845.9245416867751,888.6899350028971,49.59375202906007,193.11115801317868,74.18324641808597,249929.13961016893,267759.60481779295,7.271603758865484e-06,450146793.00000226
2022-04-19,130773853.89068252,384958.6083851017,416842.3244825617,1075170.4669693166,833.9894631493746,874.584221775768,49.62952297460702,193.1667715480226,74.18551222145082,246057.47791383258,261789.82071095333,5.453702819149113e-06,450146793.00000226
2022-04-20,131149362.52544582,375508.6347632935,405726.8187551021,1075991.6210737892,821.1541044725686,860.5853886976965,49.66489271576464,193.22165962417174,74.18775585322462,243270.35189044912,256456.26110529032,4.090277114361834e-06,450146793.00000226
2022-04-21,131514892.72323775,365530.1977919276,394995.9402413432,1076798.9814000428,807.3603262535872,846.7385541283155,49.700077746261165,193.27604610791576,74.18999772379058,241547.53313244606,251879.70284254273,3.0677078357713756e-06,450146793.00000226
2022-04-22,131870154.78812987,355262.0648921039,384668.5149827209,1077591.9394275383,792.9580274956213,833.0839425839558,49.73527615067849,193.33018034693578,74.19225718101369,240842.89621326508,248156.59545769924,2.3007808768285318e-06,450146793.00000226
2022-04-23,132215309.64339235,345154.8552624849,374737.5411609261,1078370.5425635446,778.6031360063323,819.6509281726156,49.770689821476935,193.3843553636281,74.19455115983922,241030.2112517397,245359.5782836432,1.7255856576213988e-06,450146793.00000226
2022-04-24,132551127.72032726,335818.0769349055,365165.180901238,1079135.7236647415,765.1811011967346,806.4535671701867,49.8064785813631,193.43873808057526,74.19689316949167,241867.72257907662,243505.54353820137,1.2941892432160492e-06,450146793.00000226
2022-04-25,132879994.85556561,328867.1352383483,355871.368519982,1079890.8004893463,755.0768246047271,793.4751844274148,49.8427488843094,193.49344690238388,74.19929253387387,243149.3578037325,242536.9254946339,9.706419324120368e-07,450146793.00000226
2022-04-26,133201843.89178751,321849.0362219097,346855.7150782546,1080635.5881982977,744.7877089512838,780.7319615267677,49.87956845056244,193.54854849288384,74.20176642690842,244642.316752929,242334.7006012602,7.279814493090276e-07,450146793.00000226
2022-04-27,133516180.00600953,314336.1142220241,338116.7832642505,1081369.2837311423,733.6955328446854,768.2377872407458,49.916939912582535,193.60404436901675,74.20433791003273,246101.30492087035,242739.08364422282,5.459860869817707e-07,450146793.00000226
2022-04-28,133822421.84529597,306241.83928642794,329647.0174373609,1082090.971524926,721.6877937834827,755.9987819302371,49.954804643551384,193.65986133106148,74.20698614099265,247346.65357753093,243567.51087473176,4.09489565236328e-07,450146793.00000226
2022-04-29,134120157.3785423,297735.53324633394,321428.9411612467,1082800.0028033596,709.0312784339285,744.0091908432832,49.99310768434428,193.71590634089495,74.209693064051,248127.98880952215,244608.24238358636,3.0711717392724604e-07,450146793.00000226
2022-04-30,134409335.78531286,289178.40677056205,313432.30535364384,1083496.2800436977,696.2772403380523,732.2483040891537,50.03175303216584,193.772075198464,74.21242897709459,248248.6205987386,245639.47000682392,2.3033788044543453e-07,450146793.00000226
