date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,median_age,aged_65_older,life_expectancy,human_development_index,population
2020-10-02,910.1467434643441,0.37707129081391255,0.3848585981239564,14.999999965498134,1.527125342361682e-08,3.834616720715531e-08,1.7400000000000087,0.3655259123412935,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-03,910.5485999382722,0.40185647392814683,0.3817376783925799,14.999999974123622,1.1453440067712616e-08,2.875962540536648e-08,1.7400000000000087,0.3732785648312777,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-04,910.9847531211262,0.43615318285399707,0.3868100461247522,14.999999980592737,8.590080050784461e-09,2.156971905402486e-08,1.7400000000000087,0.382483002485773,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-05,911.4527374329598,0.4679843118334527,0.3991004240570425,14.999999985444575,6.442560038088346e-09,1.6177289290518645e-08,1.7400000000000087,0.3931439260724751,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-06,911.9586222408491,0.5058848078893114,0.4189969405379344,14.999999989083452,4.83192002856626e-09,1.2132966967888984e-08,1.7400000000000087,0.40533079523308996,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-07,912.5126156786989,0.5539934378497576,0.4468310926044858,14.999999991812611,3.623940021424695e-09,9.099725225916737e-09,1.7400000000000087,0.41911331943709995,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-08,913.1257675120959,0.6131518333970155,0.48270767627301603,14.999999993859479,2.717955016068521e-09,6.824793919437553e-09,1.7400000000000087,0.4345290749042639,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-09,913.8074962869497,0.6817287748538391,0.5263772342571224,14.999999995394631,2.0384662620513907e-09,5.118595439578165e-09,1.7400000000000087,0.4515938003604869,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-10,914.5637346909731,0.75623840402338,0.5771403917561913,14.999999996545995,1.528849696538543e-09,3.838946579683624e-09,1.7400000000000087,0.47027889907450293,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-11,915.3955385747922,0.831803883819088,0.6337761082967825,14.999999997409518,1.1466372724039073e-09,2.8792099347627177e-09,1.7400000000000087,0.49057375090574873,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-12,916.299304221981,0.9037656471888166,0.6961139170338357,14.99999999805716,8.599779543029305e-10,2.159407451072038e-09,1.7400000000000087,0.5125191948858412,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-13,917.278195037851,0.9788908158699593,0.7637323349958047,14.99999999854289,6.449834657271979e-10,1.6195555883040286e-09,1.7400000000000087,0.5361518396032958,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-14,918.331755522087,1.05356048423602,0.8351008026366418,14.999999998907189,4.837375992953983e-10,1.2146666912280214e-09,1.7400000000000087,0.5614561550741599,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-15,919.4556847734345,1.1239292513476697,0.9080201721132295,14.999999999180414,3.6280319947154875e-10,9.110000184210161e-10,1.7400000000000087,0.588358115012796,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-16,920.6416666182155,1.1859818447809547,0.9799530734934564,14.99999999938533,2.7210239960366154e-10,6.832500138157621e-10,1.7400000000000087,0.6167999372615371,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-17,921.8772422067141,1.2355755884984525,1.0482716894122723,14.999999999539018,2.0407679970274615e-10,5.124375103618215e-10,1.7400000000000087,0.6467332755059471,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-18,923.1457144604667,1.268472253752639,1.110443586063731,14.999999999654285,1.5305759977705962e-10,3.843281327713662e-10,1.7400000000000087,0.6780518958666947,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-19,924.4323789287386,1.2866644682718178,1.1648895738399785,14.998739495539056,1.1479319983279472e-10,2.882460995785246e-10,1.7400000000000087,0.7105350434255555,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-20,925.7311200078027,1.2987410790642402,1.2102836962170898,14.996323529217339,8.609489987459604e-11,2.1618457468389345e-10,1.7400000000000087,0.7439415217417599,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-21,927.033149314192,1.3020293063893262,1.2454375620787856,14.99371969927243,6.457117490594703e-11,1.621384310129201e-10,1.7400000000000087,0.7779509700070322,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-22,928.3286434982504,1.2954941840583183,1.269566536135691,14.992380918604312,0.0006140918389907604,1.2160382325969006e-10,1.7400000000000087,0.8122392456048229,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-23,929.6079726042967,1.279329106046326,1.282489381739779,14.993962482747694,0.0030462185237162564,9.120286744476754e-11,1.7400000000000087,0.8465417483600504,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-24,930.8626213407481,1.254648736451359,1.2847779929952046,15.000109871110567,0.0072458791481201205,0.0006493213353704778,1.7400000000000087,0.8805197566481904,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-25,932.0858800327118,1.2232586919636015,1.2778696938414278,15.012299597903082,0.013013594881452123,0.00219739824134687,1.7400000000000087,0.9137569797356594,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-26,933.262018298614,1.1761382659022437,1.2616178489201806,15.03171985033425,0.020038153497870016,0.004973840536213789,1.7400000000000087,0.9457259442393672,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-27,934.3878356373425,1.1258173387285586,1.2364438327147007,15.059180967259437,0.02792454272521254,0.00906748447455856,1.7400000000000087,0.9757981750508908,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
2020-10-28,935.4701430499215,1.0823074125790642,1.2045883690415216,15.095048298165995,0.03621490025657917,0.014386586206597695,1.7400000000000087,1.0033066144814469,566.000000000003,0.2500000000000013,18.700000000000095,2.890000000000016,70.39000000000036,0.6200000000000032,227393.00000000125
