date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,aged_65_older,male_smokers,life_expectancy,human_development_index,population
2022-01-28,54651.050271935004,203.17705867636778,317.3679578795964,384.05142604528135,1.433946112505393,1.5656806040305702,105148.72506014806,0.39507444206257986,804.4803327607837,324.00000000000193,0.12000000000000069,8.600000000000044,2835.9013055500373,0.17228733957316292,60.01274971595776,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-01-29,54822.04950097783,170.9992290428286,278.6743216740802,385.40920625018646,1.357780204934961,1.5236586430681784,105477.72814805238,0.36690974234202256,767.1047873857146,324.00000000000193,0.12000000000000069,8.600000000000044,2839.138778128272,0.17418641612137212,60.01227107817719,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-01-30,54966.67626600494,144.62676502711184,243.34863265827528,386.68473274193906,1.275526491774913,1.4728197741563394,105755.9905669218,0.3419597792839898,732.7410178178906,324.00000000000193,0.12000000000000069,8.600000000000044,2837.7208579982766,0.1752668321298141,59.99793924916303,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-01-31,55093.53307216054,126.85680615559579,210.96627943876155,387.8829257684781,1.1981930265558143,1.4134520962927573,106000.06356384697,0.3199837323298317,700.6153868281892,324.00000000000193,0.12000000000000069,8.600000000000044,2830.5844217792546,0.17547064769141382,59.970339698669385,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-01,55204.10840140555,110.5753292450098,181.73163378721608,388.9977793295912,1.1148535611256531,1.3456483805582897,106212.81098380974,0.3007584844445299,670.8603361780271,324.00000000000193,0.12000000000000069,8.600000000000044,2816.576567788873,0.17474422688038993,59.9301313092316,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-02,55299.50350532056,95.39510391501145,155.81312967137532,390.0236577033995,1.025878373817738,1.2704146952441875,106396.35163734033,0.2840489861517559,642.1162766971927,324.00000000000193,0.12000000000000069,8.600000000000044,2794.600089060792,0.17304362588104252,59.87826073143897,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-03,55380.76951651474,81.2660111941772,133.273685973635,390.9574653202134,0.9338076168209644,1.1894178410840792,106552.70790399116,0.26963919598097946,613.9442372578662,324.00000000000193,0.12000000000000069,8.600000000000044,2763.735732600381,0.17034962309533286,59.81612315038927,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-04,55449.160282182514,68.39076566777256,114.01852353000008,391.80027416792393,0.8428088477159179,1.1047959276779604,106684.29218494246,0.2573727389379004,586.3678579692569,324.00000000000193,0.12000000000000069,8.600000000000044,2723.3531407560426,0.16666638668155156,59.745682860529584,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-05,55506.32198927109,57.16170708857993,97.75602790929715,392.5585443460469,0.7582701781269521,1.0190163058101844,106794.27174245619,0.2470920946042013,559.624832283235,324.00000000000193,0.12000000000000069,8.600000000000044,2673.207260221205,0.16200787016630286,59.66815193208117,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-06,55554.43538335611,48.11339408501933,83.96839649758378,393.2450394812552,0.6864951352112457,0.934769016687956,106886.84232946672,0.23863355059116031,534.3013919349005,324.00000000000193,0.12000000000000069,8.600000000000044,2613.199853698551,0.15638550831315656,59.58422998008876,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-07,55596.44344120171,42.00805784560034,71.84713221481684,393.8807737932303,0.6357343119772779,0.854344862063479,106967.66623950485,0.2318376387029051,511.00964123624385,324.00000000000193,0.12000000000000069,8.600000000000044,2543.394508890594,0.14983147124779586,59.495804676404724,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-08,55633.023498806986,36.580057605273325,61.27635611004609,394.4681756907539,0.587401897525299,0.7789491766057871,107038.04666556933,0.22654597304786434,490.6064821661406,324.00000000000193,0.12000000000000069,8.600000000000044,2464.0120581385368,0.14238604687476109,59.40499394039994,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-09,55664.678710078166,31.655211271181905,52.17062147813899,395.00914728196386,0.5409715912112018,0.7096596846521431,107098.95166983003,0.22266093421382357,472.84674914884647,324.00000000000193,0.12000000000000069,8.600000000000044,2375.6982808372604,0.13414215312633598,59.31399626331555,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-10,55691.850758479835,27.17204840167345,44.442858480937815,395.50600396502875,0.4968566830658033,0.6472499347883969,107151.23104325826,0.22010639878577198,457.62307899156434,324.00000000000193,0.12000000000000069,8.600000000000044,2279.6448321534813,0.1252349277083591,59.22497845152682,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-11,55715.004390773334,23.153632293498152,37.98033261312743,395.9621791211541,0.45617515612611437,0.5920568757842524,107195.77895034946,0.21884660581201837,444.4774202111377,324.00000000000193,0.12000000000000069,8.600000000000044,2177.6061354273306,0.1158505655291686,59.13999143399103,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
