date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests,positive_rate,tests_per_case,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_70_older,median_age,aged_65_older,gdp_per_capita,extreme_poverty,female_smokers,male_smokers,life_expectancy,population
2022-01-28,1354656.7774578962,5719.135158941192,4804.4669695896355,29075.067086798543,13.590673717496411,10.645386637250995,44.04992547593232,1.3551029914256447,56244.13718158636,0.10773628711305447,10.028264834707947,0.9802767887252753,1072145.165421964,615778.7770393362,0.1003993320399353,56.34712869646735,2.7800000000000145,23.500000000000124,4.500000000000023,5034.710000000026,4.00000000000002,2.800000000000014,36.7000000000002,67.27000000000035,235824864.00000128
2022-01-29,1360623.6907857317,5966.913327835508,5108.072600657006,29090.03475272015,14.967665921606496,11.609536422670006,44.17055953735223,1.3145211672925707,56627.521523516574,0.10945299102968435,9.683110390736854,0.9915967964566923,1119985.3913085936,624316.8016062644,0.10301249191941511,56.82932018104485,2.7800000000000145,23.500000000000124,4.500000000000023,5034.710000000026,4.00000000000002,2.800000000000014,36.7000000000002,67.27000000000035,235824864.00000128
2022-01-30,1366782.695238622,6159.004452890215,5388.512466329867,29106.419729698522,16.384976978373615,12.658846887138274,44.304670205158175,1.2737581993220475,56992.956518095394,0.11050635607122916,9.446288837008696,1.0052621847159315,1172625.7116510225,641660.2542751583,0.10798157320588342,57.213024395641504,2.7800000000000145,23.500000000000124,4.500000000000023,5034.710000000026,4.00000000000002,2.800000000000014,36.7000000000002,67.27000000000035,235824864.00000128
2022-01-31,1373089.0684069903,6306.373168368382,5646.476153884449,29123.98095758421,17.561227885687156,13.78527236638799,44.45569795929856,1.2331446029498434,57337.27871964252,0.11091289568949184,9.30623731295369,1.0213992241865946,1229764.387226099,669148.4860198798,0.11566022644610635,57.49881532323412,2.7800000000000145,23.500000000000124,4.500000000000023,5034.710000000026,4.00000000000002,2.800000000000014,36.7000000000002,67.27000000000035,235824864.00000128
2022-02-01,1379524.12918178,6435.060774789548,5878.224309983481,29142.80053719272,18.819579608512328,14.990138825534393,44.62685245299046,1.1929710895750214,57662.05930188812,0.11068644940124961,9.254925237462533,1.040060083944731,1290967.4150171224,707634.4043500759,0.12628977229094712,57.693524388353275,2.7800000000000145,23.500000000000124,4.500000000000023,5034.710000000026,4.00000000000002,2.800000000000014,36.7000000000002,67.27000000000035,235824864.00000128
2022-02-02,1386051.0587156839,6526.929533904065,6078.181515454653,29163.027794620502,20.22725742778053,16.27079416439969,44.82140766822815,1.1534783171812675,57973.22173975741,0.10984289134957989,9.28527925453518,1.0612402256390066,1355857.876834028,757597.2414655316,0.14003374809345298,57.8104896067143,2.7800000000000145,23.500000000000124,4.500000000000023,5034.710000000026,4.00000000000002,2.800000000000014,36.7000000000002,67.27000000000035,235824864.00000128
2022-02-03,1392622.5560600357,6571.497344351781,6240.7033867526025,29184.81464040627,21.78684578576756,17.620679980119448,45.042262805146606,1.114878453464491,58268.957941857574,0.10841303470481595,9.391537010390731,1.084874496960349,1423926.7622047956,818897.3341857693,0.15694968081798918,57.86997919598603,2.7800000000000145,23.500000000000124,4.500000000000023,5034.710000000026,4.00000000000002,2.800000000000014,36.7000000000002,67.27000000000035,235824864.00000128
2022-02-04,1399186.5798924754,6564.023832439669,6361.4019020554115,29208.26708890203,23.452448495757515,19.029385389097374,45.29188030521748,1.0773538950434247,58551.40032721852,0.10647541920896117,9.568809512802758,1.1108424111818018,1494485.4481095807,891164.5161693867,0.17695773572661438,57.89941086757784,2.7800000000000145,23.500000000000124,4.500000000000023,5034.710000000026,4.00000000000002,2.800000000000014,36.7000000000002,67.27000000000035,235824864.00000128
2022-02-05,1405690.6548127006,6504.074920225041,6438.139395836978,29233.408897801317,25.141808899290705,20.482687393471416,45.57174103315795,1.041065195038226,58810.07883659404,0.10409525218952644,9.812751284569764,1.1389131378412118,1566701.4810446259,973316.3973565181,0.1998003961711732,57.90610533878947,2.7800000000000145,23.500000000000124,4.500000000000023,5034.710000000026,4.00000000000002,2.800000000000014,36.7000000000002,67.27000000000035,235824864.00000128
2022-02-06,1412085.1010642783,6394.446251577969,6471.774054796295,29260.15429778542,26.745399984099617,21.962581155963328,45.88209585243802,1.0061427876813855,59026.063368629264,0.10135004289133695,10.118031466012987,1.1687824616549896,1639387.0937874871,1063536.0973386574,0.2250348478717546,57.89497186123504,2.7800000000000145,23.500000000000124,4.500000000000023,5034.710000000026,4.00000000000002,2.800000000000014,36.7000000000002,67.27000000000035,235824864.00000128
