date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,icu_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,extreme_poverty,population,excess_mortality_cumulative,excess_mortality
2022-06-07,1165025.900472145,173.80716862779016,188.2889405284098,37141.90876591824,5.042003689895811,5.441319916349224,11.19396820216462,0.8755906096266308,36.10309486961427,4881.0000001739245,4072.559411581492,0.04216152165729213,23.733184952571587,30.82671857567215,356.30905884261375,376.8269282415174,9.602086713218356e-15,11.110095572105164,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,25.426775321609096,1.5408370544418757
2022-06-08,1165196.2668537872,170.36638164214213,183.14414317911303,37146.84270889251,4.933942974273836,5.302051346440981,11.197278026219472,0.8885959953583067,35.224994067530716,4881.000000130451,3975.244267800539,0.042632130253958164,23.57190713718244,30.827790340009766,347.392039768677,368.28052261940616,7.201565034913768e-15,11.110071679078889,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,25.397353169108786,1.5269708280462948
2022-06-09,1165363.5244777694,167.25762398209162,178.54115538045653,37151.67307885754,4.830369965029882,5.172328264194027,11.200490678682073,0.9032050766738704,34.40303542044215,4881.000000097845,3877.6064070559687,0.043155093165581804,23.370746771762107,30.82880981106056,339.4521476890378,359.8007765799397,5.401173776185326e-15,11.110053759309183,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,25.367523487968388,1.5163696160942854
2022-06-10,1165528.1039271716,164.5794494022121,174.51025131233035,37156.407766479984,4.7346876224472725,5.053010096012366,11.203613564926243,0.919583510155695,33.64086507765967,4881.000000073391,3781.014388355976,0.04374172388194336,23.12791463602911,30.82978037750315,332.45185047804796,351.5172275545415,4.050880332138995e-15,11.110040319481904,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,25.337314261557637,1.5084364834715842
2022-06-11,1165690.5515555935,162.4476284220536,171.05369624119692,37161.05915388396,4.651387403971854,4.9446856586285435,11.206658703106463,0.937861840761569,32.94258435169294,4881.00000005505,3686.816495856515,0.04442280874856166,22.840186138624965,30.83070808994244,326.07339012097987,343.5416536975807,3.038160249104246e-15,11.110030239611444,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,25.306764576951345,1.5025675509867358
2022-06-12,1165851.5423997284,160.99084413489854,168.13668055193864,37165.64493102388,4.585777139921366,4.847441845781368,11.209643186993729,0.9580831937579913,32.31233580740259,4881.000000041295,3596.6979892162435,0.04522790164868698,22.503416914893123,30.831600672221853,320.266828843698,336.0081148691782,2.2786201868281847e-15,11.110022679708598,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,25.275922657018654,1.4982160640157487
2022-06-13,1166010.7793595912,159.23695986264792,165.5274698515754,37170.20257351037,4.557642486485957,4.762303588602355,11.212589533102454,0.9801915161976158,31.753854311919145,4881.000000030977,3512.433155777733,0.04618240005681265,22.117444715904842,30.832466433615135,314.8443416284645,329.002126875866,1.7089651401211386e-15,11.110017009781464,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,25.24484276845892,1.4949566042958657
2022-06-14,1166168.5969792942,157.8176197030624,163.24363842617367,37174.73618999062,4.533616480249089,4.68949789183962,11.215513578398285,1.0040621891844124,31.273053029626908,4881.000000023239,3435.637294111908,0.04730535207880865,21.685207001699183,30.833313891607183,309.65044540471445,322.62056736116625,1.2817238550908538e-15,11.110012757336113,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,25.21357948607735,1.4925494090811682
2022-06-15,1166326.0217002125,157.42472091821492,161.3951729049569,37179.23956977161,4.5033797810013025,4.627780981904931,11.21839568800041,1.0295298351656217,30.875625029400016,4881.000000017437,3367.5419977332567,0.048607811732021874,21.211187087085662,30.834154628697117,304.68510296109923,316.8943524762727,9.612928913181404e-16,11.1100095680021,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,25.182192140645405,1.4907893077112382
2022-06-16,1166484.4515046375,158.42980442492515,160.13433782351427,37183.700863495535,4.461293723921635,4.574828625892183,11.221229539109565,1.056417738365168,30.564870494277407,4881.000000013084,3308.9006644279366,0.05009160540535132,20.705765880925135,30.83500273392015,300.1311402999026,311.62633966425085,7.209696684886052e-16,11.110007176001591,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,25.15074316818609,1.4895043457294093
