date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,total_cases_per_million,new_people_vaccinated_smoothed_per_hundred,life_expectancy,population
2020-03-11,1.0000000000000038,0.0,0.0,0.0,0.0,542.300000000002,4.460000000000017,73.71000000000028,1952.0000000000075
2020-03-12,1.0000000000000042,0.0,0.0,0.0,0.0,542.3000000000022,4.460000000000019,73.71000000000032,1952.0000000000084
2020-03-13,1.0000000000000044,0.0,0.0,0.0,0.0,542.3000000000025,4.46000000000002,73.71000000000035,1952.000000000009
2020-03-14,1.0000000000000047,0.0,0.0,0.0,0.0,542.3000000000026,4.460000000000021,73.71000000000036,1952.0000000000095
2020-03-15,1.0000000000000049,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000022,73.71000000000038,1952.00000000001
2020-03-16,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000023,73.71000000000038,1952.0000000000102
2020-03-17,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-03-18,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-03-19,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-03-20,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-03-21,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-03-22,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-03-23,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-03-24,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-03-25,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-03-26,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-03-27,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-03-28,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-03-29,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-03-30,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-03-31,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-01,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-02,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-03,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-04,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-05,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-06,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-07,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-08,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-09,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-10,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-11,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-12,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-13,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-14,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-15,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-16,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-17,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-18,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-19,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-20,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
2020-04-21,1.000000000000005,0.0,0.0,0.0,0.0,542.3000000000027,4.460000000000024,73.71000000000038,1952.0000000000105
