date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,total_tests,new_tests,new_tests_smoothed,positive_rate,tests_per_case,total_boosters_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,aged_65_older,extreme_poverty,female_smokers,male_smokers,hospital_beds_per_thousand,population
2021-06-03,56959.311189176326,829.5358522613094,729.1500107010046,243.31212117105065,4.249288633567518,3.98354251428965,16821.929743907356,1.1447050796099107,2938677.375258889,8023.666803182108,7781.4353432013795,0.10150408631941271,10.258046327529645,24.250000000000128,54.57227192311309,36.27584371646963,64900.69743056917,52478.6841298361,0.13025986987362967,61.55226304267603,28.600000000000158,4.030000000000021,0.5000000000000026,5.500000000000031,46.50000000000025,7.000000000000038,3398373.0000000177
2021-06-04,57839.935702806695,880.6245136303726,763.2455375991224,247.74070044519203,4.428579274141386,4.068687105497464,17082.006689960275,1.1549329790674865,2946815.9732185733,8138.598955004563,7861.21336906879,0.10528578936787256,9.896196348750024,24.250000000000128,54.66898068764841,37.65257444863218,62709.017616128855,52492.6806151535,0.11918019652286943,61.23208383662896,28.600000000000158,4.030000000000021,0.5000000000000026,5.500000000000031,46.50000000000025,7.000000000000038,3398373.0000000177
2021-06-05,58777.24085273536,937.3051499286634,801.5008083383218,252.37739023370048,4.636689788508439,4.181849847545858,17358.823274419166,1.1645214860782507,2955089.6670018462,8273.694529763454,7951.730469594105,0.10924132974406878,9.538923279662077,24.250000000000128,54.762041430409944,38.962659747269285,59736.21688048715,51924.381114241725,0.11041294312583028,60.851556736553896,28.600000000000158,4.030000000000021,0.5000000000000026,5.500000000000031,46.50000000000025,7.000000000000038,3398373.0000000177
2021-06-06,59773.386521904555,996.1456691691881,843.7319207333807,257.2379069286694,4.860516694968926,4.3202391956141515,17653.017385678657,1.1734148702147982,2963524.079065222,8434.412623243741,8056.597464348143,0.11332110719816166,9.192010817859044,24.250000000000128,54.852203099310444,40.193320521505676,56095.50992711827,50769.338906140314,0.10351882175936959,60.42500497969411,28.600000000000158,4.030000000000021,0.5000000000000026,5.500000000000031,46.50000000000025,7.000000000000038,3398373.0000000177
2021-06-07,60814.30396705876,1040.9174451542035,888.9383393864946,262.27235391983794,5.034446991168525,4.4765916462258115,17960.434069317198,1.1815252767722833,2972143.4811799806,8619.402534659708,8178.766052365838,0.11753543285498858,8.859012961487378,24.250000000000128,54.9400501105204,41.33494376863416,51936.64920573523,49065.15597339974,0.09813152097369666,59.97148224155799,28.600000000000158,4.030000000000021,0.5000000000000026,5.500000000000031,46.50000000000025,7.000000000000038,3398373.0000000177
2021-06-08,61903.99814336139,1089.694176302629,937.2188597434924,267.499740553001,5.227386633163086,4.650898324197485,18282.25612099245,1.1887520700549736,2980963.4885999216,8820.007734866806,8319.157005337738,0.12190949319327782,8.539624944127826,24.250000000000128,55.02593738896665,42.382859329384544,47494.759577216784,46881.71573570597,0.09388419341288412,59.51403928297853,28.600000000000158,4.030000000000021,0.5000000000000026,5.500000000000031,46.50000000000025,7.000000000000038,3398373.0000000177
2021-06-09,63052.29670060452,1148.298557243134,988.9300921250094,272.96244277738856,5.462702224387513,4.844232889883738,18621.385967926006,1.195021550925201,2989997.40108149,9033.912717762916,8477.725898799697,0.12647639914512016,8.232546762394522,24.250000000000128,55.11024449292093,43.336826623735305,42996.701901184555,44316.152234875844,0.09052885288125337,59.06866133036585,28.600000000000158,4.030000000000021,0.5000000000000026,5.500000000000031,46.50000000000025,7.000000000000038,3398373.0000000177
2021-06-10,64270.803327004876,1218.506626400355,1044.497597859111,278.70969569002307,5.747252912634535,5.057903982215656,18981.250559008527,1.2002453163936437,2999254.352330191,9256.95142584644,8653.889042716462,0.13124886367687522,7.937091067271014,24.250000000000128,55.19338909044061,44.19978221731674,38656.00545519248,41485.00882709423,0.08788581225305392,58.64513594606148,28.600000000000158,4.030000000000021,0.5000000000000026,5.500000000000031,46.50000000000025,7.000000000000038,3398373.0000000177
2021-06-11,65569.86275705078,1299.0594300459052,1104.2742413807605,284.7852129439883,6.075517253965245,5.292819550979785,19364.905032378596,1.2043384798614918,3008735.7770466134,9481.424849281419,8845.698326963022,0.13623529029159326,7.652735882870853,24.250000000000128,55.27569186631147,44.97748913551509,34681.83142494319,38505.997845272235,0.08581012518849773,58.25686876626888,28.600000000000158,4.030000000000021,0.5000000000000026,5.500000000000031,46.50000000000025,7.000000000000038,3398373.0000000177
2021-06-12,66956.28452738741,1386.421770336629,1168.433954306419,291.21790130463035,6.432688360642011,5.549010106027349,19774.36046610686,1.2072338211113758,3018442.145648571,9706.36870160232,9050.341117555829,0.14141660992942562,7.379185073109839,24.250000000000128,55.35752746469812,45.67705431123561,31208.076530353617,35486.68010664328,0.0842152215578246,57.917732699459336,28.600000000000158,4.030000000000021,0.5000000000000026,5.500000000000031,46.50000000000025,7.000000000000038,3398373.0000000177
2021-06-13,68431.6357937307,1475.3512663432953,1236.8920584899975,298.0148965667085,6.796995262078158,5.825271154181154,20210.079691209135,1.2088814097895775,3028375.9409752823,9933.79540144416,9264.513982963264,0.14675524994868547,7.11639591536891,24.250000000000128,55.439459997360125,46.301176237628454,28161.925809745415,32501.349058650885,0.08306477751290638,57.63970482517635,28.600000000000158,4.030000000000021,0.5000000000000026,5.500000000000031,46.50000000000025,7.000000000000038,3398373.0000000177
2021-06-14,69986.19371666206,1554.5579229313587,1310.2693906677587,305.1525589796537,7.137662412945184,6.125374018512411,20669.191243843212,1.2092494542394052,3038538.4128258424,10162.47190660996,9484.929200861765,0.15219200307237407,6.864565844089716,24.250000000000128,55.52225425787796,46.85415851952716,25452.80510391542,29618.442854104545,0.08237760705193911,57.43109406813897,28.600000000000158,4.030000000000021,0.5000000000000026,5.500000000000031,46.50000000000025,7.000000000000038,3398373.0000000177
2021-06-15,71624.14903668864,1637.955320026576,1388.5924893485912,312.64719234398444,7.49463336433075,6.448940985765379,21152.93278550041,1.208312817893518,3048935.0146129224,10382.79657701631,9710.13713981893,0.15760796481236095,6.625347459990372,24.250000000000128,55.60605737084876,47.34217440031124,23019.328763295343,26889.514897527366,0.08211788531481094,57.29521195381923,28.600000000000158,4.030000000000021,0.5000000000000026,5.500000000000031,46.50000000000025,7.000000000000038,3398373.0000000177
2021-06-16,73349.71122806604,1725.5621913774007,1471.0587624542381,320.5042371797729,7.857044835788477,6.790703315277503,21662.54750331409,1.206067515811866,3059569.3055702327,10588.94751895057,9938.74694019065,0.16290474542568983,6.4007542924717775,24.250000000000128,55.6912437391903,47.77077850546944,20851.761833191198,24342.63565601562,0.0822981748135162,57.23638407848668,28.600000000000158,4.030000000000021,0.5000000000000026,5.500000000000031,46.50000000000025,7.000000000000038,3398373.0000000177
2021-06-17,75164.96257424938,1815.2513461833441,1556.308018511657,328.71419921643974,8.20996203666684,7.142276678442625,22198.650351467502,1.202527366012101,3070410.546848978,10776.530532554896,10165.063178640094,0.16805412468012737,6.190769339263343,24.250000000000128,55.778844084289375,48.148005178391095,19070.2762229865,22005.613442076374,0.08299641714762918,57.258348821631735,28.600000000000158,4.030000000000021,0.5000000000000026,5.500000000000031,46.50000000000025,7.000000000000038,3398373.0000000177
