date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_vaccinations_per_hundred,reproduction_rate,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,population
2020-03-27,126.73509444518831,19.86669352484512,14.477143042562778,1.8883298482213802,0.3439885831534045,0.19537600867254323,1589.714116619948,0.7200000000000037,1.0447842441562487,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,39.486433579440835,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-03-28,147.95899698127354,21.22823604537919,16.227367786123793,2.2466772504194332,0.42209938823771104,0.24272431419671564,1855.9377262820299,0.7200000000000037,1.0373176595231348,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,41.33063497772872,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-03-29,170.14594456853467,22.190197719231584,17.85137878076935,2.6943970780860735,0.5058117745331647,0.29708961573803505,2134.241328648178,0.7200000000000037,1.0287384062454552,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,43.099306711641795,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-03-30,192.8436051620187,22.700098192461862,19.293048791459398,3.2249671686162746,0.5817182362004565,0.3586607800000364,2418.9510806813546,0.7200000000000037,1.0190529966685788,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,44.78173601304622,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-03-31,215.9195170583276,23.077740095542293,20.519704660821475,3.8452121250077855,0.6635672808995356,0.42764102779252977,2708.405445934421,0.7200000000000037,1.0082785968873438,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,46.36802421405106,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-01,239.22956992044297,23.311424011540396,21.508375942287117,4.562916850704782,0.7527821187224877,0.503501617644657,3000.796775627292,0.7200000000000037,0.9964776936254316,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,47.834900836685755,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-02,262.63028991609224,23.401748357718034,22.24934692116269,5.383839221739004,0.8478445075939035,0.5851405959096412,3294.325406219505,0.7200000000000037,0.9837451480471293,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,49.1615484458725,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-03,285.98805357152344,23.358534926982806,22.74882063043249,6.309469590835617,0.9450301163127532,0.6710018593433504,3587.3152325896513,0.7200000000000037,0.9701842650431053,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,50.33213095302113,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-04,309.1859981618364,23.198523043976635,23.030916862611086,7.335350415492596,1.038960046833791,0.7591644520382188,3878.3003879199437,0.7200000000000037,0.9559229434494279,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,51.337689843725194,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-05,332.12920450373076,22.943640182142172,23.139170678632553,8.449815979040277,1.1230144759786096,0.8474095381236884,4166.090253609648,0.7200000000000037,0.9410994474060765,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,52.177566348534114,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-06,354.80278573073986,22.673906607194894,23.1360554491813,9.638089198242735,1.1946849035256526,0.9350731522999431,4450.498094861414,0.7200000000000037,0.925837513802781,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,52.8604680710322,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-07,377.14704728124883,22.3445055856483,23.031946564261574,10.8982663169109,1.2649858819105635,1.0211088396612875,4730.775133524866,0.7200000000000037,0.9102491760760688,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,53.40993282444424,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-08,399.09160414225596,21.944739887361656,22.837346962627368,12.223909821716813,1.3292500772377083,1.1035989212779649,5006.03849558645,0.7200000000000037,0.8944215297622887,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,53.855212223375275,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-09,420.5734057569835,21.481938884493474,22.563711741039725,13.604858675272766,1.3836537828798026,1.1802955064077323,5275.49730624059,0.7200000000000037,0.8784282998750468,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,54.23708693094459,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-10,441.55025470558576,20.976951900926693,22.224066611209686,15.027835990940703,1.4250060126608237,1.2490262516545407,5538.622261193056,0.7200000000000037,0.8623116903232222,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,54.567956116114146,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-11,462.01094571568,20.460768224337578,21.83347174250555,16.476904788939237,1.450590320743196,1.3079986803375463,5795.272805138498,0.7200000000000037,0.8460902641871495,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,54.85838531591568,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-12,481.9828699202449,19.971982115247393,21.409369643983265,17.933809813423913,1.458046166543178,1.3560284220178678,6045.792515618589,0.7200000000000037,0.8297742269057155,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,55.1057864012872,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-13,501.69149956364924,19.70867307641618,20.986064563304218,19.385796920507527,1.452842963627489,1.3930759383621423,6293.009615705549,0.7200000000000037,0.8133873928683633,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,55.30574898002172,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-14,521.1157158168877,19.42424882799736,20.56905181614335,20.82488421268191,1.4397291845822866,1.4182040125951383,6536.65919917413,0.7200000000000037,0.7969710553170783,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,55.45354315065955,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-15,540.1416672763705,19.02597589055202,20.15211917884962,22.24072198304088,1.4163191896649003,1.4307986138419602,6775.313157622366,0.7200000000000037,0.7805868887728777,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,55.54524656790747,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-16,558.6126176195282,18.47096866645961,19.721891420336338,23.622800698657556,1.3824397800961237,1.4307660579897463,7007.005449341543,0.7200000000000037,0.7642817955389353,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,55.57858974170314,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-17,576.3663313465152,17.753727469463342,19.261238700998888,24.96210698811732,1.3395770878193471,1.4186808783339406,7229.701050968675,0.7200000000000037,0.7481208489166459,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,55.55359001151338,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-18,593.2631130864871,16.896792046829265,18.751832871903037,26.252365632167542,1.2904617428199097,1.3958967285629977,7441.647671225872,0.7200000000000037,0.7321620652589139,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,55.47302702705786,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
2020-04-19,609.2068370773097,15.943731720965536,18.17606469917617,27.490971056704886,1.2387577486146104,1.3646295599969105,7641.639536224845,0.7200000000000037,0.716447987211801,449.00000000000244,0.08000000000000043,12.90000000000007,66.00000000000034,0.08000000000000043,55.34279935885197,163.76000000000084,7.970000000000044,29.000000000000153,37.800000000000196,83.73000000000044,79843.00000000044
