date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,cardiovasc_death_rate,diabetes_prevalence,population
2020-03-11,9.10157122509171,1.4506845951612053,1.1198193608539209,11.00000000000004,0.0,0.0,0.010000000000000038,2.3335154656554873,7447.000000000029,9909.000000000038,0.0,997.0000000000038,997.0000000000038,0.0,18.10509458824181,17.900000000000066,33.50000000000012,177.96000000000066,8.11000000000003,215313504.00000086
2020-03-12,11.889422188623657,3.019110535556237,1.4470791745762506,11.000000000000046,0.006755009696186172,0.0,0.010000000000000044,2.3355229922603646,7447.000000000033,9909.000000000044,0.0,997.0000000000042,997.0000000000042,0.0,20.58218344255634,17.900000000000077,33.50000000000014,177.96000000000072,8.110000000000033,215313504.00000095
2020-03-13,17.608954165708244,5.888169359327183,2.150516394506853,11.000000000000052,0.033508403361344676,0.0,0.010000000000000047,2.337757952016867,7447.000000000035,9909.000000000047,0.0,997.0000000000045,997.0000000000045,0.0,23.39588483466455,17.900000000000084,33.500000000000156,177.96000000000078,8.110000000000035,215313504.000001
2020-03-14,27.50060702699618,10.008612475216168,3.393011730269288,11.000000000000055,0.07970467032967073,0.007281674208144812,0.010000000000000049,2.3399365958807854,7447.000000000036,9909.00000000005,0.0,997.0000000000048,997.0000000000048,0.0,26.530108519340416,17.900000000000087,33.50000000000016,177.96000000000083,8.110000000000037,215313504.00000107
2020-03-15,42.62194848291693,15.200819408125161,5.314067621231391,11.000000000000057,0.1431495434712354,0.02464225113122181,0.01000000000000005,2.3416948515647618,7447.000000000038,9909.000000000051,0.0,997.000000000005,997.000000000005,0.0,29.949397323571304,17.90000000000009,33.50000000000017,177.9600000000009,8.110000000000039,215313504.0000011
2020-03-16,60.67153569961512,18.1091956808515,7.72279651424289,10.897899159663922,0.11831884797188152,0.041194034825468795,0.010000000000000052,2.342625049468662,7447.00000000004,9909.000000000051,0.0,997.0000000000051,997.0000000000051,0.0,33.58472139280782,17.90000000000009,33.50000000000017,177.9600000000009,8.11000000000004,215313504.00000113
2020-03-17,82.51960200095587,21.89277264945573,10.724252847867065,10.702205882352997,0.11147669253999701,0.059148596578054484,0.010000000000000054,2.3423099312514672,7447.00000000004,9909.000000000051,0.0,997.0000000000052,997.0000000000052,0.0,37.36203845895629,17.90000000000009,33.50000000000017,177.9600000000009,8.11000000000004,215313504.00000113
2020-03-18,110.79345069270164,28.307378452831998,14.579147295887404,10.49129565287659,0.18745367325115192,0.08867221020018612,0.010000000000000054,2.340380961690058,7447.00000000004,9909.000000000051,0.0,997.0000000000052,997.0000000000052,0.0,41.19957037621471,17.90000000000009,33.50000000000017,177.9600000000009,8.11000000000004,215313504.00000113
2020-03-19,148.91297748300425,38.1446741111173,19.610171881094654,10.382854415804838,0.38000525170630306,0.14402742849694014,0.010000000000000054,2.336498229347702,7447.00000000004,9909.000000000051,0.0,997.0000000000052,997.0000000000052,0.0,45.02255609502472,17.90000000000009,33.50000000000017,177.9600000000009,8.11000000000004,215313504.00000113
2020-03-20,200.367312297774,51.47319530538076,26.131743810627125,10.510961109203352,0.699580538650447,0.24067926561963524,0.010000000000000054,2.3304043766003075,7447.00000000004,9909.000000000051,0.0,997.0000000000052,997.0000000000052,0.0,48.753964744183946,17.90000000000009,33.50000000000017,177.9600000000009,8.11000000000004,215313504.00000113
