date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,total_deaths_per_million,reproduction_rate,icu_patients,weekly_hosp_admissions,new_tests,new_tests_smoothed,positive_rate,tests_per_case,total_boosters_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,extreme_poverty,diabetes_prevalence,population,excess_mortality
2022-05-24,17088248.676130533,30531.277833701908,33944.942490394365,165432.90726251932,105.14993856583745,109.28400857879194,219041758.08253846,2774.830543051668,0.7656396614698546,302.6112626901119,3004.801999868241,218624.56509693732,232116.8152444531,0.12582339027275416,8.05417197426258,68.37131884139745,86.1536562798754,31081.702899423595,7.320033231345286e-11,22.54643453294233,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,10.29296238693213
2022-05-25,17117652.833019063,29404.15688852792,32784.641489159745,165536.70190778177,103.79464526245192,107.78174592989242,219255573.56657448,2776.571547560248,0.761245098397156,296.603372680157,2925.3643958287867,213815.48403601936,227595.5862394164,0.12309314063604607,8.228725296146205,68.42039039155239,86.1545872325311,30364.302287689905,5.490024923508964e-11,22.499509157625333,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,10.192247923729447
2022-05-26,17145863.351945963,28210.51892690018,31617.865252293246,165638.70157627936,101.99966849758245,106.27348252434254,219464482.8353384,2778.2824116398083,0.7582463641986438,290.49446551528945,2846.943610381613,208909.26876392495,223024.36223935575,0.12043136161795262,8.403657740694022,68.46816738965663,86.15549278380375,29567.90485086766,4.1175186926317233e-11,22.430397866926203,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,10.050180725325495
2022-05-27,17172850.418678306,26987.066732343883,30453.73003892909,165738.45489908112,99.7533228017584,104.70681373553242,219668419.95345953,2779.95556810284,0.7570074945452346,284.3539939328475,2770.3125558792963,203937.1181211017,218378.7634862398,0.11790012108418213,8.574498315216715,68.51452502511265,86.15638784900355,28695.705351143668,3.0881390194737925e-11,22.336007837815885,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,9.865648633845458
2022-05-28,17198644.115495503,25793.696817195887,29302.413625997113,165835.58205989609,97.12716081495823,103.02660787760291,219867394.2977388,2781.5846531294933,0.7578769848391145,278.24734742119387,2696.3957614472906,198974.34427925572,213636.30317382686,0.11556617032186331,8.735933529560578,68.55935159042475,86.15729088675279,27753.743573797346,2.3161042646053444e-11,22.214819388381336,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,9.639028238243096
2022-05-29,17223351.816485904,24707.700990401794,28174.357768140402,165929.8372236553,94.25516375924722,101.17988803489914,220061447.4561583,2783.1655531955403,0.761164202753448,272.2253618910412,2626.243088053797,194053.15841952607,208808.30700221914,0.11349169302905115,8.882253961003672,68.60253421641272,86.1581999039141,26747.734490302795,1.7370781984540084e-11,22.06702598278571,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,9.372242090123834
2022-05-30,17247172.323094897,23820.50660899401,27064.986605678703,166021.38350920906,91.54628555376003,99.0879808290187,220250687.7640809,2784.7010095960773,0.7670827512893922,266.3606988584881,2560.771407830913,189240.30792259565,203936.33306355862,0.11170215697282278,9.008830095833568,68.64397241408727,86.1591101735724,25687.40738033217,1.3028086488405063e-11,21.894639234988475,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,9.068710656151387
2022-05-31,17270111.87897278,22939.55587788322,25980.454860690865,166110.00416390446,88.6206546953783,96.72655931277902,220435324.6478024,2786.1873905196217,0.7757525935252223,260.6806081774798,2500.735116959161,184636.88372152034,199080.96018874872,0.11023363130427787,9.111685597085273,68.68366127565929,86.16001491847936,24621.892122191628,9.771064866303797e-12,21.701567661535503,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,8.73197922445264
2022-06-01,17292194.374517262,22082.495544482255,24934.50328627448,166195.46204341986,85.4578795153929,94.10704052530835,220615764.8507681,2787.6207261476384,0.7872210385505112,255.1841309876674,2446.6083351337243,180440.20296567184,194313.07187071498,0.10910621895332166,9.1886963245108,68.72164560121774,86.16090582363663,23591.248794294042,7.328298649727849e-12,21.493675746151656,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,8.36644011600317
2022-06-02,17313470.39187698,21276.017359719182,23943.860337524246,166277.59149054834,82.12944712846462,91.26857063315398,220792437.27762064,2788.99824758423,0.8014867226750049,249.83344407139083,2398.720569385203,176672.42685256695,189707.81629799446,0.1083272401684497,9.23874590207736,68.75803494428767,86.1617734207334,22629.293625455528,5.496223987295886e-12,21.274668574319655,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,7.9778198598345975
