date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,reproduction_rate,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,new_tests,positive_rate,tests_per_case,total_boosters_per_hundred,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,aged_70_older,gdp_per_capita,female_smokers,life_expectancy,population,excess_mortality_cumulative,excess_mortality
2021-10-03,119711.03630771267,114.4602956193833,121.3035713614669,565.5516275706228,0.6331678836999557,0.804990298697074,13244134.530784318,0.9265865115351875,15.567439807523751,75.17072630585706,9.015946129020179,34.4532551479976,51779.30773039808,7.2711035764892166e-06,469.8690790608924,1.5014853234081105,2176.7867076013763,0.04362736770301254,48.67778674491311,52.700000000000294,37.300000000000196,8.560000000000045,32415.130000000172,19.600000000000104,80.98000000000044,896007.000000005,8.529015051912403,17.58181692075911
2021-10-04,119824.55732128241,113.52101356974124,118.94446245775191,566.1565616605149,0.6049340898919682,0.7472020000409059,13295722.179002931,0.9410785391135769,15.310873973289892,73.54598267380143,8.364335162376003,33.0808107856912,51587.64821861311,5.453327682366913e-06,474.44369681991043,1.5553748199639714,2166.6202989621856,0.041931902635695135,48.3072005952072,52.700000000000294,37.300000000000196,8.560000000000045,32415.130000000172,19.600000000000104,80.98000000000044,896007.000000005,8.54141287264472,17.570791585204134
2021-10-05,119937.39370201563,112.83638073322075,116.96160088339165,566.7372822667186,0.5807206062037216,0.6964764838703699,13347143.97449139,0.9561927117042854,15.030149662255738,71.97189812364464,7.721729994000128,31.821008403240178,51421.795488458934,4.089995761775184e-06,477.5148136621216,1.6206135594892492,2158.875211293394,0.040489974164877415,47.96859340051018,52.700000000000294,37.300000000000196,8.560000000000045,32415.130000000172,19.600000000000104,80.98000000000044,896007.000000005,8.553753578206887,17.539638152842546
2021-10-06,120049.96672124363,112.57301922800235,115.39770308659044,567.2988246606086,0.5615423938900252,0.6533761088627005,13398433.621721826,0.9717542622850028,14.722935452897381,70.4379248855584,7.108171168046045,30.687669683167083,51289.64723043606,3.067496821331388e-06,478.8656108930043,1.6975329718147418,2154.7773522321686,0.03927989174195158,47.66910002775827,52.700000000000294,37.300000000000196,8.560000000000045,32415.130000000172,19.600000000000104,80.98000000000044,896007.000000005,8.566044359941076,17.494695485995862
2021-10-07,120162.77478236792,112.80806112429863,114.2902031391188,567.8468237313978,0.5479990707892068,0.618280627219101,13449631.36008583,0.9875689287758092,14.389615940028582,68.92831438168668,6.5427130098880815,29.69310012459716,51197.738364003584,2.300622615998541e-06,478.35954753626976,1.786001862022016,2154.6923709937805,0.03829072035785352,47.41370608093512,52.700000000000294,37.300000000000196,8.560000000000045,32415.130000000172,19.600000000000104,80.98000000000044,896007.000000005,8.578294005019075,17.44315535260755
2021-10-08,120276.32630332427,113.55152095634631,113.65934288439743,568.387202478575,0.5403787471772323,0.5912259843121933,13500775.639699169,1.0034611180427504,14.036022556184996,67.45218278044739,6.041661685110221,28.846332619535268,51144.27961333889,1.7254669619989057e-06,476.01667584289464,1.8857473025712443,2158.5441004819254,0.037489533481059864,47.2048086492599,52.700000000000294,37.300000000000196,8.560000000000045,32415.130000000172,19.600000000000104,80.98000000000044,896007.000000005,8.590511920330945,17.392115637181703
2021-10-09,120391.08937843067,114.76307510640018,113.49923954856001,568.9259383812332,0.5387359026582967,0.5717834184216053,13551905.501106005,1.0192107383381406,13.671910259090929,66.04270851390706,5.617161399117555,28.151925565861198,51129.86140683682,1.2941002214991793e-06,471.9077476707948,1.9960597497144739,2165.57161770146,0.03684517208881692,47.041949893538394,52.700000000000294,37.300000000000196,8.560000000000045,32415.130000000172,19.600000000000104,80.98000000000044,896007.000000005,8.602707169539936,17.347748123213663
2021-10-10,120507.45402477338,116.36464634272856,113.77118644875048,569.468888175066,0.5429497938327666,0.5589687855356616,13603050.532810776,1.034569980062592,13.30498311448628,64.72875084244396,5.276041702214707,27.609176882863935,51145.031704772155,9.705751661243844e-07,466.2696811474083,2.115610126873232,2174.4440009296213,0.03632133866583705,46.92162870974662,52.700000000000294,37.300000000000196,8.560000000000045,32415.130000000172,19.600000000000104,80.98000000000044,896007.000000005,8.614887520012108,17.314552204239618
2021-10-11,120625.51479136624,118.06076659285785,114.41970415459792,570.017874922509,0.5489867474430954,0.5509854773223999,13654223.969760008,1.0493027274515998,12.947289372063821,63.53688310597656,5.018860623784501,27.211649953679984,51173.43694923207,7.279313745932883e-07,459.384541080337,2.2425303704188795,2183.343052410212,0.03590874802006303,46.83709645150848,52.700000000000294,37.300000000000196,8.560000000000045,32415.130000000172,19.600000000000104,80.98000000000044,896007.000000005,8.62705849715195,17.29467304135039
2021-10-12,120745.51513360241,120.00034223617556,115.44319973844375,570.5759950735891,0.55812015108006,0.5476936975199196,13705432.692607678,1.0632306008569625,12.609028761433144,62.49492154085936,4.839094678291794,26.948013945082725,51208.72284767073,5.459485309449663e-07,451.4871711625481,2.3748554378012354,2190.5208478079853,0.035602537097788114,46.778260283039955,52.700000000000294,37.300000000000196,8.560000000000045,32415.130000000172,19.600000000000104,80.98000000000044,896007.000000005,8.639245853656291,17.28971523442495
2021-10-13,120867.70624354393,122.19110994151451,116.81737330092412,571.1477526077135,0.5717575341245255,0.5490201115368376,13756670.768647764,1.0762487424979272,12.296218888463368,61.61984984989153,4.727737298311611,26.804340867898794,51238.07604008408,4.094613982087247e-07,442.7720897487701,2.510655664754723,2194.4659105812666,0.03538693837602375,46.7318041327713,52.700000000000294,37.300000000000196,8.560000000000045,32415.130000000172,19.600000000000104,80.98000000000044,896007.000000005,8.651472805608377,17.300299007774598
2021-10-14,120992.27772726057,124.57148371664027,118.49810059624917,571.7378991358119,0.5901465280982431,0.5548491172660743,13807913.387523334,1.0882557230014367,12.01109435380714,60.91501666990095,4.674300526601016,26.76451246134061,51242.618875570566,3.0709604865654355e-07,433.44588857854643,2.647957865782164,2193.4950858124885,0.03526111522351753,46.69475145122689,52.700000000000294,37.300000000000196,8.560000000000045,32415.130000000172,19.600000000000104,80.98000000000044,896007.000000005,8.663744160028623,17.32467249666577
2021-10-15,121119.30561283408,127.02788557351789,120.4235950011625,572.3505639769405,0.6126648411286283,0.5649412981951932,13859178.130122159,1.0991850049207623,11.755815917262288,60.369439619426444,4.667820232885942,26.811010165564085,51264.74259882409,2.3032203649240766e-07,423.84569794651543,2.785036676647552,2185.678618819615,0.03522282413580239,46.664882108135814,52.700000000000294,37.300000000000196,8.560000000000045,32415.130000000172,19.600000000000104,80.98000000000044,896007.000000005,8.676037411738166,17.358045881410607
2021-10-16,121248.71335636136,129.40774352726208,122.51602899166068,572.9886017157378,0.6380377387973448,0.578872263239156,13910418.990578065,1.1090131880797136,11.52904681189631,59.95713789168692,4.697863974184271,26.92599241039528,51240.860455905466,1.7274152736930576e-07,414.2639938865193,2.920325083439127,2169.455570449556,0.035268766453500196,46.640494160287446,52.700000000000294,37.300000000000196,8.560000000000045,32415.130000000172,19.600000000000104,80.98000000000044,896007.000000005,8.688299067206998,17.392466907133333
