date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,gdp_per_capita,cardiovasc_death_rate,female_smokers,population
2022-02-16,738352.8650300988,4910.028743469868,5188.8880481873275,7708.636540741163,17.427078533395235,16.612280672646165,14.187806524225874,0.9599068573362222,10695.090981865227,11120.540255063184,0.3785172095451782,2.6676613039123955,26200.49337369277,0.08375423999346562,42.40758002840895,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-02-17,743131.1883006941,4778.323270595296,5095.782841893573,7726.200143112444,17.5636023712811,16.90379195244845,14.702272521759323,0.94562212748827,10553.975072210182,10977.207405259911,0.3711726518259818,2.7258687962924126,28625.17945173052,0.08440165284577805,42.207066566232434,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-02-18,747760.5320303051,4629.34372961099,4990.279409539126,7743.834561115856,17.63441800341237,17.139416362526408,15.26691435992234,0.9317018897338508,10409.775955094949,10834.926222981792,0.363223218669099,2.7911485267603604,31180.19199022005,0.08534067079141187,42.0015218057345,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-02-19,752231.0020770286,4470.470046723438,4873.579278227396,7761.469828399928,17.635267284071908,17.31616747551474,15.879140197866796,0.9181443875654184,10260.32587388425,10692.65339380391,0.3547443370787478,2.8633516988841077,33807.07754146923,0.08659034472251831,41.794056674275076,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-02-20,756542.9635487228,4311.961471694167,4747.660736951096,7779.0347242411335,17.564895841205217,17.434865425640602,16.53460621036337,0.9049689887994691,10107.902146201825,10548.784906374278,0.345832654877581,2.941985332016996,36439.40967517115,0.08813264218765486,41.58902925425193,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-02-21,760727.1410519762,4184.177503253501,4615.033030088893,7796.508186038004,17.473461796870325,17.503260575371392,17.22739486462453,0.8921727661632746,9954.208671706972,10402.6809389921,0.3365637283915411,3.028075941482047,39006.78101203453,0.08991848616562816,41.39128696977757,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-02-22,764776.3554172962,4049.2143653198978,4476.218260769649,7813.853198352043,17.345012314039323,17.519370770895087,17.95035594161645,0.8797583722953725,9802.977948511982,10255.005807670073,0.32699487127749594,3.1231335559822573,41439.94999625932,0.09189700942060135,41.205573016602784,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-02-23,768676.4712979441,3900.1158806479757,4331.945219494501,7831.013638259841,17.160439907798423,17.481440327686528,18.695533601331952,0.8677423409539158,9657.335109735648,10106.761272365367,0.3171892691659439,3.228259992455347,43666.43796584356,0.09401438602472717,41.03612788785615,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-02-24,772413.0360203241,3736.5647223799742,4183.122785015192,7847.929556425984,16.91591816614296,17.389106748673775,19.454194872713835,0.8561365876482111,9520.49273501668,9959.12334599996,0.30718364547497545,3.3446726931133317,45612.34345499036,0.09621457103115057,40.8863767820848,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-02-25,775976.2587217729,3563.22270144885,4030.8199749928144,7864.548637907734,16.619081481750097,17.24427576286282,20.21730489495465,0.8449455241233604,9394.833109762845,9814.130550870377,0.2969855039834136,3.474086291005011,47211.69453371214,0.09842886621777161,40.75868255424304,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-02-26,779364.7447039036,3388.4859821305977,3876.2509839918685,7880.834797758542,16.286159850808392,17.051777604306157,20.976049107082673,0.8341996085094574,9280.746147771402,9674.186261569084,0.2866040277936368,3.617785144885955,48413.22603926285,0.10059330447910134,40.65416042893379,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
