date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,aged_70_older,extreme_poverty,male_smokers,hospital_beds_per_thousand,life_expectancy,population
2021-09-14,21215.531410671192,23.712585152305678,23.704636537847165,591.9214511419682,0.9416322093041097,0.6986466386324478,0.32456477384166216,0.9620712045051838,431.00000000000216,0.1100000000000006,9.50000000000005,1403.2867041450181,0.00892898686350338,64.49348673307173,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-09-15,21239.281945204457,23.750534533266137,23.792194759558644,592.9468575872462,1.0254064452780194,0.776573052665352,0.33038857484056927,0.9644357563200656,431.00000000000216,0.1100000000000006,9.50000000000005,1374.1491263634518,0.008675408538060642,64.57261504980389,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-09-16,21263.425098205247,24.143153000789972,23.894325772319306,594.0472149422131,1.1003573549669199,0.856474876764691,0.33606030406421633,0.9674544836912464,431.00000000000216,0.1100000000000006,9.50000000000005,1336.8999507842261,0.008292270689259779,64.63196128735301,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-09-17,21288.366577370834,24.941479165589286,24.072126197371382,595.2085527709787,1.1613378287655927,0.9348154335916194,0.3416009003170703,0.971167947448462,431.00000000000216,0.1100000000000006,9.50000000000005,1293.3599501599228,0.007837173281973931,64.67647096551485,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-09-18,21314.50883735912,26.142259988283797,24.3881775504203,596.412232289935,1.2036795189562262,1.0078820987877695,0.34703010316281935,0.9755634201855721,431.00000000000216,0.1100000000000006,9.50000000000005,1245.089451954139,0.007343135294382848,64.70985322413622,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-09-19,21342.210361051046,27.701523691923946,24.90102795919535,597.6353054391716,1.2230731492365639,1.0720597641360778,0.35230707963455843,0.980587885113324,431.00000000000216,0.1100000000000006,9.50000000000005,1193.087337834384,0.006826355995674021,64.73488991810225,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-09-20,21371.407221337766,29.19686028671935,25.656729922208445,598.8331371272141,1.197831688042486,1.120796439133088,0.35741553920232527,0.9861610172609802,431.00000000000216,0.1100000000000006,9.50000000000005,1138.8289487539405,0.0063025401059992195,64.75366743857678,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-09-21,21402.32732938409,30.92010804632592,26.686238133317655,599.9986246618303,1.1654875346162228,1.152569210409934,0.36236753675468564,0.9921771624286065,431.00000000000216,0.1100000000000006,9.50000000000005,1084.126026368301,0.005785405402705626,64.76775057893269,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-09-22,21435.3258461008,32.99851671670959,28.00726279520483,601.1398540813768,1.1412294195465253,1.1689686014079694,0.36720293116976394,0.9984990644523548,431.00000000000216,0.1100000000000006,9.50000000000005,1031.1034887484311,0.005296552435998197,64.77831293419962,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-09-23,21470.768043269876,35.442197169077176,29.621323470030042,602.274686941124,1.134832859747161,1.1738038589422102,0.37199566961197117,1.0049816027995133,431.00000000000216,0.1100000000000006,9.50000000000005,982.250725805022,0.004847656731652821,64.7862347006498,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-09-24,21508.941449388443,38.17340611856619,31.51153946742239,603.4267004029996,1.1520134618756601,1.1724319181239184,0.37684403727685223,1.011457113541136,431.00000000000216,0.1100000000000006,9.50000000000005,940.3398381482084,0.004462827228765477,64.79217602548744,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-09-25,21549.989959051705,41.04850966326214,33.64097263547312,604.6221423028969,1.195441899897374,1.1712541260525395,0.3818529051392816,1.017752337418297,431.00000000000216,0.1100000000000006,9.50000000000005,908.1635082168458,0.0041706498333388175,64.79663201911566,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-09-26,21593.864414990167,43.874455938461544,35.95138445398047,605.8876474511554,1.2655051482585205,1.1773387845846552,0.3871527687057869,1.023704362953834,431.00000000000216,0.1100000000000006,9.50000000000005,889.4663609622476,0.00399822008347212,64.79997401433684,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-09-27,21640.133023589133,46.26860859896581,38.39022402245051,607.2308777990979,1.3432303479424381,1.1981380574106975,0.3928831147138453,1.0291510905734895,431.00000000000216,0.1100000000000006,9.50000000000005,887.4562833267289,0.003966667648253739,64.80248051075273,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-09-28,21688.894386308555,48.761362719424824,40.93901740274616,608.6661124540431,1.4352346549451958,1.2367014745383091,0.3991947120627185,1.0339504220025169,431.00000000000216,0.1100000000000006,9.50000000000005,904.687445203516,0.004100404743947259,64.80436038306465,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-09-29,21740.263097423755,51.36871111519895,43.56339039530468,610.2131105202359,1.5469980661927392,1.2946932035120078,0.40622082858023734,1.0380209936188898,431.00000000000216,0.1100000000000006,9.50000000000005,942.5326330299816,0.004423073435142093,64.80577028729857,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-09-30,21794.30158938976,54.03849196600498,46.220068814578134,611.8912162127375,1.6781056925017004,1.3723230700548226,0.4140614059028118,1.0413139029387972,431.00000000000216,0.1100000000000006,9.50000000000005,1000.7638089677043,0.004956122141644233,64.80682771547401,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-10-01,21850.969016864587,56.667427474827036,48.862128695613706,613.7149376928442,1.8237214801067245,1.4682948235495228,0.42276938991515084,1.0438041085227807,431.00000000000216,0.1100000000000006,9.50000000000005,1077.6471941530585,0.005682023732930018,64.80762078660561,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-10-02,21910.082919726687,59.113902862099685,51.442933948988966,615.6906311946501,1.9756935018059678,1.5797673361495397,0.43233867785976393,1.0455075739583441,431.00000000000216,0.1100000000000006,9.50000000000005,1170.02283905371,0.006552403384700759,64.8082155899543,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-10-03,21971.290470338034,61.20755061134538,53.9190896020133,617.8140141199704,2.12338292532022,1.7023255021121577,0.442730252738715,1.0464567955301687,431.00000000000216,0.1100000000000006,9.50000000000005,1273.7621195940985,0.007517728524304511,64.80866169246582,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-10-04,22033.95993420152,62.66946386348651,56.26200967080548,620.0947704477679,2.280756327797538,1.8362609333068103,0.453903561133438,1.0467181622584876,431.00000000000216,0.1100000000000006,9.50000000000005,1384.5057202708833,0.008525982236796596,64.80899626934945,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
2021-10-05,22098.02811160786,64.06817740634155,58.44857383358255,622.5346201758397,2.4398497280718163,1.9797797335935563,0.46578950019720267,1.0463555253784178,431.00000000000216,0.1100000000000006,9.50000000000005,1497.3022863246906,0.009535404583221253,64.80924720201219,24.300000000000136,2.950000000000016,23.500000000000124,23.100000000000122,0.7000000000000035,64.00000000000033,11585003.000000065
