date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_vaccinations_per_hundred,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,extreme_poverty,female_smokers,male_smokers,hospital_beds_per_thousand,population
2020-11-05,2486.7840844793127,8.7941653330154,9.291236542057458,66.14600478866465,0.1456864020930419,0.15027670271442156,0.03000000000000016,1.0298261843737428,960.000000000005,0.0,22.220000538120633,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-06,2495.518509384052,8.734424904738937,9.105981543582537,66.28839822627558,0.14239343763959414,0.14900600796665026,0.03000000000000016,1.0417775245117242,960.000000000005,0.0,22.220000403590507,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-07,2504.2376538544613,8.719144470409418,8.968424102095447,66.42594637494271,0.1375481486886486,0.14730880461752183,0.03000000000000016,1.054363039957809,960.000000000005,0.0,22.220000302692913,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-08,2512.9864983094017,8.748844454940237,8.874595225892865,66.55724258663699,0.1312962117104103,0.1448990242776212,0.03000000000000016,1.0675277744738527,960.000000000005,0.0,22.220000227019717,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-09,2521.7678472291464,8.781348919744298,8.81330453189542,66.6811510737852,0.12390848716031272,0.1413609197919265,0.03000000000000016,1.08123180370607,960.000000000005,0.0,22.22000017026482,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-10,2530.6059112783596,8.838064049213537,8.784883376297143,66.79690079725884,0.11574972348271043,0.13655236405208984,0.03000000000000016,1.0954639303490434,960.000000000005,0.0,22.220000127698647,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-11,2539.544543348883,8.938632070523612,8.791030664091002,66.90415588236569,0.10725508511364897,0.1305364449847689,0.03000000000000016,1.1102178572640464,960.000000000005,0.0,22.220000095774015,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-12,2548.634571054006,9.090027705122846,8.833499727221463,67.00306843084353,0.09891254848294206,0.12353016179287546,0.03000000000000016,1.1254638131161037,960.000000000005,0.0,22.220000071830544,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-13,2557.9242960991696,9.289725045164062,8.913113483198915,67.09431812985542,0.09124969901572959,0.11586594713651192,0.03000000000000016,1.1411772069605441,960.000000000005,0.0,22.22000005387294,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-14,2567.452368809998,9.528072710828457,9.02902580406048,67.1791419587362,0.08482382888364601,0.10796280876867365,0.03000000000000016,1.1573507462029566,960.000000000005,0.0,22.220000040404738,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-15,2577.2424440283166,9.790075218318513,9.178167543090622,67.25935646905225,0.08021451031819678,0.1003046857620257,0.03000000000000016,1.1739584378034797,960.000000000005,0.0,22.220000030303584,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
