date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,people_vaccinated_per_hundred,reproduction_rate,new_vaccinations,new_people_vaccinated_smoothed_per_hundred,median_age,extreme_poverty,hospital_beds_per_thousand,population
2020-03-11,102114.72758504639,3663.521915625399,2550.802645161487,3528.7117769128467,143.14457243228483,104.8990841670265,0.010000000000000038,0.0,1.7052984709076033,1.0000000000000038,0.0,30.90000000000012,10.00000000000004,2.700000000000011,7975105024.000032
2020-03-12,105822.82814347206,4239.105619331316,2890.3988939205356,3673.6154225691153,170.20319598289464,117.38191964657682,0.010000000000000044,0.0,1.7488471668956478,1.0000000000000042,0.0,30.900000000000134,10.000000000000044,2.700000000000012,7975105024.000036
2020-03-13,110484.29528342838,5044.922911977488,3319.425311843123,3866.8299411996286,211.45992769176095,134.9812399934978,0.010000000000000047,0.0,1.7926190532583577,1.0000000000000044,0.0,30.90000000000014,10.000000000000048,2.700000000000013,7975105024.000038
2020-03-14,116270.40698293346,6047.355079910731,3853.816517819001,4119.8820712843435,265.4988888845291,158.96615284580238,0.010000000000000049,0.0,1.835405466414359,1.0000000000000047,0.0,30.900000000000148,10.00000000000005,2.7000000000000135,7975105024.00004
2020-03-15,123283.2443774718,7186.592812841918,4503.0576870067935,4440.952729933853,329.3789985961706,190.26435784702184,0.01000000000000005,0.0,1.8757145716918322,1.0000000000000049,0.0,30.900000000000155,10.000000000000052,2.700000000000014,7975105024.000042
2020-03-16,131169.15348349191,8016.224409243605,5243.150862055364,4808.9891272823315,374.26765230847315,227.43354860504704,0.010000000000000052,0.0,1.9117166010377846,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.7000000000000144,7975105024.000043
2020-03-17,140044.33463427398,8972.916157611453,6084.189567679221,5231.813274033186,427.49758797085144,271.27235537750914,0.010000000000000054,0.0,1.9425153111532603,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
2020-03-18,150217.99221681757,10246.958045810417,7048.08503096305,5730.545879894647,502.2376867764589,323.48412868568585,0.010000000000000054,0.0,1.9673677374050258,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
2020-03-19,162072.62955369294,11909.613298417305,8160.096957773047,6331.647225047047,603.730155838648,386.0469583436123,0.010000000000000054,0.0,1.9857126162405856,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
2020-03-20,175974.27006442967,13942.875067542807,9442.48161506542,7060.947813743281,731.2721967109203,460.74118772991443,0.010000000000000054,0.0,1.9972668474422393,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
2020-03-21,192205.1231365579,16261.783950948024,10909.727892617768,7939.171364509155,879.7022567768895,548.7950494916838,0.010000000000000054,0.0,2.001907310759446,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
2020-03-22,210913.0835288894,18731.166130631867,12564.984349327604,8978.577052793647,1040.5147177927533,650.618892322384,0.010000000000000054,0.0,1.999605822436103,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
2020-03-23,231702.0802937263,20806.377312906065,14396.672909700967,10146.21976438517,1168.4744837227183,764.2519056671289,0.010000000000000054,0.0,1.9904574372860329,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
2020-03-24,254751.83627071534,23062.764578086186,16412.90137522986,11455.727428330916,1310.131493044142,890.473751163729,0.010000000000000054,0.0,1.9746889086044757,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
2020-03-25,280388.74265229364,25646.656723803862,18615.40312935391,12936.693082560429,1481.4335260533094,1030.4574345751257,0.010000000000000054,0.0,1.9526971921191643,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
2020-03-26,308954.4947397056,28573.098667610546,20997.80968508916,14623.12396512009,1686.7817864275094,1185.2530899908165,0.010000000000000054,0.0,1.9249474254403778,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
2020-03-27,340707.5687600157,31758.672416997557,23544.355095749685,16544.778332598988,1921.9175453797823,1355.4008179779244,0.010000000000000054,0.0,1.891954589765483,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
2020-03-28,375749.3294788683,35046.112796911126,26228.90426298878,18720.668073948305,2176.087124774983,1540.6403141944998,0.010000000000000054,0.0,1.8543253476246964,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
2020-03-29,413968.6109100569,38222.76924538864,29014.224167829874,21154.185670845884,2433.6656344668263,1739.693090849498,0.010000000000000054,0.0,1.8126625627547237,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
2020-03-30,454782.2346208111,40816.53619389934,31873.422100662377,23797.44521628895,2643.3705736200013,1950.4158822935588,0.010000000000000054,0.0,1.7676843816652692,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
2020-03-31,498277.4448893325,43497.762148656635,34793.16021835399,26663.75246425296,2866.3905190967125,2172.7560151461585,0.010000000000000054,0.0,1.7202915667919405,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
2020-04-01,544601.8391938264,46326.739193910136,37747.79714889807,29779.072751551117,3115.3827406476853,2406.1902683085564,0.010000000000000054,0.0,1.6714940467810937,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
2020-04-02,593872.6782641491,49273.08054281471,40705.1918503614,33170.375636708,3391.349725169028,2649.709534780226,0.010000000000000054,0.0,1.6223067018602244,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
2020-04-03,646108.8686205435,52238.3902552042,43631.05650509497,36856.89337911478,3686.5528724158853,2901.8073180211795,0.010000000000000054,0.0,1.573618843460458,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
2020-04-04,701179.9494776906,55073.265525921655,46492.22119039208,40843.56479839563,3986.6977667876804,3160.471104223712,0.010000000000000054,0.0,1.526136724709114,1.000000000000005,0.0,30.900000000000162,10.000000000000053,2.700000000000015,7975105024.000044
