date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_tests,new_tests,new_tests_smoothed,positive_rate,tests_per_case,life_expectancy,population
2020-04-24,12.823475955082277,0.27776430929534895,0.37451551261605714,1.952735578740703,0.02221681586557533,0.047435847365208464,278.160720821522,117.15543540253064,29.49466593524539,14.770833033187298,0.1447342013875381,104.23313136028236,76.74000000000039,49574.000000000255
2020-04-25,13.05390302319602,0.2425992500710594,0.34196226471414404,1.9658121882572108,0.016662611899181497,0.03872620679087469,283.1588146950042,154.38280958357254,37.42919272874505,19.46007370831004,0.12134444548150689,124.35390152602974,76.74000000000039,49574.000000000255
2020-04-26,13.253775683686627,0.20900179695859528,0.3102216985356083,1.974359141192911,0.012496958924386122,0.030755062332975033,287.49413817057484,200.42004459341138,46.18167153427705,25.090174867528646,0.09981764244985031,143.79323803851096,76.74000000000039,49574.000000000255
2020-04-27,13.423896727212306,0.17696789587667117,0.277830139447925,1.9807693558946857,0.00937271919328959,0.0237156180166996,291.1841277067939,255.85456156399897,55.53930794935044,31.656965345863103,0.0806129086311822,161.8556815993425,76.74000000000039,49574.000000000255
2020-04-28,13.563429979151977,0.14466839120291392,0.24479907517417926,1.9855770169210172,0.007029539394967193,0.0177867135125247,294.2106520179756,321.16894315102195,65.39192440092698,39.12675762284279,0.06406892517086565,177.9952033455964,76.74000000000039,49574.000000000255
2020-04-29,13.67425315663291,0.11467453192836516,0.21177706979369212,1.9891827626907657,0.005272154546225395,0.013340035134393524,296.6144427949947,397.1247034847928,76.01391744419894,47.50807726690594,0.05038362665125849,191.73850011747172,76.74000000000039,49574.000000000255
2020-04-30,13.76044099869642,0.08907635789908576,0.1797741404189602,1.991887072018077,0.003954115909669046,0.010005026350795143,298.48388413244555,484.19491740027945,87.11383174830775,56.72283235224809,0.03956325327868305,202.99097754447126,76.74000000000039,49574.000000000255
2020-05-01,13.82787761392214,0.06960300210240095,0.1499550397033605,1.9939153040135604,0.0029655869322517845,0.007503769763096357,299.9466045990114,582.6945558588727,98.53235183320902,66.62552762553074,0.031124767043692318,211.41860322945917,76.74000000000039,49574.000000000255
2020-05-02,13.883965741146215,0.057712917381584176,0.12348421772192895,1.995436478010173,0.002224190199188838,0.005627827322322268,301.1631712902415,692.7838451423784,110.11382431446741,77.03845728993036,0.024710575929181654,216.57950833676824,76.74000000000039,49574.000000000255
2020-05-03,13.937408694999952,0.05466154647187015,0.10140954338194448,1.9965773585076323,0.0016681426493916286,0.004220870491741701,302.32236036813407,814.651927166417,121.88648329725996,87.8756432260129,0.019965381849924385,218.50299259711431,76.74000000000039,49574.000000000255
