date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,extreme_poverty,female_smokers,population
2022-04-12,85921.79172244668,5.493450845878021,6.054025990541766,1964.8668582410612,0.0411700713413372,0.05966236285648159,8.41068255623867,0.8393689470973336,950.363058706271,1030.5505799135296,0.005339839911312138,216.5402428636409,6048.993897229207,1.2840345760727803e-07,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-04-13,85927.01376597863,5.2220435319521545,5.884925439900514,1964.8995295890081,0.032671347946856166,0.05416758662199926,8.410684330972119,0.8325722823979852,930.1992655875584,1003.7031256268097,0.004683936171363875,224.53295040888162,6048.995422921913,9.630259320545853e-08,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-04-14,85931.93766772907,4.92390175045087,5.677683090914404,1964.9252612835494,0.025731694541266885,0.04780442299817369,8.410685662022205,0.8269261413395372,912.7669184860805,978.6830326493264,0.004019577855736872,233.2742360775084,6050.085642821695,7.222694490409389e-08,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-04-15,85936.55016417766,4.612496448584764,5.438786235445021,1964.946353848896,0.02109256534680343,0.0411451724522502,8.41068666030977,0.8225981289522947,898.2016271321763,955.9715343447853,0.0033685941868899214,242.47791202904313,6053.262971612078,5.4170208678070416e-08,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-04-16,85940.85682158198,4.306657404311881,5.177125875678795,1964.965663899926,0.019310051030141374,0.03483399246135962,8.410687409025442,0.81970021274525,886.1069734195924,935.7967503061016,0.0027513971592366083,251.84035063458168,6058.689794966339,4.062765650855281e-08,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-04-17,85944.88605510064,4.029233518650852,4.903857981419735,1964.9864651195176,0.020801219591287383,0.029546308825657737,8.410687970562197,0.8182591608517634,876.0609831351544,918.2163894910511,0.002185719815128814,261.1677468156264,6065.273163936463,3.047074238141461e-08,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-04-18,85948.69844565656,3.812390555924148,4.62941287843714,1965.0123439915478,0.025878872030246462,0.026134844741415267,8.410688391714762,0.8182268528624824,868.1148388381155,903.1731518467964,0.001685669951844348,270.1188062332458,6070.49120132986,2.2853056786060956e-08,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-04-19,85952.29427703503,3.5958313784815767,4.358106685330769,1965.0446490731724,0.03230508162449487,0.024892988759681385,8.410688707579187,0.8195440892266949,861.7607251208309,890.5273590370055,0.001264252463883261,278.979292134534,6070.398960144139,1.7139792589545718e-08,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-04-20,85955.67440848745,3.3801314524132224,4.094794946124779,1965.0841493776036,0.039500304431040925,0.025848474601435287,8.410688944477505,0.8222241625890592,856.5272665297,880.0079627166693,0.0009481893479124457,287.777966192045,6059.774915001455,1.2854844442159288e-08,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-04-21,85958.84433254541,3.1699240579589185,3.844089745469477,1965.1310176569934,0.04686827938986127,0.028807170430714527,8.410689122151243,0.8262857690006191,852.0907795676059,871.338987551401,0.0007111420109343343,296.44932952444793,6031.2813801748225,9.641133331619467e-09,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-04-22,85961.81721838139,2.972885835970808,3.609772545042642,1965.1848178645964,0.053800207603158824,0.0333859208094613,8.410689255406547,0.8317201444621656,847.6499851281942,864.1117552078312,0.0005333565082007507,304.92388143551483,5976.971086844118,7.2308499987146e-09,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-04-23,85964.61619432914,2.798975947760268,3.394353810850505,1965.2444957513912,0.059677886794806206,0.03903717816365714,8.410689355348026,0.8385085957415834,842.661454586289,857.9038875112396,0.00040001738115056306,313.15317772175615,5889.417116038074,5.42313749903595e-09,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-04-24,85967.27605977411,2.6598654449830996,3.1987427337034933,1965.3083718135463,0.06387606215492829,0.04506747638292394,8.410689430304135,0.846580703431916,837.3607645014503,852.3359311473288,0.0003000130358629223,321.08060727321805,5762.56034834078,4.067353124276963e-09,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-04-25,85969.84709007958,2.571030305456785,3.021470107808328,1965.3753965072215,0.06702469367501984,0.05082775660846002,8.410689486521216,0.8558351720471121,831.8881719539816,847.0881797761409,0.00022500977689719173,328.5461923650627,5592.345051171559,3.050514843207722e-09,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-04-26,85972.33882434714,2.49173426755413,2.8638582369648464,1965.4449927585702,0.06959625134870197,0.05604841926629987,8.410689528684028,0.8661181372770936,825.8373151322618,841.9026732936453,0.0001687573326728938,335.3226597876954,5377.195569244868,2.2878861324057915e-09,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-04-27,85974.75785129215,2.419026945009492,2.7267170455323,1965.5158389451424,0.07084618657228936,0.060436766938412795,8.410689560306135,0.8773129080644795,818.7441466594754,836.5526998635771,0.00012656799950467034,341.25859309545854,5118.373842415234,1.7159145993043435e-09,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-04-28,85977.10967806198,2.351826769843095,2.610034228880967,1965.586216636138,0.0703776909957976,0.06372802769249748,8.410689584022716,0.8893562065816512,811.1507893740517,830.9033904439025,9.492599962850275e-05,346.2031982152596,4819.1584684306945,1.2869359494782575e-09,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-04-29,85979.40013184978,2.290453787789564,2.512742866230864,1965.6542713975973,0.06805476145951797,0.06572362257932797,8.410689601810152,0.9022135027061169,803.3116214423045,824.8905195620812,7.119449972137707e-05,350.01224837055963,4484.089374917079,9.65201962108693e-10,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-04-30,85981.63641110464,2.2362792548693253,2.4325471302807786,1965.7182083962937,0.0639369986964485,0.06631986625576305,8.410689615150728,0.9158862097703776,795.792814336416,818.5582258060158,5.33958747910328e-05,352.66437696958155,4119.211148834873,7.239014715815198e-10,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-01,85983.82787393946,2.1914628348171554,2.365791569430044,1965.776439102653,0.0582307063591173,0.06552949245200337,8.410689625156161,0.9303724789179592,789.2995073263272,811.9897585594257,4.00469060932746e-05,354.11328595924874,3731.9762834102567,5.429261036861398e-10,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-02,85985.97402439459,2.1461504551367865,2.305195002217979,1965.8276913179427,0.051252215289700004,0.06332132748379898,8.410689632660237,0.9457184348187229,783.9963014708292,805.2620829790403,3.003517956995595e-05,354.5080462406071,3330.8921026675853,4.071945777646049e-10,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-03,85988.0788537841,2.104829389510317,2.249955883208413,1965.8710916946654,0.04340037672260793,0.059653891540451115,8.410689638288293,0.9619948700700875,779.9007652110738,798.5141769724843,2.2526384677466964e-05,353.90476771212997,2924.977803568241,3.0539593332345367e-10,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-04,85990.15472857349,2.075874789385488,2.200900008721762,1965.906227626852,0.03513593218642913,0.05465444580465966,8.410689642509334,0.9792054285706666,776.5475519302844,791.8960561294936,1.689478850810022e-05,352.1397005416933,2523.0790863542693,2.2904694999259026e-10,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-05,85992.21900376701,2.0642751935258676,2.1597278507559334,1965.9331936677822,0.026966040930384228,0.04857680720417352,8.410689645675117,0.997272526502339,774.1151726742819,785.5262922587244,1.2671091381075166e-05,349.21295252327104,2134.1626922705514,1.717852124944427e-10,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-06,85994.29148294819,2.0724791811818957,2.1284500574270044,1965.9526263432763,0.020224530697788172,0.04176970947552836,8.410689648049452,1.0160167736744286,772.8966736233596,779.5509409135013,9.503318535806375e-06,345.27426836789004,1767.3976817756359,1.2883890937083202e-10,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-07,85996.39251331016,2.1010303619691655,2.1089640782997323,1965.9657302616615,0.015168398023341129,0.03465307396184991,8.410689649830204,1.0351662648065663,773.1902169175853,774.0990007723929,7.127488901854781e-06,340.42585156680354,1431.1273175696072,9.662918202812402e-11,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-08,85998.54155692844,2.149043618277136,2.102736633385436,1965.9742976962489,0.011376298517505847,0.027700212711206446,8.410689651165768,1.0543640328001427,775.225451957744,769.2985556859537,5.345616676391086e-06,334.8409077442692,1132.0979768649884,7.247188652109302e-11,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-09,86000.7346906441,2.1931337156470923,2.1093050606887243,1965.9807232721894,0.008532223888129385,0.021424480800373163,8.410689652167441,1.073249915356411,778.214725684534,765.2091462408722,4.009212507293314e-06,328.71507964466,874.8808355899178,5.435391489081977e-11,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-10,86002.98350020686,2.248809562753422,2.1297632169774383,1965.9855424541447,0.006399167916097038,0.01606836060027987,8.410689652918697,1.0915064410421969,781.7401489822122,761.8261712514374,3.0069093804699857e-06,322.3843300954864,661.4381315405313,4.0765436168114825e-11,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-11,86005.30936077259,2.3258605657302285,2.1654033758875744,1965.9891568406113,0.004799375937072779,0.012051270450209903,8.410689653482137,1.1088699729923797,785.4391615104159,759.1312153810484,2.255182035352489e-06,316.158698444272,496.07859865539854,3.057407712608612e-11,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-12,86007.73662626799,2.4272654954030406,2.217227063266686,1965.9918676304612,0.003599531952804584,0.009038452837657428,8.410689653904718,1.1251288856912807,789.4606736538215,757.0777263386315,1.6913865265143667e-06,310.4067177569277,372.0589489915489,2.293055784456459e-11,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-13,86010.2875214141,2.5508951461159564,2.2855781836814337,1965.9939007228486,0.0026996489646034377,0.006778839628243071,8.410689654221654,1.14009828029949,793.6066396941487,755.571917895539,1.268539894885775e-06,305.4691818212515,279.04421174366166,1.7197918383423442e-11,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-14,86012.97831074394,2.6907893298520005,2.3698678652982474,1965.9954255421392,0.0020247367234525783,0.005084129721182304,8.410689654459356,1.153585507251122,797.9188937977619,754.5264982148033,9.514049211643312e-07,301.6065146788026,209.28315880774625,1.2898438787567581e-11,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-15,86015.81642536577,2.8381146218233937,2.468368093543825,1965.9965691566072,0.0015185525425894337,0.0038130972908867276,8.410689654637633,1.1654053553898622,802.291287348969,753.8260792202502,7.135536908732484e-07,298.84645355919935,156.96236910580967,9.673829090675685e-12,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-16,86018.78444248922,2.9680171234457657,2.579140969963949,1965.9974268674582,0.0011389144069420753,0.0028598229681650457,8.410689654771339,1.1753436093025793,805.9463258866471,753.3638548256606,5.351652681549363e-07,297.1439658966139,117.72177682935725,7.255371818006764e-12,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-17,86021.89208105902,3.107638569798292,2.7019169750489196,1965.9980701505965,0.0008541858052065565,0.002144867226123784,8.41068965487162,1.1831885408489464,808.5715091208688,753.0430591864734,4.013739511162022e-07,295.92005425439356,88.29133262201793,5.441528863505072e-12,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-18,86025.15228639232,3.260205333295718,2.8354871818361445,1965.99855261295,0.0006406393539049174,0.001608650419592838,8.41068965494683,1.188689240155134,810.1656066305687,752.8049834654864,3.0103046333715165e-07,295.0528138000393,66.21849946651345,4.081146647628804e-12,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-19,86028.57589869869,3.4236123063712767,2.9779154833389745,1965.9989144597153,0.0004804795154286881,0.0012064878146946286,8.410689655003239,1.1916646353522928,811.1242049729277,752.6037375991158,2.2577284750286373e-07,294.4146103500299,49.66387459988509,3.0608599857216032e-12,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-20,86032.16765447016,3.5917557714720636,3.1266977631183277,1965.9991858447893,0.0003603596365715161,0.0009048658610209715,8.410689655045545,1.192031605150291,811.843153729697,752.4528031993378,1.693296356271478e-07,293.9359577625228,37.247905949913815,2.2956449892912024e-12,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-21,86035.92318752372,3.755533053555572,3.278881273211408,1965.9993893835947,0.00027026972742863703,0.0006786493957657286,8.410689655077274,1.189833820216954,812.3823652972739,752.3396023995044,1.2699722672036085e-07,293.5769683218925,27.93592946243536,1.7217337419684017e-12,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-22,86039.82677978318,3.9035922594620955,3.431154167578245,1965.9995420376988,0.00020270229557147777,0.0005089870468242964,8.41068965510107,1.1852958564361495,812.7867739729566,752.2547017996293,9.524792004027063e-08,293.30772624141974,20.951947096826522,1.2913003064763013e-12,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-23,86043.84967436563,4.0228945824440245,3.5818916437832367,1965.9996565282768,0.00015202672167860832,0.0003817402851182223,8.410689655118917,1.1787758677634421,813.0900804797186,752.191026349723,7.143594003020297e-08,293.1057946810652,15.713960322619892,9.68475229857226e-13,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-24,86047.99084336322,4.141168997595791,3.7295559338716933,1965.9997423962104,0.00011402004125895624,0.00028630521383866676,8.410689655132304,1.1706900132983427,813.3175603597901,752.1432697622932,5.357695502265223e-08,292.9543460107993,11.78547024196492,7.263564223929195e-13,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-25,86052.24684939391,4.256006030679074,3.87180673708768,1965.9998067971605,8.551503094421717e-05,0.00021472891037900007,8.410689655142344,1.1614245881896603,813.4881702698437,752.107452321721,4.018271626698917e-08,292.8407595080999,8.83910268147369,5.447673167946896e-13,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-26,86056.6106703358,4.363820941884554,4.006094548614085,1965.999855097873,6.413627320816288e-05,0.00016104668278425007,8.410689655149874,1.1513329854214969,813.6161277023839,752.0805892412917,3.013703720024188e-08,292.75556963107533,6.629327011105268,4.085754875960172e-13,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-27,86061.07081787802,4.46014754222467,4.130105656127668,1965.9998913234076,4.810220490612216e-05,0.00012078501208818755,8.41068965515552,1.1406842898094984,813.712095776789,752.0604419309698,2.260277790018141e-08,292.6916772233069,4.971995258328951,3.064316156970129e-13,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-28,86065.61067643385,4.5398585558281725,4.242095887215344,1965.9999184925584,3.607665367959162e-05,9.058875906614067e-05,8.410689655159755,1.1297205541379916,813.7840718325929,752.0453314482284,1.695208342513606e-08,292.64375791748057,3.728996443746713,2.2982371177275965e-13,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-29,86070.2080073255,4.597330891661052,4.341140919936402,1965.9999388694216,2.7057490259693717e-05,6.79415692996055e-05,8.410689655162932,1.118687959236333,813.8380538744458,752.0339985861723,1.2714062568852045e-08,292.6078184381108,2.796747332810035,1.7236778382956974e-13,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-30,86074.85600549425,4.647998168745795,4.430387040954248,1965.9986936478674,2.0293117694770288e-05,5.095617697470412e-05,8.410689655165314,1.1078021685222739,813.8785404058355,752.0254989396302,9.535546926639034e-09,292.5808638285835,2.097560499607526,1.292758378721773e-13,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-05-31,86079.54557554937,4.6895700551307815,4.508684269080269,1965.9962891434664,1.5219838271077716e-05,3.821713273102809e-05,8.4106896551671,1.0972368881887333,813.9089053043778,752.0191242047237,7.151660194979275e-09,292.56064787143805,1.5731703747056445,9.695687840413298e-14,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-06-01,86084.25478605776,4.70921050838106,4.573390868261404,1965.993693909962,1.1414878703308286e-05,2.8662849548271067e-05,8.41068965516844,1.0871907559928766,813.9316789782845,752.0143431535438,5.363745146234456e-09,292.54548590357894,1.1798777810292334,7.271765880309973e-14,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
2022-06-02,86088.95482580719,4.7000397494176696,4.621392698707372,1965.992361576624,0.0006226529495898604,2.14971371612033e-05,8.410689655169445,1.0778689881323449,813.9487592337146,752.0107573651588,4.022808859675842e-09,292.5341144276846,0.884908335771925,5.4538244102324796e-14,13.89000000000008,18.700000000000095,38.0000000000002,0.400000000000002,17316452.00000009
