date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,total_boosters_per_hundred,reproduction_rate,weekly_icu_admissions,weekly_hosp_admissions,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,male_smokers,hospital_beds_per_thousand,population,excess_mortality
2021-08-27,563676.7336103232,3151.965870466502,3170.72908984697,13439.130234882216,29.800802981540414,27.169973743574744,14864651.564833278,0.010000000000000054,1.001468818745927,147.65647925712693,1770.5414290777842,89754.49075424968,89950.38415804278,0.038215795019040114,28.325290620847614,57.22194432090991,25719.745521756646,25408.495367118812,0.11073569932349515,63.4002183545979,83.48000000000044,45.300000000000225,20.400000000000105,14.520000000000078,24574.380000000132,1.500000000000008,175.7000000000009,52.00000000000027,4.210000000000022,10384972.000000056,20.154978168311423
2021-08-28,566802.9352271355,3126.201616812389,3165.6905295701063,13469.755093744097,30.624858861882572,28.044983378140053,14955043.17934573,0.010000000000000054,0.9937050400452256,149.59777545540427,1775.4980262824379,89890.8723320093,90054.26098537125,0.03780890508780955,28.480870034155465,57.35769208037223,25846.614118693084,25484.02415946972,0.11668897552688141,63.514312440803074,83.48000000000044,45.300000000000225,20.400000000000105,14.520000000000078,24574.380000000132,1.500000000000008,175.7000000000009,52.00000000000027,4.210000000000022,10384972.000000056,20.19884347017117
2021-08-29,569897.320198633,3094.3849714974667,3154.776794236407,13501.091659674606,31.336565930510233,28.879382329985177,15045462.831786308,0.010000000000000054,0.9857795880494344,151.37300838534784,1776.7703522910165,89892.96113329928,90169.70053864071,0.03729785528644545,28.695321239255943,57.49940092841112,25940.51681073931,25583.644218503425,0.12279048730126986,63.624812384901034,83.48000000000044,45.300000000000225,20.400000000000105,14.520000000000078,24574.380000000132,1.500000000000008,175.7000000000009,52.00000000000027,4.210000000000022,10384972.000000056,20.27712419926706
2021-08-30,572964.7398742503,3067.419675617286,3138.969198618486,13532.91166654007,31.82000686546514,29.665972591057123,15135764.03764874,0.010000000000000054,0.9777540510887901,152.98007949521667,1774.4309316390795,89729.80974784143,90243.44305103947,0.03673599650685094,28.960665137586794,57.646736378273516,26002.27488989033,25691.545429553105,0.1288856902981892,63.728342805159386,83.48000000000044,45.300000000000225,20.400000000000105,14.520000000000078,24574.380000000132,1.500000000000008,175.7000000000009,52.00000000000027,4.210000000000022,10384972.000000056,20.351101552811667
2021-08-31,576000.7469548159,3036.0070805655864,3118.0636405605073,13565.198003298738,32.286336758665804,30.399197445878535,15225815.814581115,0.010000000000000054,0.9697261718007568,154.40908538556454,1768.6087052396088,89426.6131285929,90257.27756946912,0.03613813183391977,29.27892645500009,57.79907555455202,26026.306393662126,25792.53147035491,0.13482280036746885,63.80941967659102,83.48000000000044,45.300000000000225,20.400000000000105,14.520000000000078,24574.380000000132,1.500000000000008,175.7000000000009,52.00000000000027,4.210000000000022,10384972.000000056,20.39264429185968
2021-09-01,578996.9077112647,2996.1607564487576,3091.7640020752006,13597.964743585902,32.766740287163586,31.076380146464537,15315289.347635923,0.010000000000000054,0.9618293735176665,155.6469747188301,1759.4819583322392,88794.6103150938,90167.56680670766,0.035504374570333216,29.637591738470537,57.955731035662,26012.945826274427,25874.953725584575,0.1404760207668753,63.866676909996684,83.48000000000044,45.300000000000225,20.400000000000105,14.520000000000078,24574.380000000132,1.500000000000008,175.7000000000009,52.00000000000027,4.210000000000022,10384972.000000056,20.3766401816799
2021-09-02,581943.721022622,2946.8133113572576,3059.8485405027523,13631.235613280915,33.270869695010745,31.69811090170365,15404150.66524377,0.009962184873949634,0.9542303042171135,156.67736558524894,1747.2938263075898,88137.25044802054,89973.69890916791,0.03483642572413005,30.040422310640277,58.11604051979765,25960.44980280217,25929.97345514516,0.14574146935666932,63.908035155025075,83.48000000000044,45.300000000000225,20.400000000000105,14.520000000000078,24574.380000000132,1.500000000000008,175.7000000000009,52.00000000000027,4.210000000000022,10384972.000000056,20.284949777962787
2021-09-03,584832.8076544915,2889.0866318695953,3022.294681879977,13665.027841182424,33.79222790151021,32.26853711939349,15492688.575815525,0.009851890756302575,0.9471006531789967,157.48105493969877,1732.3517807566434,87781.679319532,89719.54094011782,0.034149782124383944,30.50654814862343,58.27932806276364,25872.478108404182,25951.792761042165,0.15052475101556298,63.94706789826631,83.48000000000044,45.300000000000225,20.400000000000105,14.520000000000078,24574.380000000132,1.500000000000008,175.7000000000009,52.00000000000027,4.210000000000022,10384972.000000056,20.108748671084086
2021-09-04,587658.5522179217,2825.744563430319,2979.372615967194,13699.340047014826,34.31220583240291,32.79558108776753,15581422.136273429,0.009676086780866245,0.9405806611835377,158.03704709174445,1715.0151006889182,87888.68040109062,89482.66855253516,0.033447178222247284,31.063884931764967,58.444902963685614,25758.990514076282,25939.274596638155,0.1547579782584404,64.00030237812774,83.48000000000044,45.300000000000225,20.400000000000105,14.520000000000078,24574.380000000132,1.500000000000008,175.7000000000009,52.00000000000027,4.210000000000022,10384972.000000056,19.84966107391056
2021-09-05,590419.3346385553,2760.782420633506,2931.715492518386,13734.143157433085,34.80311041825828,33.291103236640176,15670981.646726748,0.009484279048157775,0.9348089606581781,158.32397148558297,1695.6733326272274,88513.10078239533,89359.78418751074,0.03272339271645926,31.74355203107975,58.612097390831515,25632.691851297386,25895.29775420134,0.1583773072232423,64.08817377777818,83.48000000000044,45.300000000000225,20.400000000000105,14.520000000000078,24574.380000000132,1.500000000000008,175.7000000000009,52.00000000000027,4.210000000000022,10384972.000000056,19.519986917262294
