date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,total_vaccinations_per_hundred,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,aged_70_older,extreme_poverty,female_smokers,life_expectancy,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
2022-06-29,1443096.9459938165,568.8344855802674,524.363379121746,3313.1327313969414,6.383982876311121,5.679843469681596,55.53679158083888,1.1485988022496298,467.0000000000299,24.50954010921842,315.47457092896195,209.93082772230417,1896.8403891760695,1704.1153811001027,0.30992489719853955,3.273971075453018,79.91108736776565,1623.8418705660574,1490.010327309995,1.3264271989467758e-18,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3046.556286230702,2.9866813719792544,16.616330591306397
2022-06-30,1443672.7820228369,575.8360290203661,539.6781395449302,3319.8474477073746,6.714716310433092,5.903625653327786,55.5633123346273,1.1198862380802426,467.0000000000231,25.045685878848012,324.0199553460432,209.9621967451867,1910.5350268529662,1709.0764194708454,0.3125353018581811,3.2299918812504016,79.91238210630269,1697.9042212826585,1530.0337312614256,9.948203992100818e-19,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3062.9437037301923,2.9999641640846386,16.51414424046015
2022-07-01,1444250.8219566902,578.0399338531874,552.1067922799008,3326.9225120895208,7.075064382146097,6.163510448787058,55.59164779331056,1.0898369474677463,467.00000000001796,25.509054325102433,331.63375864177044,209.99511620788837,1921.5574595385638,1712.8201135688766,0.3146821809831644,3.193368183723843,79.9136750735862,1784.51790416497,1581.365262893389,7.461152994075613e-19,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3078.906180235547,3.0127420767988236,16.313583778276616
2022-07-02,1444825.9455883987,575.1236317085727,561.1763009002949,3334.3676112811077,7.44509919158696,6.452773108083516,55.62207989798881,1.0590907034902746,467.0000000000141,25.90309926723623,338.21044918725687,210.02987594066124,1929.4043583901891,1715.5953372775002,0.31631512636439385,3.1649372560863576,79.91496638922338,1886.6310105413131,1645.4808961034637,5.59586474555671e-19,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3094.449373841361,3.0250162029957424,16.03448252850848
2022-07-03,1445392.9995759164,567.0539875176939,566.6303512408329,3342.1666586870797,7.799047405972068,6.761948609343191,55.654926924138096,1.0282954031833182,467.00000000001125,26.230895878998638,343.6747567353042,210.06679157088087,1933.0141931623925,1717.5752844707326,0.31738340359682526,3.1458247908042685,79.91625210284202,2005.7257304334607,1723.0031090523905,4.196898559167533e-19,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3109.625117000288,3.0368368128802956,15.702319717971555
2022-07-04,1445949.4309036587,556.4313277423436,568.4363314655317,3350.23811618726,8.071457500180422,7.079530299929189,55.690430002411986,0.9981178031955055,467.0000000000091,26.494600480677587,347.98914770661764,210.10612535236908,1934.56778772894,1718.9478499076736,0.3180123426135858,3.1344946435233734,79.91752682761644,2138.1891426861202,1813.5726291390047,3.14767391937565e-19,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3124.5307511309575,3.0483029490267417,15.346531966888511
2022-07-05,1446492.6012643655,543.1703607065645,566.3540643716124,3358.591773953636,8.353657766376442,7.402438933738113,55.72868061428483,0.9691903239544842,467.0000000000075,26.694209664229717,351.15228879732456,210.14800319333335,1936.6758407967077,1719.9608874307573,0.3185092569601898,3.1258709826425344,79.91878571541187,2277.0004866202826,1916.129197128982,2.360755439531737e-19,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3139.3165239632376,3.059570387501892,15.003729730545476
2022-07-06,1447019.3555378043,526.7542734387798,560.3422769471005,3367.2521045440944,8.660330590457844,7.727951372249298,55.76965137861933,0.9420229950667047,467.00000000000625,26.829600825603297,353.17744727488,210.1924254719234,1938.2568805975334,1720.7206655730702,0.3188819427201428,3.119403236981905,79.92002593814273,2415.551593148797,2029.2426638454472,1.7705665796488029e-19,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3154.154002539336,3.070817600396485,14.712890727588691
2022-07-07,1447526.8124355143,507.456897709984,550.5735365726403,3376.244896119775,8.992791575681148,8.053773160731913,55.81325921916173,0.917024356836552,467.00000000000534,26.901069859206203,354.0934811529007,210.23932621447938,1939.4426604481528,1721.290499179805,0.31916145704010757,3.114552427736433,79.92122307351667,2550.750443407174,2151.090675970708,1.327924934736602e-19,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3169.218112948924,3.0822269227094097,14.509999216621448
2022-07-08,1448012.9574843624,486.14504884809946,537.4454531728552,3385.587227358097,9.342331238321961,8.378092960400274,55.85937153137202,0.8944618681445451,467.00000000000466,26.909642084126734,353.9435040681112,210.2885746543957,1940.3319953361174,1721.717874384856,0.31937109278008113,3.1109143208023293,79.92234910862824,2678.9561583472396,2278.8805958597413,9.959437010524516e-20,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3184.6714769455143,3.0939681188951145,14.424057774272367
