date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,diabetes_prevalence,life_expectancy,population
2022-03-24,10416.350225940369,52.01990960360762,47.22875503119215,53.10776612937593,0.16700835980519113,0.1785709490273596,267435.63427748263,1363.5215627925754,1.088733860526344,158.00000000000085,0.060000000000000345,30.881993061082078,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-03-25,10469.581690140489,53.23146420012014,48.84677361017505,53.26277353045155,0.15500740107561298,0.17640106244925297,268802.33113038127,1367.501474615442,1.083458281626175,158.00000000000085,0.060000000000000345,30.813769521086325,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-03-26,10523.7326800165,54.15098987601132,50.31081889541417,53.40335034822658,0.14057681777503567,0.17089711228619658,270192.6363246771,1371.1108496590623,1.0776001753437439,158.00000000000085,0.060000000000000345,30.760913113665463,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-03-27,10578.435822229583,54.703142213084845,51.58728272359691,53.52807837202974,0.12472802380315792,0.16259025502912727,271597.11768468464,1374.3132843031221,1.0712631567178934,158.00000000000085,0.060000000000000345,30.720678855934338,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-03-28,10633.3581530329,54.922330803317266,52.66316291535452,53.63552225672115,0.10744388469141182,0.15177640167908543,273007.2264841021,1377.0719443197806,1.064532855579792,158.00000000000085,0.060000000000000345,30.68927320142074,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-03-29,10688.358433779214,55.000280746314786,53.516711876238006,53.724557012515085,0.0890347557939306,0.13859926958510607,274419.33646811894,1379.3579477356357,1.0575114710319689,158.00000000000085,0.060000000000000345,30.661936801518085,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-03-30,10743.263104584588,54.90467080537288,54.13244227821931,53.79571252344586,0.0711555109307744,0.12358519879516451,275828.99156230484,1381.1848964836936,1.0502937519488327,158.00000000000085,0.060000000000000345,30.633006576574935,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-03-31,10797.894888231604,54.631783647016164,54.5051712367835,53.850921432015625,0.055208908569767935,0.10750224751266306,277231.6402635196,1382.6024053944464,1.042959971363048,158.00000000000085,0.060000000000000345,30.60073424723409,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-01,10852.094243096795,54.19935486519109,54.64305344374801,53.89333005268018,0.042408620664559304,0.09125451368879599,278623.18643309583,1383.6912489391786,1.0355564361822744,158.00000000000085,0.060000000000000345,30.564007375794066,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-02,10905.735452846206,53.64120974941052,54.56985601687701,53.92715655696335,0.033826504283164145,0.07580287621682327,280000.4023917259,1384.55972128745,1.0281275727734234,158.00000000000085,0.060000000000000345,30.52232292033945,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-03,10958.738693707068,53.0032408608621,54.32666463709222,53.95758461229272,0.03042805532937378,0.06210555082777584,281361.2387406274,1385.340906350205,1.0207147810668173,158.00000000000085,0.060000000000000345,30.475767400338665,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-04,11011.154715173658,52.41602146659041,53.96829760516248,53.98942310692485,0.03183849463213058,0.05107350701223461,282706.99849632423,1386.158260564207,1.013342970092293,158.00000000000085,0.060000000000000345,30.425002020842275,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-05,11062.915163723505,51.76044854984592,53.50517132927594,54.02472731726547,0.03530421034061383,0.043166151590785545,284035.9267274472,1387.0645499803647,1.0060340536842824,158.00000000000085,0.060000000000000345,30.371251515631748,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-06,11113.936534395747,51.02137067224229,52.95015548467519,54.06568511302998,0.040957795764510224,0.03862380567757529,285345.8794938728,1388.1159514316232,0.9988044672186107,158.00000000000085,0.060000000000000345,30.315262166135618,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-07,11164.147714306844,50.2111799110984,52.31842026573659,54.1142606027105,0.04857548968052562,0.037452986772725794,286635.0310132621,1389.3629015181277,0.9916633051650906,158.00000000000085,0.060000000000000345,30.25742141451772,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-08,11213.510640287355,49.362925980511974,51.627321825029725,54.171926867676135,0.05766626496563028,0.039415370331645244,287902.4040359651,1390.843233346096,0.9845983192099538,158.00000000000085,0.060000000000000345,30.198748672394473,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-09,11262.03579210952,48.52515182216491,50.896316352612054,54.23946551274813,0.06753864507199273,0.04401951094201133,289148.26762619853,1392.5770290819721,0.977588526091371,158.00000000000085,0.060000000000000345,30.14060481392744,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-10,11309.793812407948,47.75802029842724,50.14689563549983,54.31681632913131,0.07735081638318021,0.05051463320650859,290374.43549792987,1394.5627593680422,0.9706493777618068,158.00000000000085,0.060000000000000345,30.084474295642778,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
