date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,total_boosters_per_hundred,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_70_older,female_smokers,male_smokers,population
2021-07-06,2186454.228767946,23315.86412325087,20342.807613269695,58652.12388113867,498.54077911634926,421.6594918108398,7841.5171538073355,1.3693516160413233,2.01000000000001,108027.61139782149,97838.38693729333,0.23926728179845513,4.237747346035504,805500.3568076572,781451.4178232858,0.23739827123689758,71.71386572697757,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
2021-07-07,2210848.356950882,24394.12818293593,21367.660892563814,59180.84918105447,528.7252999158019,447.16514746187977,7929.004487850665,1.3662751858512918,2.01000000000001,112006.1384449403,101195.54052617635,0.2436380825511688,4.161565196016614,808789.3020433653,790883.3195083834,0.2399919807385979,71.70387796362371,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
2021-07-08,2236538.4523931905,25690.095442308644,22439.799498123604,59744.09344687691,563.2442658224373,474.8537382628618,8021.139710749031,1.3627812116250577,2.01000000000001,116228.94725645911,104746.79598933185,0.24795254381382947,4.089386566695723,812128.4239145549,798169.5385970288,0.24173121890882915,71.69339522126346,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
2021-07-09,2263723.8609335516,27185.408540361135,23570.885057658674,60345.25909614678,601.1656492698671,504.60549018712777,8118.6377421762,1.3584931485377996,2.01000000000001,120480.69533245442,108477.2830779719,0.25225109176470345,4.020031198454248,815121.1971699186,803783.01317531,0.2427929196761277,71.6825939272599,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
2021-07-10,2292541.8059942843,28817.945060733084,24770.487847381086,60985.9053757624,640.6462796156205,536.1647509629065,8221.990703529382,1.3529768426573914,2.01000000000001,124662.03302164224,112357.14003957153,0.25654756252100697,3.9530550730488363,817943.0539537168,808125.9082492923,0.24333159990577097,71.67171386819874,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
2021-07-11,2323034.5647898344,30492.758795549864,26044.502695490606,61665.065004672564,679.1596289101651,569.1274874303256,8331.35019959275,1.345821028890266,2.01000000000001,128741.20642427972,116349.49438003435,0.2607977113219127,3.8885049440885067,820661.6051873314,811679.059451353,0.24352391001336215,71.66103394672123,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
2021-07-12,2355066.9807352363,32032.415945401946,27418.375615671004,62373.92283236683,708.8578276942603,602.9065220045486,8446.231475163224,1.336672494356777,2.01000000000001,132723.84796623845,120410.13355167107,0.2649360339762442,3.8271123861530043,822323.0782440873,814638.1282019613,0.24350540826955652,71.65081828486326,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
2021-07-13,2388719.637862355,33652.65712711874,28895.060523970496,63113.871261314634,739.9484289478135,637.393764968183,8566.92352977256,1.3253135175032018,2.01000000000001,136557.25898696086,124485.78655677225,0.26885393239879635,3.769972298664532,821158.0723708494,816874.9350331785,0.2432583386843914,71.64130052683436,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
2021-07-14,2424049.7850386575,35330.14717630227,30457.3490896489,63888.45483577275,774.5835744581141,672.5167705587176,8693.631684498147,1.3116638711590773,2.01000000000001,140113.38792153954,128501.09794925358,0.27246898840704853,3.7179397928413254,816881.0839646282,818030.8957157384,0.24268858271400492,71.63268467114396,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
2021-07-15,2461060.42072793,37010.63568927266,32074.569207346616,64701.62196070166,813.1671249289133,708.2203851265376,8826.366704550093,1.2957866881139768,2.01000000000001,143317.90509758668,132370.94004241872,0.27570662171899074,3.671754779989758,811479.2042953856,817938.14392643,0.24173783328631204,71.62509737536841,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
