date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,extreme_poverty,population,excess_mortality_cumulative,excess_mortality
2020-03-11,8.660204700600696,1.1432126245922054,0.7036510834048666,4.000000000000015,0.0,0.0,289.68586032369535,1.7100619747899222,85.16572825414096,88.30423379942008,0.030818578431542353,33.945959801770236,1.3000000000000054,3.230000000000012,1925.0000000000073,6202.0000000000255,0.010000000000000038,25.38624197433826,43.40000000000016,0.5000000000000019,9967304.00000004,0.020000000000000077,6.304422118847562
2020-03-12,9.584002911358748,1.4510671870453147,0.8592593269841683,4.000000000000017,0.002456367162249517,0.0,364.86201996910177,1.7101741475436398,98.7696166506888,92.01696009423227,0.031107954508853966,33.701594932129275,1.300000000000006,3.2300000000000137,1925.0000000000082,6202.000000000027,0.010000000000000044,28.544448455106696,43.40000000000018,0.5000000000000021,9967304.000000043,0.020000000000000087,6.310047473797237
2020-03-13,10.982992487332915,1.8997580502710623,1.0647237453997316,4.000000000000018,0.012184873949579882,0.0,460.5562838843903,1.7103499060682041,116.19639477631677,97.74848283731947,0.03140869697407749,33.43867195863159,1.3000000000000065,3.2300000000000146,1925.0000000000089,6202.000000000029,0.010000000000000047,31.94299729802045,43.4000000000002,0.5000000000000022,9967304.000000045,0.020000000000000094,6.3168719937494515
2020-03-14,12.992221741065322,2.474398369636076,1.3331287819004802,4.000000000000019,0.028983516483516623,0.002643665158371046,580.7893606185299,1.7105366700165723,137.6993322813329,106.08325934841642,0.031701803919957,33.16900558500477,1.3000000000000067,3.2300000000000155,1925.0000000000093,6202.000000000031,0.010000000000000049,35.523493287025424,43.400000000000205,0.5000000000000023,9967304.000000047,0.020000000000000098,6.322279884129163
2020-03-15,15.715885762812597,3.1444865600324943,1.6740581248869022,4.0000000000000195,0.05205437944408559,0.00894654977375569,730.1920527845195,1.7106353725835368,164.05971252709566,117.63214392954136,0.03196655979193935,32.894942617971466,1.300000000000007,3.2300000000000164,1925.0000000000098,6202.000000000033,0.01000000000000005,39.188530275547095,43.40000000000021,0.5000000000000024,9967304.000000048,0.0200000000000001,6.322181470950792
2020-03-16,18.896093378347366,3.5488788178912163,2.0635432704589753,3.988655462184894,0.06880807611506176,0.018624585892049204,912.6613796013198,1.7105088500582109,194.76016901070676,132.95597607902437,0.03219308403270699,32.62094193439009,1.300000000000007,3.230000000000017,1925.00000000001,6202.000000000033,0.010000000000000052,42.82209486244579,43.40000000000022,0.5000000000000026,9967304.00000005,0.020000000000000104,6.311164545359192
2020-03-17,22.627354455221464,4.042492985428762,2.5104580346154064,3.9669117647059027,0.08995447337588927,0.03217496818438928,1133.5502767824403,1.7100039710924646,231.02502333204478,152.7280195511884,0.0323670172908522,32.36027335447716,1.300000000000007,3.2300000000000173,1925.0000000000102,6202.000000000033,0.010000000000000054,46.34745495420352,43.400000000000226,0.5000000000000026,9967304.00000005,0.020000000000000108,6.281501121642914
2020-03-18,27.181181646199605,4.805350669905453,3.039377139406939,3.9434772947640804,0.12142513105001679,0.050472370288259766,1399.0100492157926,1.708960961512628,273.6715793930225,177.51172248498182,0.03249423517240552,32.11486403331105,1.300000000000007,3.2300000000000173,1925.0000000000105,6202.000000000033,0.010000000000000054,49.709558571825966,43.400000000000226,0.5000000000000026,9967304.00000005,0.020000000000000108,6.224841673719034
2020-03-19,32.90479379767498,5.916553403204796,3.6813649489314235,3.931428268422775,0.16556787866889633,0.07446610706331847,1714.68323180519,1.7072021367776538,322.20033936053994,207.6605371772468,0.032595789501476125,31.874137682384752,1.300000000000007,3.2300000000000173,1925.0000000000105,6202.000000000033,0.010000000000000054,52.85507245181721,43.400000000000226,0.5000000000000026,9967304.00000005,0.020000000000000108,6.133470113909655
2020-03-20,40.14514350598094,7.379512660677692,4.467067021330122,3.9456623454670545,0.22204274804498242,0.10495300628326804,2085.5062506153704,1.704504705362816,375.9009170931271,243.40550307685928,0.03269312525474321,31.634035711691645,1.300000000000007,3.2300000000000173,1925.0000000000105,6202.000000000033,0.010000000000000054,55.739583265818396,43.400000000000226,0.5000000000000026,9967304.00000005,0.020000000000000108,6.001229328437143
2020-03-21,49.191937784624784,9.140872375275581,5.421528772784933,4.00098884054826,0.2884939227014815,0.14240706240475903,2515.6751711548104,1.700633053908992,434.0122101210743,284.800814444038,0.03279699326232442,31.394928852288494,1.300000000000007,3.2300000000000173,1925.0000000000105,6202.000000000033,0.010000000000000054,58.33299853533674,43.400000000000226,0.5000000000000026,9967304.00000005,0.020000000000000108,5.82419963045844
2020-03-22,60.234903564713065,11.10470082315031,6.560309475516316,4.1106963815424225,0.36105369994466396,0.18685167689406745,3008.0114931043167,1.695340983062645,495.12025972396765,331.5520329403336,0.03291012374441628,31.16171215311428,1.300000000000007,3.2300000000000173,1925.0000000000105,6202.000000000033,0.010000000000000054,60.623597317792246,43.400000000000226,0.5000000000000026,9967304.00000005,0.020000000000000108,5.601191901253662
2020-03-23,73.04812337489241,12.85952109247588,7.891609773088449,4.259008065083779,0.4132918909895265,0.23632686368218653,3564.1921039911404,1.6884102298632433,558.1171986714512,383.2446808138482,0.03304022047476345,30.935180365643767,1.300000000000007,3.2300000000000173,1925.0000000000105,6202.000000000033,0.010000000000000054,62.62106822105275,43.400000000000226,0.5000000000000026,9967304.00000005,0.020000000000000108,5.334101747530426
