date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,people_vaccinated_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,extreme_poverty,female_smokers,male_smokers,hospital_beds_per_thousand,population
2020-09-28,108130.38071769803,536.0789549067224,578.0863928984129,2045.2846721190665,9.408944673954268,11.338802296421784,0.05000000000000025,0.0,0.940717899194919,3435.575289112016,3485.614070252441,0.1512047510084798,6.837388633466127,385.000000000002,385.000000000002,0.010000000000000054,78.76707680630857,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
2020-09-29,108650.52787828661,520.1471605885752,564.7128854947541,2054.1339145611837,8.849242442117296,10.700075704216804,0.05000000000000025,0.0,0.9416680300846199,3430.8882056834027,3457.217598584616,0.14822790068363864,6.978204694233414,385.000000000002,385.000000000002,0.010000000000000054,78.69877932418855,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
2020-09-30,109155.3966682497,504.8687899630868,550.4363637008983,2062.4235613248984,8.289646763714678,10.070023487923443,0.05000000000000025,0.0,0.9432516689758772,3431.984081433425,3433.0614859455773,0.14560757709643957,7.101617321580049,385.000000000002,385.000000000002,0.010000000000000054,78.56335146146732,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
2020-10-01,109646.74363887327,491.3469706235762,535.815300571408,2070.16904462005,7.745483295151887,9.457961701269031,0.05000000000000025,0.0,0.9453766961404418,3440.9525407130827,3414.6730698567308,0.14339653608671254,7.204642209026029,385.000000000002,385.000000000002,0.010000000000000054,78.34759245841475,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
2020-10-02,110127.28326244536,480.53962357207837,521.5150045171151,2077.407956703567,7.238912083516476,8.873948651517393,0.05000000000000025,0.0,0.9479431555894956,3455.550911675735,3403.3341495160175,0.14163563735915224,7.285018502276966,385.000000000002,385.000000000002,0.010000000000000054,78.04249945046922,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
2020-10-03,110600.57902731252,473.2957648671654,508.2372792443334,2084.2051756724745,6.797218968907566,8.327353376162295,0.05000000000000025,0.0,0.9508167719927048,3476.385829738276,3400.0643160801337,0.14035649531089636,7.341094193449816,385.000000000002,385.000000000002,0.010000000000000054,77.6440134049173,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
2020-10-04,111070.96175917232,470.38273185981234,496.6676687092688,2090.6567098086575,6.451534136182945,7.825782000447522,0.05000000000000025,0.0,0.9538606397572965,3500.863499646957,3404.8260651144037,0.13956148913023128,7.371959946961969,385.000000000002,385.000000000002,0.010000000000000054,77.15357857340366,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
2020-10-05,111543.54147128631,472.5797121139937,487.5959622623983,2096.9014043668385,6.244694558181173,7.373730488700227,0.05000000000000025,0.0,0.9569374966246964,3526.0936331385838,3416.681458984482,0.1392355964856827,7.3787227074742345,385.000000000002,385.000000000002,0.010000000000000054,76.57856208131336,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
2020-10-06,112019.95663675513,476.4151654688185,481.3481394408201,2102.9662601271034,6.064855760264846,6.975928603435327,0.05000000000000025,0.0,0.9599141761207537,3548.3720078748433,3433.6881142771513,0.13933377558016397,7.363356833449901,385.000000000002,385.000000000002,0.010000000000000054,75.93256861980866,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
2020-10-07,112501.18312074686,481.2264839917244,477.97027911196676,2108.8677300016006,5.901469874497284,6.6347132592991915,0.05000000000000025,0.0,0.9626665629244386,3565.613508168581,3454.274618351695,0.13973691862759247,7.332129777640764,385.000000000002,385.000000000002,0.010000000000000054,75.23567646485661,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
