date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,reproduction_rate,icu_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,gdp_per_capita,median_age,aged_65_older,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,population
2022-04-03,1968074.6771486972,1812.1670439523054,1922.9028304307708,15750.136402135446,10.442013767852577,11.480168420231486,9177394.93776596,0.8439656500149537,36.457163189626336,13211.844252562016,13722.015903701333,0.1296086484039493,7.791434053556025,27.361935520216015,1163.4911661864285,615.6382247813117,2.305751376219645e-08,36.10999996595488,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
2022-04-04,1969851.569432308,1776.8922836106437,1889.6849998431194,15760.423342325588,10.28694019014284,11.136263354604786,9190404.143014204,0.8375686137232397,35.38682843617585,13009.205248245058,13557.46506287621,0.1278697054367695,7.900026736029991,27.363391319330425,1145.758276714013,614.2331934728625,1.7293135321647336e-08,36.109999974466206,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
2022-04-05,1971590.329902288,1738.7604699801245,1853.8834195656,15770.570641844408,10.147299518819167,10.837187819767436,9203203.157196024,0.8308689295878414,34.33663070011189,12799.014181820527,13379.912517260602,0.12604206576148164,8.018399172901626,27.36449046059399,1132.820434137083,612.5122254213898,1.2969851491235502e-08,36.10999998084971,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
2022-04-06,1973285.2692269774,1694.939324689362,1815.3897442152495,15780.56943257919,9.998790734783427,10.57806701220762,9215787.507037304,0.8240345349413669,33.31352667731408,12584.349841278145,13191.324594797441,0.1241201078214346,8.147277078448049,27.36531303560951,1123.1210894468131,610.7155039076721,9.727388618426626e-09,36.10999998563733,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
2022-04-07,1974930.2238336164,1644.9546066391956,1774.198505802034,15790.398599967704,9.829167388514861,10.35235617382929,9228154.830164868,0.8172493982971705,32.30477978497332,12367.32312756496,12993.751283848582,0.12210850361979297,8.287154641415235,27.365913938481768,1115.8829161109566,608.9695626431014,7.295541463819969e-09,36.109999989228044,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
2022-04-08,1976520.324436301,1590.1006026846346,1730.4398963198535,15800.03382392538,9.635223957675752,10.152075469092084,9240303.856560316,0.8106807462018705,31.30605736620256,12149.02639544749,12788.997932828275,0.12002126136061089,8.43839927130061,27.366345203475497,1110.4982920515222,607.3976632557593,5.471656097864977e-09,36.109999991921086,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
2022-04-09,1978053.322431947,1532.9979956463158,1684.4043546897951,15809.454359540696,9.42053561531565,9.967986142866264,9252234.908887606,0.8044995706404149,30.33132065878253,11931.052327290221,12578.752764424065,0.11786840238762059,8.600307210424404,27.366653603344098,1106.4939387054574,606.0997665109865,4.103742073398733e-09,36.10999999394086,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
2022-04-10,1979530.584697266,1477.2622653190954,1636.5610069675745,15818.64812259672,9.193763056024565,9.789722638823918,9263945.595369661,0.7988817885168346,29.39268894269715,11710.686482054623,12364.301564268291,0.11564435285729607,8.771316380668996,27.36687795761015,1103.5064189413752,605.1342786647533,3.07780655504905e-09,36.109999995455695,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
2022-04-11,1980961.8657369148,1431.2810396486639,1587.188126751216,15827.652058334115,9.003935737396587,9.606421099997071,9275430.662348203,0.7939591759060497,28.508689299136666,11485.066978541628,12146.566945664066,0.11336594079035424,8.948994719244489,27.367046223309693,1101.2657791183137,604.5011291666331,2.3083549162867873e-09,36.109999996591824,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
2022-04-12,1982345.3964099933,1383.5306730784519,1536.4411288384622,15836.451648792625,8.799590458509636,9.413800634306154,9286690.771114754,0.7898666023561705,27.694590665367404,11260.108766550064,11926.721767101975,0.11106356354363849,9.130480687138617,27.367172422584346,1099.5852992510177,604.1258468749757,1.7312661872150904e-09,36.10999999744392,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
