date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,total_vaccinations_per_hundred,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,aged_65_older,female_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,population
2020-03-11,11.582116625146151,1.1198817051167753,1.060781404502805,2.0000000000000075,0.0,0.0,0.040000000000000153,1.3600000000000052,0.040000000000000153,1646.0000000000064,0.040000000000000153,21.392482916381994,30.70000000000011,2.3600000000000088,0.5000000000000019,97.40000000000039,1.6000000000000063,77.86000000000031,4576300.000000018
2020-03-12,12.34613180838135,1.0994242394817653,1.0534690917188538,2.0000000000000084,0.0,0.0,0.040000000000000174,1.3600000000000059,0.040000000000000174,1646.000000000007,0.040000000000000174,22.892857339193448,30.700000000000124,2.36000000000001,0.5000000000000021,97.40000000000043,1.6000000000000068,77.86000000000035,4576300.00000002
2020-03-13,13.230090129718484,1.1262488518802332,1.0510450961000661,2.000000000000009,0.0,0.0,0.04000000000000019,1.3600000000000063,0.04000000000000019,1646.0000000000075,0.04000000000000019,24.87651663076875,30.70000000000013,2.360000000000011,0.5000000000000022,97.40000000000046,1.6000000000000072,77.86000000000038,4576300.000000021
2020-03-14,14.263744067877122,1.1993408082702284,1.0601231885908882,2.0000000000000093,0.0,0.0,0.040000000000000195,1.3600000000000065,0.040000000000000195,1646.000000000008,0.040000000000000195,27.345763846702987,30.700000000000138,2.3600000000000114,0.5000000000000023,97.40000000000049,1.6000000000000076,77.8600000000004,4576300.000000022
2020-03-15,15.466586331450854,1.3137266792472762,1.0869973688187333,2.0000000000000098,0.0,0.0,0.0400000000000002,1.3600126050420236,0.0400000000000002,1646.0000000000082,0.0400000000000002,30.271868941911585,30.700000000000145,2.360000000000012,0.5000000000000024,97.4000000000005,1.600000000000008,77.86000000000041,4576300.000000023
2020-03-16,16.72382468717899,1.3404016674832935,1.1238916917724229,2.00000000000001,0.0,0.0,0.04000000000000021,1.3600493697479061,0.04000000000000021,1646.0000000000084,0.04000000000000021,33.60681799602651,30.700000000000152,2.360000000000012,0.5000000000000026,97.40000000000052,1.600000000000008,77.86000000000041,4576300.000000024
2020-03-17,18.05928739062668,1.3978351872640558,1.1750580707039149,2.00000000000001,0.0,0.0,0.040000000000000216,1.3600995677117071,0.040000000000000216,1646.0000000000086,0.040000000000000216,37.279905352223565,30.700000000000152,2.360000000000012,0.5000000000000026,97.40000000000052,1.600000000000008,77.86000000000041,4576300.000000024
2020-03-18,19.570839169343667,1.558331141579266,1.2522576771391212,2.00000000000001,0.0,0.0,0.040000000000000216,1.360126388776672,0.040000000000000216,1646.0000000000086,0.040000000000000216,41.20628987389625,30.700000000000152,2.360000000000012,0.5000000000000026,97.40000000000052,1.600000000000008,77.86000000000041,4576300.000000024
2020-03-19,21.39280293874017,1.857048291543212,1.3706195668394758,2.00000000000001,0.0,0.0,0.040000000000000216,1.360087196236675,0.040000000000000216,1646.0000000000086,0.040000000000000216,45.31376976482757,30.700000000000152,2.360000000000012,0.5000000000000026,97.40000000000052,1.600000000000008,77.86000000000041,4576300.000000024
2020-03-20,23.66777608899376,2.3012865418636195,1.545534649273113,2.00000000000001,0.0,0.0,0.040000000000000216,1.3599344986642568,0.040000000000000216,1646.0000000000086,0.040000000000000216,49.52801349039517,30.700000000000152,2.360000000000012,0.5000000000000026,97.40000000000052,1.600000000000008,77.86000000000041,4576300.000000024
