date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,icu_patients,new_people_vaccinated_smoothed_per_hundred,new_people_vaccinated_smoothed,stringency_index,median_age,aged_70_older,extreme_poverty,female_smokers,human_development_index,population
2020-11-30,75469.46507456808,1002.8059964757272,971.6208050591391,2289.693941594012,17.740437912967735,17.266207391999394,1659.494291063518,1.0642847060487595,46.512775341721124,0.0,30.000000000000156,72.16455632594156,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-01,76474.86751956548,1005.4024449973915,983.4921243179499,2307.469599699067,17.7756581050555,17.447826035273003,1681.6023469337106,1.0394447835766485,46.22129369116486,0.0,30.000000000000156,72.17841724445627,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-02,77478.39637335231,1003.5288537868298,991.9818676405324,2325.210247608822,17.740647909754802,17.576546320249218,1703.66923127333,1.0147621591110592,45.89051104622331,0.0,30.000000000000156,72.18881293334229,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-03,78474.56651078357,996.1701374312678,996.6552029282029,2342.829841492011,17.619593883188784,17.645228906314927,1725.5743129184777,0.9904302166183635,45.5514038082616,0.0,30.000000000000156,72.19660970000682,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-04,79457.77257216342,983.2060613798517,997.1882685503876,2360.240658429936,17.410816937924903,17.64868331515962,1747.1943130663658,0.9666352028645495,45.23006465322276,0.0,30.000000000000156,72.2024572750052,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-05,80422.96010139158,965.1875292281674,993.4628321497022,2377.3638971838,17.123238753863866,17.585121568464118,1768.4180654397253,0.9436039069965065,44.928440269705966,0.0,30.000000000000156,72.20684295625401,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-06,81366.1288995732,943.1687981816309,985.6372847457621,2394.1376287702064,16.773731586406324,17.45724841616712,1789.1575864101133,0.9215489224904321,44.651462447485315,0.0,30.000000000000156,72.2101322171906,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-07,82288.67734694893,922.5484473757202,974.1719787500144,2410.5643560314397,16.426727261233335,17.269663041278562,1809.4436044811491,0.9006831850804948,44.39382873606654,0.0,30.000000000000156,72.21259916289304,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-08,83187.77712785886,899.0997809099426,958.985986971368,2426.601628368121,16.037272336681323,17.021382865962178,1829.213916192151,0.8812260281122468,44.17076882634429,0.0,30.000000000000156,72.21444937216988,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-09,84059.31031842175,871.5331905628718,940.1296086836014,2442.200881909578,15.599253541457358,16.715500142361115,1848.3779662326742,0.8633797667209024,43.98842864518383,0.0,30.000000000000156,72.2158370291275,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-10,84899.23396700001,839.9236485782635,917.8088626212996,2457.322704095406,15.121822185828009,16.358672294876868,1866.8468539569906,0.8473215089450089,43.860208846525296,0.0,30.000000000000156,72.21687777184573,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-11,85704.60352954877,805.36956254876,892.4038567268033,2471.9482821116358,14.62557801622946,15.960739676878422,1884.5558382699435,0.8332201233053964,43.80315194840405,0.0,30.000000000000156,72.2176583288844,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-12,86474.34044612743,769.7369165786686,864.4825654604234,2486.087989217861,14.139707106225117,15.534438888234144,1901.481216291342,0.8211885249289514,43.836222774058974,0.0,30.000000000000156,72.2182437466634,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-13,87209.80782328348,735.4673771560449,834.8111627831014,2499.7878244925846,13.6998352747238,15.095187763460695,1917.6529823542558,0.81127310022548,43.95532884525018,0.0,30.000000000000156,72.21868280999766,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-14,87916.57833029403,706.7705070105382,803.9859651707143,2513.1594527262614,13.371628233676999,14.658579575019587,1933.193692001635,0.8034847217431254,44.14433680846905,0.0,30.000000000000156,72.21901210749834,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-15,88593.81012134702,677.2317910529918,772.2907487649145,2526.2027343410796,13.043281614818206,14.230657531943441,1948.0848407530068,0.7977664178425745,44.388239408765116,0.0,30.000000000000156,72.21925908062386,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-16,89240.69251344091,646.8823920938817,740.197970752743,2538.907787665962,12.705053324882256,13.81695032413536,1962.3086152124633,0.7940003143515506,44.66977926568832,0.0,30.000000000000156,72.21944431046799,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-17,89857.11805993537,616.4255464944586,708.2698408635239,2551.2659894243297,12.358201758367588,13.421862225971608,1975.862668584528,0.7919957108767862,44.95856020880089,0.0,30.000000000000156,72.2195832328511,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-18,90444.1866057144,587.068545779054,677.0841249915352,2563.2782250999253,12.01223567559536,13.04821567400361,1988.7712023110553,0.7915118122461493,45.22503818073346,0.0,30.000000000000156,72.21968742463841,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-19,91004.58332855873,560.3967228443105,647.1784979130123,2574.961076711179,11.682851611253742,12.696908200234462,2001.0932772989052,0.792270252203359,45.44509166076024,0.0,30.000000000000156,72.2197655684789,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-20,91542.86227017484,538.2789416161036,619.0088078239003,2586.351463641985,11.390386930806192,12.366655132076316,2012.9290473406975,0.7939478410594369,45.61658646804385,0.0,30.000000000000156,72.21982417635928,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-21,92066.71906850068,523.856798325847,592.8783335666977,2597.5454173824296,11.193953740444671,12.05523359210832,2024.4477409030696,0.7962149208721483,45.72585290856365,0.0,30.000000000000156,72.21986813226957,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-22,92577.16089155017,510.44182304949254,569.0512193088314,2608.545569177744,11.000151795314126,11.763044618774208,2035.671512852483,0.7987343968596714,45.76884023087336,0.0,30.000000000000156,72.21990109920227,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-23,93074.45256911524,497.2916775650774,547.6811137382499,2619.333853677106,10.788284499362145,11.488924866795603,2046.6061931396882,0.8011905843286591,45.73576344184717,0.0,30.000000000000156,72.2199258244018,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-24,93558.60938481975,484.1568157045133,528.7855570231451,2629.8844400315893,10.550586354482837,11.230421348868536,2057.2521214223193,0.8033266809743558,45.60952296923289,0.0,30.000000000000156,72.21994436830144,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-25,94029.76667015986,471.15728534011794,512.2267710317421,2640.173430217619,10.288990186030208,10.983997491935838,2067.612273031836,0.8049513778930175,45.3859722204606,0.0,30.000000000000156,72.21995827622618,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-26,94488.45700003438,458.6903298745137,497.69725199714276,2650.1861327795723,10.01270256195318,10.745187679391453,2077.6983534487345,0.8059328288302362,45.044716183229596,0.0,30.000000000000156,72.21996870716973,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-27,94935.81808939243,447.3610893580513,484.70896501595723,2659.922518136719,9.736385357146862,10.508713157733649,2087.535369158952,0.8062424464449148,44.57365510768729,0.0,30.000000000000156,72.2199765303774,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-28,95375.41510227392,439.5970128814996,472.67186177101826,2669.437864685284,9.515346548564748,10.26874543714317,2097.2016986533154,0.8059256939157815,43.983410367611036,0.0,30.000000000000156,72.21998239778316,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-29,95807.26507589757,431.84997362363333,461.444499592647,2678.720221396966,9.282356711682137,10.023202743015762,2106.6977143584445,0.8050895516262361,43.28050649365705,0.0,30.000000000000156,72.21998679833746,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-30,96230.4096343312,423.1445584336273,450.85213212822856,2687.7416366359635,9.021415238997555,9.77067565131484,2116.002339744273,0.803863543810176,42.477558280068315,0.0,30.000000000000156,72.21999009875319,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2020-12-31,96643.50838929087,413.0987549596748,440.70108406708346,2696.471369687707,8.72973305174333,9.510465852901138,2125.0860974067855,0.8024370890147112,41.58728150901703,0.0,30.000000000000156,72.21999257406499,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2021-01-01,97045.2839907401,401.775601449233,430.7895321841205,2704.885799405409,8.414429717702141,9.242615226779938,2133.920895130076,0.8010453345373758,40.631796512068796,0.0,30.000000000000156,72.21999443054884,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2021-01-02,97434.85591483933,389.57192409920714,420.915591122577,2712.9758556949787,8.090056289569441,8.967927645036482,2142.4873654328867,0.7999289588862262,39.634884875971494,0.0,30.000000000000156,72.21999582291173,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2021-01-03,97811.99080490792,377.1348900685881,410.8833777310735,2720.752593128704,7.776737433725248,8.687985326537554,2150.780370228514,0.7993474948595641,38.61693611980996,0.0,30.000000000000156,72.2199968671839,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2021-01-04,98178.05157168367,366.0607667757467,400.3782694004388,2728.275320735349,7.522727606644947,8.403358581199232,2158.8298688155382,0.799524034202205,37.57753994807773,0.0,30.000000000000156,72.21999765038802,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2021-01-05,98532.47268005571,354.4211083720496,389.31703462951515,2735.5356114306364,7.260290695287533,8.114551579726195,2166.6234232664724,0.800648843363355,36.5263272299659,0.0,30.000000000000156,72.21999823779112,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2021-01-06,98874.6135921363,342.140912080589,377.7450738066553,2742.5172871120894,6.98167568145273,7.823247395201895,2174.1469483483706,0.8028678542419744,35.48251206759406,0.0,30.000000000000156,72.21999867834344,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
2021-01-07,99204.08876553093,329.47517339463735,365.7987909723158,2749.206113362513,6.688826250423751,7.531804809491281,2181.391967240596,0.8062861524785083,34.460068709174365,0.0,30.000000000000156,72.21999900875768,29.100000000000158,3.86000000000002,0.5000000000000026,0.7000000000000035,0.750000000000004,44903228.00000022
