date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,total_tests,new_tests,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,gdp_per_capita,population
2020-08-09,60714.91993410775,265.2426765644966,276.2227050505514,350.67835582043426,0.8916792815753393,0.9188951252113096,19.5300000000001,0.9218210911497411,5333080.961711335,53065.409961778016,0.006207566345334042,196.98797620449164,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.48073764517339,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-10,60975.30287882912,260.3829447213689,272.6036624336799,351.5408612415382,0.862505421103936,0.9091223781683411,19.5300000000001,0.934188539758558,5387846.010116735,54765.048405399524,0.005493910053118183,204.0390897810355,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.480553233880116,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-11,61230.799476510416,255.4965976812985,268.65140164103275,352.37237185229185,0.8315106107536155,0.8943505101938071,19.5300000000001,0.9494211397898313,5444421.320548127,56575.31043139298,0.004764259301312461,211.1157911560743,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.48041492541016,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-12,61482.352354635645,251.5528781252276,264.5533245016217,353.1775820566402,0.8052102043483413,0.8756833739187889,19.5300000000001,0.9672441030647407,5502861.36578279,58440.04523466312,0.004050731644697988,217.90042610784468,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.48031119405769,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-13,61731.537504502994,249.1851498673535,260.5973191680718,353.96558796458794,0.7880059079477469,0.855060688163721,19.5300000000001,0.987143484538376,5563194.397171618,60333.03138882872,0.0033887274665551667,224.0950480876712,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.48023339554335,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-14,61980.31237207481,248.77486757181475,257.1169488136754,354.74830215637616,0.7827141917882192,0.8349100927226625,19.5300000000001,1.0084203154076619,5625382.656298243,62188.25912662487,0.0028128772094832798,229.45467811488106,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.48017504665759,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-15,62230.82692611502,250.51455404020595,254.45034315518254,355.53926475561485,0.7909625992387092,0.8178861894515002,19.5300000000001,1.0303507892383594,5689300.117466096,63917.46116785175,0.002354001798515176,233.76123159844298,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.48013128499328,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-16,62485.28195929223,254.45503317721366,252.90936709489404,356.3527517341325,0.8134869785175916,0.8066748230841012,19.5300000000001,1.0522091164924428,5754745.5145863285,65445.397120232796,0.002036832958453287,236.82699512740402,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.48009846374504,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-17,62744.67701568775,259.39505639551567,252.76838375685284,357.2005851322094,0.8478333980769475,0.804564779239386,19.5300000000001,1.0732943616097992,5821473.496896445,66727.98231011652,0.001878303451871641,238.5411723313323,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.48007384780885,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-18,63010.13864411884,265.46162843109096,254.1921317090427,358.08946599847883,0.8888808662694121,0.8127776568277306,19.5300000000001,1.09302943313366,5889225.615335561,67752.11843911625,0.0018862647576173724,238.9062832562565,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.482387318629826,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-19,63283.08334637299,272.9447022541525,257.24830595696017,359.0247433256211,0.9352773271422674,0.8314103273008251,19.5300000000001,1.111079120745528,5957778.747700775,68553.13236521318,0.002058525329686853,238.0040450213782,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.486843009980845,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-20,63564.840628719714,281.7572823467234,261.90169116778515,360.00945923952986,0.9847159139087384,0.8595997622823428,19.5300000000001,1.1273400451486757,6026974.101095565,69195.3533947891,0.0023821292913827914,235.94804346222014,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.49164971062081,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-21,63856.3702905444,291.52966182468424,268.0097615885089,361.04363289118635,1.034173651656507,0.895646654290944,19.5300000000001,1.1419080719998407,6096732.088879213,69757.98778364848,0.0028328154559320575,232.86988683066673,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.494118666288244,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-22,64158.05039082371,301.6801002793087,275.31938098453014,362.1237233755654,1.0800904843790982,0.9371081322825274,19.5300000000001,1.15492685231921,6167019.568663297,70287.47978408422,0.00337461159194905,228.9547648321148,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.491186931196545,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-23,64469.51822298212,311.4678321584154,283.46432759360164,363.2422269208148,1.1185035452494192,0.9808672983069198,19.5300000000001,1.166558261411355,6237825.492189143,70805.92352584607,0.0039721351645500315,224.41491492983948,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.4798098816554,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-24,64787.49894519402,317.98072221189534,291.83397145473623,364.3898957885431,1.147668867728275,1.0239038673953498,19.5300000000001,1.1769652377521185,6309139.717590476,71314.22540133359,0.004613555154925138,219.44474954579618,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.457255601286874,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-25,65112.402053110214,324.90310791619413,300.3258730642265,365.5650947567278,1.1751989681847017,1.0650259936299011,19.5300000000001,1.1862892159676135,6381008.69565893,71868.97806845343,0.005281110128314097,214.22276868811278,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.42132566993744,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-26,65445.76131682047,333.35926371025533,308.95677907095643,366.7643349654132,1.199240208685393,1.1029713374977992,19.5300000000001,1.1946340095839858,6453489.490603289,72480.79494435893,0.005954206869021621,208.90936643205123,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.370520755362016,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-27,65789.54372517201,343.7824083515349,317.81775140082607,367.98273732619356,1.2184023607803685,1.1366089168272941,19.5300000000001,1.2021028504329814,6526601.681575617,73112.19097232877,0.006611744356678962,203.64020840516343,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.304164806987,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-28,66145.6311940084,356.0874688363731,327.0405141000706,369.21438007932574,1.231642753132143,1.165090494989574,19.5300000000001,1.2088664073787132,6600329.735147461,73728.05357184526,0.007233856748440069,198.48648791343976,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.222498201232575,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-29,66515.43184734866,369.8006533402733,336.772213467749,370.45255946156334,1.2381793822376028,1.1879641220501977,19.5300000000001,1.2151380085075336,6674668.717650198,74338.98250273668,0.007803220615628707,193.48136399584286,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.12674760050434,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-30,66899.58847827178,384.15663092311115,347.15648815511094,371.68998520703275,1.2374257454694126,1.2052592906326727,19.5300000000001,1.221120313103341,6749577.156143283,74908.43849308364,0.008306035371223807,188.64431808414804,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,56.019178347437155,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-08-31,67294.39812987394,394.8096516021594,358.13217510146626,372.9138851560831,1.2238999490503482,1.2164793742447066,19.5300000000001,1.2270448243556265,6825016.105310446,75438.94916716254,0.008732758590473462,183.97913869239375,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,55.903133760577944,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-09-01,67700.8993084592,406.50117858526596,369.78913019487857,374.1215644811547,1.2076793250715379,1.2214723296492718,19.5300000000001,1.2331288024942588,6900990.981229126,75974.87591868165,0.009078657501355433,179.44369629466723,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,55.780732673374715,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-09-02,68121.84673409174,420.9474256325506,382.3017750863664,375.3150421391471,1.1934776579924073,1.2210177895769685,19.5300000000001,1.2394597240426415,6977469.567628384,76478.58639925698,0.009344222602422536,174.93335884026374,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,55.653175555451284,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-09-03,68560.5882018294,438.74146773766506,395.8673707459325,376.4995492190991,1.184507079951967,1.2165488948653396,19.5300000000001,1.2459052325924225,7054415.808914576,76946.24128619139,0.009535477876186665,170.3416626337533,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,55.52300707059629,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-09-04,69020.22222764882,459.6340258194098,410.65972262958576,377.68240270294797,1.1828534838489155,1.2099436685633567,19.5300000000001,1.2520945676246678,7131774.599607727,77358.79069315044,0.00966421344915682,165.59685621901264,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,55.39348106248188,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
2020-09-05,69502.96628288926,482.744055240447,426.79445955460756,378.8721607860997,1.1897580831517174,1.2033685465097848,19.5300000000001,1.2575085469208296,7209485.22811563,77710.62850790432,0.00974816008686763,160.66966381907545,8.860000000000046,53859.00000000028,30698.00000000016,0.6400000000000035,55.268084293952626,37.40000000000019,34.000000000000185,67293.48000000036,9441138.000000048
