date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients,hosp_patients,weekly_hosp_admissions,total_boosters_per_hundred,new_tests,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,extreme_poverty,cardiovasc_death_rate,hospital_beds_per_thousand,life_expectancy,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
2022-01-15,948421.145796475,20413.679649399233,18843.621945572882,3368.1218966507295,14.761608679454916,13.898566434783662,160670.42549449578,570.5894336624666,1.2622697343144418,66.96232572297544,756.1644075588401,1280.7832405488693,53.184076384516004,192141.0415944708,0.11654443372164316,8.742467656017803,43280.50458246215,0.03426873217377374,32.642214219208924,18.800000000000097,42.300000000000225,0.200000000000001,114.7700000000006,2.5000000000000133,80.90000000000043,5882259.000000033,1143.3839650329855,1.009671238833799,10.058386099923396
2022-01-16,969737.8790306156,21316.733234140604,19329.410934292813,3383.1252460174637,15.003349366734067,14.165309441472383,164281.65743535172,573.1313309029593,1.2628075043557425,65.03253937949734,760.514579101581,1303.9734032623326,53.655179414160465,195040.36007432782,0.1189547053817303,8.5861202959888,41324.98982986541,0.03208842695838464,32.86669670189866,18.800000000000097,42.300000000000225,0.200000000000001,114.7700000000006,2.5000000000000133,80.90000000000043,5882259.000000033,1154.4809197993045,1.0180328408900565,9.225463298278044
2022-01-17,991819.3224759366,22081.443445321063,19899.330394158555,3398.2870017399932,15.161755722529563,14.426533632494095,168022.4376728295,575.6999768456108,1.2635183625913076,62.99211623468773,765.6263027812612,1329.9968753297508,54.10125211533462,197939.24460325748,0.12189896374864437,8.407988735243066,39340.733193342865,0.029928634375220316,33.07885397438784,18.800000000000097,42.300000000000225,0.200000000000001,114.7700000000006,2.5000000000000133,80.90000000000043,5882259.000000033,1164.3177438249163,1.025245218902838,8.392423750373053
2022-01-18,1014763.4479655512,22944.12548961462,20566.49476507596,3413.599915170546,15.312913430552657,14.674421717583261,171909.36345436383,578.2941319554759,1.2640985327708902,60.87597146819428,771.7019184240207,1359.0440204275023,54.52248597448701,200673.19145179697,0.1253938414281609,8.210217472569996,37345.26224148425,0.027827374294666724,33.27248259455951,18.800000000000097,42.300000000000225,0.200000000000001,114.7700000000006,2.5000000000000133,80.90000000000043,5882259.000000033,1173.023193130486,1.0314312130966978,7.577169045580609
2022-01-19,1038761.8617983407,23998.41383278954,21342.899990096597,3429.062509099311,15.462593928764548,14.903345053539763,175974.8944810446,580.9135445063621,1.2642652376518604,58.726791141546556,778.8677122504666,1391.0624594059552,54.919170510969685,203118.02883448472,0.12947540692761733,7.991279781867714,35356.45269274865,0.025812353603999423,33.467114369966225,18.800000000000097,42.300000000000225,0.200000000000001,114.7700000000006,2.5000000000000133,80.90000000000043,5882259.000000033,1180.7451261711649,1.036731873207879,6.798352843840093
2022-01-20,1064029.4509059647,25267.58910762387,22236.526646418635,3444.6742412297885,15.611732130477765,15.110008143742432,180255.43438373136,583.5581299376263,1.2637233303074167,56.582132787317065,787.1779011884975,1425.7734121045655,55.29169058523122,205125.1572755083,0.1341524504769026,7.752381943705256,33391.18463914782,0.0239019284221334,33.657172719944015,18.800000000000097,42.300000000000225,0.200000000000001,114.7700000000006,2.5000000000000133,80.90000000000043,5882259.000000033,1187.640755469635,1.041296134567006,6.073227187132545
2022-01-21,1090751.6174781178,26722.16657215298,23249.16729363754,3460.431876785307,15.757635555518334,15.293557012784222,184782.3918301388,586.2273553717725,1.2621808299865436,54.46900101259517,796.6655202675863,1462.8406279213482,55.64050937395905,206572.01433672203,0.13940813229853044,7.49694159675762,31463.942180071954,0.0221058257606854,33.821955331813264,18.800000000000097,42.300000000000225,0.200000000000001,114.7700000000006,2.5000000000000133,80.90000000000043,5882259.000000033,1193.8662150923933,1.0452703048221994,5.41600206917479
2022-01-22,1119044.704931473,28293.08745335524,24374.796984934073,3476.326767963904,15.894891178597403,15.455660487448563,189575.47635515124,588.9197780026506,1.2593869153147317,52.39137584024799,807.3432255271291,1501.7721645415304,55.966140595433814,207343.38630199237,0.1452385491269362,7.229949248634805,29585.365781789616,0.020425684769770698,33.93303291773524,18.800000000000097,42.300000000000225,0.200000000000001,114.7700000000006,2.5000000000000133,80.90000000000043,5882259.000000033,1199.5656150084646,1.0487874086425075,4.836589948778317
2022-01-23,1148926.3173863892,29881.612454916285,25598.3511504653,3492.3428135294944,16.016045565589963,15.60057115744165,194637.67023355828,591.6326988866041,1.2551494301835295,50.36470188665018,819.2074999468994,1542.0565151320711,56.26891999547192,207327.7117853181,0.15162396679025733,6.955428969443146,27760.46493104166,0.01884285763033386,33.96044388675009,18.800000000000097,42.300000000000225,0.200000000000001,114.7700000000006,2.5000000000000133,80.90000000000043,5882259.000000033,1204.8597106099378,1.051956425906575,4.339638970956722
2022-01-24,1180244.5765013322,31318.259114942917,26917.896228395235,3508.4120713623806,16.06925783288674,15.7304946253534,199943.24401485873,594.3546427816314,1.2493606182097239,48.398542575297974,832.1839539840929,1583.3074477582347,56.54923930863652,206455.97834448336,0.15853520198344956,6.675529387069439,25993.212709270287,0.01734497450911111,33.87659584331084,18.800000000000097,42.300000000000225,0.200000000000001,114.7700000000006,2.5000000000000133,80.90000000000043,5882259.000000033,1209.8342836038673,1.0548514500052397,3.9237827188445653
