date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,people_vaccinated_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,aged_70_older,diabetes_prevalence,hospital_beds_per_thousand,population
2022-06-07,854775.9379232685,3053.755878627661,3100.9703303979322,8252.024785878813,3.5869761356477987,3.4625358567908546,37.86957393934091,78.88965646084085,1.0287339826381514,14851.899824574206,13536.312328959424,0.22261679346925076,4.526286240666569,5444.428203274327,0.006570916483272474,18.849490879438836,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-08,857801.4803493692,3025.5424261006788,3085.5604179665206,8255.625732266264,3.60094638745014,3.5119043166396877,37.97928184890965,78.8954298514023,1.0165070157439673,14492.461467493376,13474.937462621332,0.22010965392546777,4.579512676621459,5477.565334744053,0.006606920394128572,18.88735797858368,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-09,860786.4646737928,2984.9843244236063,3064.6210957955154,8259.237156342566,3.611424076301896,3.549722839936138,38.089766447168024,78.90129590872914,1.004743707186128,14054.13750737506,13390.633203624066,0.2173443606768096,4.6380071642211105,5522.064854322431,0.006739126947180149,18.941957721171143,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-10,863718.7432694053,2932.2785956124726,3037.4244018401764,8262.856438685507,3.6192823429407124,3.5770652391958064,38.199800594910656,78.90728527996325,0.9934834429623188,13544.577865232885,13280.040788303071,0.2143901386394756,4.700501171485167,5568.947929688178,0.0069568985394090396,19.01399430897793,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-11,866588.3107810791,2869.5675116738057,3003.4769607207954,8266.481614728427,3.6251760429198248,3.5956749798170278,38.30788939253081,78.91339269300423,0.9827800030362202,12974.138091070767,13138.820442552467,0.2113454481942159,4.765067216687573,5606.108684822703,0.00723690467378756,19.103135356814278,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-12,869388.7630631861,2800.452282107006,2962.6564614908266,8270.111211046331,3.6295963179041593,3.608006234862776,38.413080309704284,78.9195761016168,0.9726764696333396,12357.255229852324,12962.328001597625,0.20832954509847412,4.829432280647555,5622.8379777411465,0.007547911213808685,19.20800746460492,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-13,872126.9955843979,2738.232521211803,2914.9720537781104,8273.751685595686,3.6404745493524944,3.6183387097605326,38.514871133561854,78.92579021177463,0.9632347277906168,11713.52835273832,12748.961789821376,0.20544108254719134,4.891788172993753,5611.198263525648,0.007854372324383676,19.326085753592693,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-14,874797.1555279894,2670.1599435914673,2860.172361923761,8277.401579322826,3.6498937271404266,3.627352771816203,38.61307314886015,78.93199006394697,0.9544845461661701,11070.678847779349,12499.541526593586,0.20276326181343193,4.950423224121534,5566.287482388911,0.008119124427515306,19.4536488336173,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-15,877390.9011967366,2593.745668747256,2798.4868664654487,8281.054465035118,3.6528857122913303,3.634794313833069,38.7077343796062,78.93813556670631,0.9464584322490632,10466.724559503993,12218.17964203635,0.20034135392309943,5.004444761336147,5486.439092722524,0.008305406669052781,19.588341667229813,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-16,879900.537322893,2509.636126156437,2730.5797721826384,8284.701159054308,3.6466940191894146,3.6398473514058347,38.799107876772304,78.9441967438266,0.9391568493968828,9930.815858218826,11910.909489122623,0.19819993916566034,5.053512950446203,5373.3790448166255,0.008378376268757926,19.72882137647281,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
