date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,total_deaths_per_million,reproduction_rate,icu_patients,hosp_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,total_boosters_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,male_smokers,median_age,gdp_per_capita,extreme_poverty,diabetes_prevalence,female_smokers,population,excess_mortality_cumulative,excess_mortality
2020-09-23,389488.62614333443,4072.7334316451243,3590.6076513406124,58097.49706823651,26.205049652795353,22.516317730586707,18572356.53295663,852.1302237191624,1.3639847003445857,176.6187016428919,1399.8205986533187,227674.36955747777,225204.47740337765,0.01740181266236883,60.21057287188654,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.767325253252748,2.587362220690922
2020-09-24,393813.78954932425,4325.16340598983,3764.006744161574,58125.32068417681,27.82361594030761,23.809695796324036,18800424.284672253,852.5380839173627,1.36788380644784,189.33529320049502,1485.2263733597395,228067.75171561996,226166.85983016767,0.018441146180680983,57.84450851622913,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.729618397414875,2.411917108310696
2020-09-25,398454.0148187488,4640.225269424507,3960.6458344624925,58155.008774283306,29.688090106491266,25.194808369544297,19028870.909092452,852.9732833646553,1.3722701592961277,202.6795403593244,1575.014948087034,228446.62442019946,226913.22754877346,0.019529308245724082,55.46603491011956,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.692383758352982,2.284233703428056
2020-09-26,403459.94983416557,5005.935015416805,4184.816924004601,58186.726781100406,31.718006817101855,26.67815508129531,19257799.037523955,853.4382485609847,1.3771105057035133,216.6200301886921,1669.1964405416843,228928.12843150416,227519.8805516903,0.02067526172727952,53.07363413346239,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.655725116760875,2.206206928693032
2020-09-27,408861.9391855795,5401.9893514139385,4439.205159066806,58220.519520214526,33.79273911411927,28.261041650338043,19487308.404161096,853.933636646984,1.3823000738477729,230.92096963570174,1768.1907693202934,229509.36663713848,228056.17329353534,0.021893000917308416,50.66992986641876,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.619712066400666,2.176534317398898
2020-09-28,414580.4389076079,5718.499722028466,4721.198554012459,58255.87517668327,35.35565646875047,29.92026071415953,19717558.828848064,854.451931589958,1.3876318103955279,245.45834196497967,1872.2490886256464,230250.42468696862,228581.66482794107,0.02320805062334011,48.264506223343545,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.584365820970524,2.1905216171700554
2020-09-29,420648.7736862011,6068.334778593111,5033.27101748091,58292.919181478275,37.044004795001825,31.661063990694036,19948761.8311545,854.9949737409506,1.3928852992963248,260.11077328045786,1981.9327602313583,231203.0023064356,229154.19191442736,0.024651351477524515,45.872170876298924,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.549642890060719,2.23930313918653
2020-09-30,427139.0080603851,6490.234374184016,5378.628152250963,58331.977750685386,39.05856920711116,33.497429861152455,20181029.913766682,855.5675548047445,1.397812649326803,274.7954425977065,2097.65003882252,232268.08261217998,229810.45190285382,0.026243684907432376,43.50403119536257,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.515483875921214,2.3125470284133565
2020-10-01,434133.7771344944,6994.769074109258,5760.00018497039,58373.43961553513,41.46186484974197,35.445911115967824,20414476.205412306,856.1753871766041,1.4021574831166297,289.40897690626355,2219.7352666734546,233446.29164562532,230578.82906935143,0.02799659690617226,41.17276644758856,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.481822413820604,2.3996682591205296
2020-10-02,441705.1596123453,7571.382477850864,6178.736663453077,58417.6523199255,44.21270439037701,37.52102076425453,20649214.695510454,856.8235809448331,1.4056745118203442,303.9001069524842,2348.5426587963034,234738.4900981495,231477.67994681027,0.029913090859978307,38.89531982599527,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.448593031623204,2.490864201081559
