date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,extreme_poverty,population
2020-08-28,6837.656733081492,24.223041138330075,25.78711727390767,305.64775289128613,0.06979665528614089,0.06532577552031624,0.03000000000000016,0.8602964128235586,304.25573901607953,0.07495702677566074,13.66409368595458,228.00000000000122,0.0,32.99235780894094,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-08-29,6861.119117361225,23.462384279733364,25.288582622528395,305.71795752560786,0.07020463432174863,0.06667080222847258,0.03000000000000016,0.853836724614438,302.0051849989702,0.07304970285485489,14.060961343974682,228.00000000000122,0.0,32.85585998566502,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-08-30,6883.800876482467,22.681759121241555,24.723611175041125,305.7884681442063,0.07051061859845444,0.06750310167135454,0.03000000000000016,0.8499001678952188,299.75057588562106,0.07107509226719168,14.476698706752849,228.00000000000122,0.0,32.69328283669548,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-08-31,6905.721972811117,21.92109632864936,24.093026577790248,305.8579477468106,0.06947960260430311,0.06795085566528071,0.03000000000000016,0.8491234129285258,297.5604270661231,0.06909736638849986,14.89940024208793,228.00000000000122,0.0,32.49301481013316,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-01,6926.8466832282575,21.124710417139923,23.400487935928364,305.92644400338565,0.06849625657507616,0.06808078880778416,0.03000000000000016,0.8518908790241266,295.5081192653329,0.06719616635569302,15.312004932697192,228.00000000000122,0.0,32.243351928543674,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-02,6947.183040863349,20.336357635091552,22.662464529838996,305.9948814834705,0.06843748008483015,0.06806737893615496,0.03000000000000016,0.8581418179623432,293.57992590666004,0.06541894118564509,15.699367306504172,228.00000000000122,0.0,31.930250371747164,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-03,6966.783046646229,19.600005782879773,21.903300886067054,306.06468082818185,0.06979934471132795,0.06814329438311179,0.03000000000000016,0.8675304100134523,291.7507007325164,0.06386608048522614,16.042881976322885,228.00000000000122,0.0,31.539706847976543,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-04,6985.7428279711075,18.959781324878016,21.1515155805167,306.13747312921697,0.07279230103511211,0.06856222191855565,0.03000000000000016,0.8793611236057596,290.01480318351827,0.0626091595882248,16.32700634326352,228.00000000000122,0.0,31.063609806312115,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-05,7004.202757694565,18.459929723458146,20.437025340849736,306.2148857131058,0.07741258388880996,0.06957098770588517,0.03000000000000016,0.8927921743138878,288.35942171537016,0.06172787809453002,16.534921855055938,228.00000000000122,0.0,30.499463980461343,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-06,7022.347543384056,18.144785689490853,19.789063123284386,306.2983814793999,0.08349576629411246,0.07138864801923299,0.03000000000000016,0.9068386362299227,286.7519353880148,0.06122900488634686,16.657459975648795,228.00000000000122,0.0,29.850183796593623,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
