date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_fully_vaccinated_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,gdp_per_capita,extreme_poverty,female_smokers,male_smokers,population
2020-09-15,49247.33782815159,1164.9692695216427,1107.4418753209761,347.7449320802619,10.395537615134277,10.61630637343044,1.1900000000000062,1.1336022511398927,10724.687588606495,11053.735700329718,0.1068289545736871,9.595501701529315,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,75.67441228083673,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-09-16,50433.1361280627,1185.798299911111,1126.5069583653299,358.1128684202487,10.367936339986791,10.54146329655636,1.1900000000000062,1.1301257348966147,10646.448270640405,10946.017644671996,0.109647734029813,9.349501195345447,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,75.71960074262506,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-09-17,51640.95186980276,1207.8157417400575,1146.4233520965588,368.4946868678697,10.381818447621006,10.483622682501318,1.1900000000000062,1.126711301818875,10585.696028448967,10845.721733827217,0.11238770743897272,9.113790408467725,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,75.80362912839747,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-09-18,52871.1690090102,1230.2171392074367,1166.9246136199322,378.93677145342383,10.442084585554166,10.449349688023386,1.1900000000000062,1.1233460167649336,10542.070179061368,10756.127741870103,0.11498922918944302,8.892272347397993,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,75.91678745715794,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-09-19,54122.98040898785,1251.8113999776542,1187.656185489676,389.48514161527856,10.548370161854715,10.44346960279842,1.1900000000000062,1.1200636496131329,10512.227892861003,10679.904775374796,0.11737718368910895,8.689162243741784,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,76.04819919015362,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-09-20,55394.09786330206,1271.1174543142056,1208.1952556330957,400.1815032702831,10.696361655004498,10.468510573139554,1.1900000000000062,1.1170525853029345,10496.019174332258,10618.227466469703,0.11950493043005103,8.507615057079136,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,76.18611287031409,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-09-21,56676.16570516894,1282.0678418668776,1227.6882195205571,411.0401190493516,10.858615779068515,10.526075560753194,1.1900000000000062,1.1145968080786892,10491.98949387138,10571.369856478019,0.12135041727955201,8.349092029719511,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,76.31812085183068,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-09-22,57969.30480570291,1293.1391005339674,1245.9982053644017,422.085131303821,11.04501225446947,10.618437245871958,1.1900000000000062,1.11307559571642,10500.16191678364,10539.298158357235,0.12293799072307725,8.21288560276799,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,76.43819697371475,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-09-23,59276.35436381185,1307.0495581089453,1263.3197619741757,433.3425653492303,11.257434045409326,10.745102336472502,1.1900000000000062,1.1129106075824038,10529.99328632724,10522.66309840595,0.1243064342187787,8.097102792896948,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,76.54204624353763,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-09-24,60601.41081164373,1325.0564478318724,1280.0683242278863,444.8330713939531,11.490506044722816,10.903108749768744,1.1900000000000062,1.1144851534890021,10580.402543930966,10521.906373578233,0.12548338093234535,7.999220113418682,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,76.62712130191642,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
