date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,population
2020-05-09,5.9998940819120605,4.422247054351314e-05,0.00011359570171089233,1.000000000000005,0.0,548.0303254418477,91.34000000000046,10994.000000000055
2020-05-10,5.999920561434054,3.316685290763486e-05,8.519677628316924e-05,1.000000000000005,0.0,548.0327440813866,91.34000000000046,10994.000000000055
2020-05-11,5.99994042107555,2.4875139680726144e-05,6.389758221237693e-05,1.000000000000005,0.0,548.0345580610407,91.34000000000046,10994.000000000055
2020-05-12,5.999955315806671,1.865635476054461e-05,4.79231866592827e-05,1.000000000000005,0.0,548.0359185457813,91.34000000000046,10994.000000000055
2020-05-13,5.999966486855012,1.3992266070408457e-05,3.594238999446202e-05,1.000000000000005,0.0,548.0369389093368,91.34000000000046,10994.000000000055
2020-05-14,5.999974865141267,1.0494199552806342e-05,2.6956792495846515e-05,1.000000000000005,0.0,548.0377041820034,91.34000000000046,10994.000000000055
2020-05-15,5.999981148855959,7.870649664604757e-06,2.0217594371884887e-05,1.000000000000005,0.0,548.0382781365033,91.34000000000046,10994.000000000055
2020-05-16,5.999985861641978,5.902987248453568e-06,1.5163195778913665e-05,1.000000000000005,0.0,548.0387086023783,91.34000000000046,10994.000000000055
2020-05-17,5.999989396231491,4.427240436340176e-06,1.1372396834185249e-05,1.000000000000005,0.0,548.0390314517845,91.34000000000046,10994.000000000055
2020-05-18,5.999992047173627,3.3204303272551323e-06,8.529297625638936e-06,1.000000000000005,0.0,548.0392735888391,91.34000000000046,10994.000000000055
2020-05-19,5.9999940353802295,2.4903227454413494e-06,6.396973219229202e-06,1.000000000000005,0.0,548.0394551916302,91.34000000000046,10994.000000000055
2020-05-20,5.99999552653518,1.867742059081012e-06,4.797729914421902e-06,1.000000000000005,0.0,548.0395913937234,91.34000000000046,10994.000000000055
2020-05-21,5.999996644901394,1.400806544310759e-06,3.5982974358164263e-06,1.000000000000005,0.0,548.0396935452933,91.34000000000046,10994.000000000055
2020-05-22,5.999997483676054,1.0506049082330693e-06,2.6987230768623197e-06,1.000000000000005,0.0,548.0397701589708,91.34000000000046,10994.000000000055
2020-05-23,5.99999811275705,7.87953681174802e-07,2.02404230764674e-06,1.000000000000005,0.0,548.0398276192288,91.34000000000046,10994.000000000055
2020-05-24,5.9999985845677966,5.909652608811015e-07,1.518031730735055e-06,1.000000000000005,0.0,548.0398707144224,91.34000000000046,10994.000000000055
2020-05-25,5.999998938425856,4.432239456608261e-07,1.1385237980512911e-06,1.000000000000005,0.0,548.0399030358176,91.34000000000046,10994.000000000055
2020-05-26,5.999999203819401,3.3241795924561956e-07,8.538928485384684e-07,1.000000000000005,0.0,548.039927276864,91.34000000000046,10994.000000000055
2020-05-27,5.99999940286456,2.4931346943421464e-07,6.404196364038512e-07,1.000000000000005,0.0,548.0399454576487,91.34000000000046,10994.000000000055
2020-05-28,5.999999552148429,1.8698510207566098e-07,4.803147273028884e-07,1.000000000000005,0.0,548.0399590932374,91.34000000000046,10994.000000000055
