date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,life_expectancy,population
2020-12-09,725.7214897815268,7.036641953885923,5.003390609350015,11.999396047086705,0.00026466208515502494,0.0006816205087306663,25113.207740588576,415.22910130177917,82.08000000000042,31816.000000000167
2020-12-10,733.618492901757,7.897003120230229,5.653607759856737,11.999547035315047,0.00019849656386626872,0.0005112153815479998,25386.479929391047,415.23432597633496,82.08000000000042,31816.000000000167
2020-12-11,742.4033331540176,8.7848402522606,6.375540661521524,11.999660276486303,0.00014887242289970154,0.0003834115361609998,25690.475230171956,415.2382444822518,82.08000000000042,31816.000000000167
2020-12-12,752.0508838344864,9.6475506804689,7.145637073387439,11.999745207364743,0.00011165431717477615,0.00028755865212074986,26024.324127380136,415.2411833616894,82.08000000000042,31816.000000000167
2020-12-13,762.4723257717935,10.42144193730709,7.935388438524756,11.999808905523576,8.374073788108212e-05,0.0002156689890905624,26384.953063860932,415.24338752126766,82.08000000000042,31816.000000000167
2020-12-14,773.577418213785,11.105092441991324,8.731882149837345,11.999856679142699,6.28055534108116e-05,0.0001617517418179218,26769.239292562837,415.2450406409513,82.08000000000042,31816.000000000167
2020-12-15,785.3536195750135,11.776201361228484,9.522578386780093,11.999892509357043,4.7104165058108696e-05,0.00012131380636344136,27176.748809273493,415.24628048071406,82.08000000000042,31816.000000000167
2020-12-16,797.7281752501042,12.374555675090742,10.285167468171707,11.9999193820178,3.5328123793581524e-05,9.098535477258102e-05,27604.96397524863,415.2472103605361,82.08000000000042,31816.000000000167
2020-12-17,810.5831708687365,12.854995618632234,10.993475471846317,11.999939536513367,2.649609284518614e-05,6.823901607943577e-05,28049.804427461077,415.24790777040266,82.08000000000042,31816.000000000167
2020-12-18,823.76682223688,13.183651368143556,11.621893449392191,11.999954652385043,1.9872069633889606e-05,5.1179262059576824e-05,28506.017761287512,415.24843082780257,82.08000000000042,31816.000000000167
2020-12-19,837.1019427927225,13.335120555842657,12.148699337205766,11.9999659892888,1.4904052225417204e-05,3.8384446544682616e-05,28967.47254252353,415.2488231208525,82.08000000000042,31816.000000000167
2020-12-20,850.3922941986154,13.290351405893,12.558549389782172,11.999974491966618,1.1178039169062903e-05,2.8788334908511964e-05,29427.378066394955,415.24911734063994,82.08000000000042,31816.000000000167
2020-12-21,863.5546602094023,13.162366010786931,12.852439191657915,11.99998086897498,8.383529376797177e-06,2.159125118138397e-05,29882.854702026383,415.2493380054805,82.08000000000042,31816.000000000167
2020-12-22,876.4956493264131,12.940989117010705,13.018820020763494,11.99998565173125,6.2876470325978825e-06,1.619343838603798e-05,30330.67069200141,415.249503504111,82.08000000000042,31816.000000000167
2020-12-23,889.0690220626844,12.573372736271297,13.047202604454347,11.999989238798456,4.715735274448412e-06,1.2145078789528485e-05,30765.765502032777,415.2496276280838,82.08000000000042,31816.000000000167
2020-12-24,901.1142746271698,12.045252564485324,12.931515398718929,11.999991929098858,3.536801455836309e-06,9.108809092146364e-06,31182.58498867718,415.2497207210634,82.08000000000042,31816.000000000167
2020-12-25,912.4855766878965,11.371302060726643,12.672623297584785,11.999993946824162,2.652601091877232e-06,6.831606819109773e-06,31576.082775121376,415.24979054079813,82.08000000000042,31816.000000000167
2020-12-26,923.0734746943335,10.587898006437044,12.280216665173091,11.99999546011814,1.989450818907924e-06,5.1237051143323294e-06,31942.47128302175,415.24984290559917,82.08000000000042,31816.000000000167
2020-12-27,932.8211693691678,9.747694674834257,11.77422810973956,11.999996595088621,1.492088114180943e-06,3.842778835749247e-06,32279.78500638401,415.2498821792,82.08000000000042,31816.000000000167
2020-12-28,941.7757994573878,8.954630088220078,11.173302627230346,11.999997446316485,1.1190660856357072e-06,2.882084126811935e-06,32589.655160250237,415.2499116344005,82.08000000000042,31816.000000000167
2020-12-29,949.8777287139214,8.101929256533522,10.482268340817082,11.999998084737381,8.392995642267804e-07,2.161563095108951e-06,32870.01806556588,415.24993372580093,82.08000000000042,31816.000000000167
2020-12-30,957.0791594960112,7.201430782089869,9.715181863240488,11.999998563553053,6.294746731700853e-07,1.6211723213317135e-06,33119.219709807934,415.24995029435127,82.08000000000042,31816.000000000167
2020-12-31,963.3625047222038,6.283345226192487,8.89244425134117,11.999998922664808,4.7210600487756395e-07,1.215879240998785e-06,33336.651499388965,415.249962720764,82.08000000000042,31816.000000000167
2021-01-01,968.7541668415895,5.391662119385804,8.038637971957726,11.999999191998622,3.54079503658173e-07,9.119094307490887e-07,33523.22707396,415.2499720405736,82.08000000000042,31816.000000000167
2021-01-02,973.3348720607345,4.580705219145044,7.180904626350331,11.999999393998984,2.6555962774362973e-07,6.839320730618166e-07,33681.73991713779,415.2499790304308,82.08000000000042,31816.000000000167
2021-01-03,977.247421013878,3.91254895314353,6.347728243518409,11.999999545499254,1.991697208077223e-07,5.129490547963624e-07,33817.13156455022,415.24998427282367,82.08000000000042,31816.000000000167
2021-01-04,980.6583841185223,3.410963104644334,5.556136195567059,11.999999659124459,1.493772906057917e-07,3.8471179109727183e-07,33935.166087601465,415.2499882046183,82.08000000000042,31816.000000000167
