date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,life_expectancy,population
2022-04-10,453.0122995979516,0.013013594861021398,0.002197398190045257,7.000000000000038,1.9671235328977154e-39,39388.949450041895,608.640000000003,188.58563699664026,0.029809048428054655,79.94000000000042,11596.000000000064
2022-04-11,453.03171985037125,0.02003815348254697,0.004973840497737579,7.000000000000038,1.4753426496732866e-39,39390.63804098978,608.640000000003,175.2958049937635,0.029856786321041034,79.94000000000042,11596.000000000064
2022-04-12,453.0591809672878,0.027924542713720253,0.009067484445701404,7.000000000000038,1.106506987254965e-39,39393.025785105674,608.640000000003,159.182390267624,0.029892589740780816,79.94000000000042,11596.000000000064
2022-04-13,453.09504829818786,0.03621490024795996,0.014386586184954829,7.000000000000038,8.298802404412237e-40,39396.14444952743,608.640000000003,141.1442102831357,0.02991944230558565,79.94000000000042,11596.000000000064
2022-04-14,453.1391918474295,0.04440422625255055,0.020703966788037445,7.000000000000038,6.224101803309178e-40,39399.98273113399,608.640000000003,122.1797478868832,0.029939581729189278,79.94000000000042,11596.000000000064
2022-04-15,453.19094850742147,0.05195216775017578,0.02769087101862996,7.000000000000038,4.668076352481884e-40,39404.482972720296,608.640000000003,103.28673399208554,0.029954686296892,79.94000000000042,11596.000000000064
2022-04-16,453.2490937335079,0.058291856905068926,0.03494236140876893,7.000000000000038,3.5010572643614128e-40,39409.53870012851,608.640000000003,85.37385786316568,0.029966014722669042,79.94000000000042,11596.000000000064
2022-04-17,453.31182030013156,0.06283653973762532,0.04199636381675778,7.000000000000038,2.6257929482710596e-40,39414.99277509644,608.640000000003,69.18404562749711,0.02997451104200182,79.94000000000042,11596.000000000064
2022-04-18,453.3779828721581,0.06624505186204263,0.0485244221838354,7.000000000000038,1.9693447112032946e-40,39420.74561073415,608.640000000003,55.226414957532995,0.029980883281501405,79.94000000000042,11596.000000000064
2022-04-19,453.44693253227047,0.06901151998896905,0.05432091844783141,7.000000000000038,1.477008533402471e-40,39426.740783680914,608.640000000003,43.71473688072248,0.029985662461126095,79.94000000000042,11596.000000000064
2022-04-20,453.5172937754155,0.07040763805248967,0.05914114132456144,7.000000000000038,1.1077564000518534e-40,39432.858693772374,608.640000000003,34.51581995207386,0.029989246845844614,79.94000000000042,11596.000000000064
2022-04-21,453.5873077588409,0.07004877960594783,0.06275630848210897,7.000000000000038,8.3081730003889e-41,39438.94640963121,608.640000000003,27.386493276919012,0.0299919351343835,79.94000000000042,11596.000000000064
2022-04-22,453.6550897396226,0.06780807791713064,0.06499483317153659,7.000000000000038,6.231129750291675e-41,39444.84005286018,608.640000000003,22.01071675794783,0.029993951350787668,79.94000000000042,11596.000000000064
2022-04-23,453.7188221528107,0.06375198603965801,0.06577327419991952,7.000000000000038,4.673347312718756e-41,39450.38158618688,608.640000000003,18.038047264647044,0.029995463513090792,79.94000000000042,11596.000000000064
2022-04-24,453.7768994200385,0.05809194686652443,0.06511954841012073,7.000000000000038,3.505010484539067e-41,39455.431404572344,608.640000000003,15.119501835039912,0.029996597634818135,79.94000000000042,11596.000000000064
2022-04-25,453.82803655597974,0.05114814567025536,0.063013869452387,7.000000000000038,2.6287578634043e-41,39459.87777854243,608.640000000003,12.94756108862642,0.029997448226113645,79.94000000000042,11596.000000000064
2022-04-26,453.871350623191,0.043322324508024444,0.059423298016892126,7.000000000000038,1.971568397553225e-41,39463.64393668645,608.640000000003,11.293233841679907,0.029998086169585277,79.94000000000042,11596.000000000064
2022-04-27,453.90642182324393,0.03507739302549152,0.05448150066199042,7.000000000000038,1.4786762981649188e-41,39466.69337753105,608.640000000003,10.042129647581852,0.029998564627189,79.94000000000042,11596.000000000064
2022-04-28,453.93333931507425,0.02692213655968102,0.04844709834717159,7.000000000000038,1.1090072236236892e-41,39469.0338534457,608.640000000003,9.098630202719365,0.029998923470391792,79.94000000000042,11596.000000000064
2022-04-29,453.95273557874333,0.020191602419760764,0.041672427832776915,7.000000000000038,8.317554177177669e-42,39470.72035857172,608.640000000003,8.382731540210186,0.029999192602793885,79.94000000000042,11596.000000000064
2022-04-30,453.9658121882598,0.015143701814820573,0.034580112729786325,7.000000000000038,6.238165632883251e-42,39471.85736976918,608.640000000003,7.82706158340587,0.029999394452095457,79.94000000000042,11596.000000000064
2022-05-01,453.97435914119546,0.01135777636111543,0.027645491787158756,7.000000000000038,4.6786242246624384e-42,39472.60052732694,608.640000000003,7.3763886245292,0.029999545839071634,79.94000000000042,11596.000000000064
2022-05-02,453.9807693558972,0.008518332270836572,0.021383440107337396,7.000000000000038,3.508968168496829e-42,39473.15789549526,608.640000000003,6.98773749296058,0.029999659379303767,79.94000000000042,11596.000000000064
2022-05-03,453.9855770169235,0.006388749203127429,0.016037580080503048,7.000000000000038,2.631726126372622e-42,39473.575921621494,608.640000000003,6.630961490761167,0.029999744534477867,79.94000000000042,11596.000000000064
2022-05-04,453.98918276269325,0.004791561902345571,0.012028185060377287,7.000000000000038,1.9737945947794666e-42,39473.889441216175,608.640000000003,6.288395649421885,0.02999980840085844,79.94000000000042,11596.000000000064
2022-05-05,453.9918870720206,0.0035936714267591784,0.009021138795282966,7.000000000000038,1.4803459460846e-42,39474.12458091219,608.640000000003,5.948762800414836,0.02999985630064387,79.94000000000042,11596.000000000064
2022-05-06,453.99391530401607,0.002695253570069384,0.0067658540964622245,7.000000000000038,1.11025945956345e-42,39474.300935684194,608.640000000003,5.606223037609129,0.029999892225482945,79.94000000000042,11596.000000000064
2022-05-07,453.99543647801266,0.002021440177552038,0.005074390572346668,7.000000000000038,8.326945946725875e-43,39474.4332017632,608.640000000003,5.258238706778281,0.029999919169112252,79.94000000000042,11596.000000000064
2022-05-08,453.99657735851014,0.0015160801331640284,0.003805792929260001,7.000000000000038,6.2452094600444066e-43,39474.53240132245,608.640000000003,4.906170949928577,0.02999993937683423,79.94000000000042,11596.000000000064
2022-05-09,453.9974330188832,0.0011370600998730214,0.002854344696945001,7.000000000000038,4.683907095033305e-43,39474.606800991896,608.640000000003,4.554305006240879,0.029999954532625713,79.94000000000042,11596.000000000064
2022-05-10,453.99807476416305,0.000852795074904766,0.002140758522708751,7.000000000000038,3.512930321274979e-43,39474.66260074398,608.640000000003,4.207697080472519,0.029999965899469325,79.94000000000042,11596.000000000064
2022-05-11,453.9985560731229,0.0006395963061785746,0.0016055688920315631,7.000000000000038,2.634697740956234e-43,39474.70445055804,608.640000000003,3.8727572964565264,0.029999974424602036,79.94000000000042,11596.000000000064
2022-05-12,453.9989170548428,0.0004796972296339309,0.0012041766690236723,7.000000000000038,1.976023305717176e-43,39474.73583791859,608.640000000003,3.5575253091232644,0.02999998081845157,79.94000000000042,11596.000000000064
2022-05-13,453.9991877911327,0.0003597729222254482,0.0009031325017677543,7.000000000000038,1.4820174792878819e-43,39474.759378439,608.640000000003,3.2681439818424516,0.02999998561383872,79.94000000000042,11596.000000000064
2022-05-14,453.99939084335017,0.0002698296916690861,0.0006773493763258157,7.000000000000038,1.1115131094659113e-43,39474.777033829305,608.640000000003,3.009786073001105,0.02999998921037908,79.94000000000042,11596.000000000064
2022-05-15,453.9995431325132,0.0002023722687518146,0.0005080120322443618,7.000000000000038,8.336348320994335e-44,39474.790275372034,608.640000000003,2.7860887467353175,0.02999999190778435,79.94000000000042,11596.000000000064
2022-05-16,453.99965734938553,0.00015177920156386095,0.00038100902418327135,7.000000000000038,6.252261240745751e-44,39474.80020652908,608.640000000003,2.598729455979093,0.029999993930838305,79.94000000000042,11596.000000000064
2022-05-17,453.9997430120398,0.0001138344011728957,0.0002857567681374535,7.000000000000038,4.689195930559313e-44,39474.80765489687,608.640000000003,2.4471078547509677,0.02999999544812877,79.94000000000042,11596.000000000064
2022-05-18,453.9998072590305,8.537580087967177e-05,0.00021431757610309015,7.000000000000038,3.5168969479194847e-44,39474.813241172706,608.640000000003,2.3281072323689815,0.02999999658609662,79.94000000000042,11596.000000000064
2022-05-19,453.99985544427346,6.403185065975383e-05,0.0001607381820773176,7.000000000000038,2.6376727109396133e-44,39474.817430879586,608.640000000003,2.238388116584431,0.029999997439572507,79.94000000000042,11596.000000000064
2022-05-20,453.99989158320574,4.802388799481537e-05,0.0001205536365579882,7.000000000000038,1.97825453320471e-44,39474.82057315974,608.640000000003,2.1725370473607564,0.029999998079679423,79.94000000000042,11596.000000000064
2022-05-21,453.99991868740494,3.6017915996111526e-05,9.041522741849115e-05,7.000000000000038,1.4836908999035326e-44,39474.82292986986,608.640000000003,2.1254111888819147,0.029999998559759607,79.94000000000042,11596.000000000064
2022-05-22,453.99993901555433,2.7013436997083644e-05,6.781142056386836e-05,7.000000000000038,1.1127681749276495e-44,39474.82469740245,608.640000000003,2.092797887459758,0.029999998919819748,79.94000000000042,11596.000000000064
2022-05-23,453.99995426166635,2.0260077747812734e-05,5.085856542290127e-05,7.000000000000038,8.345761311957371e-45,39474.82602305189,608.640000000003,2.0695984155948213,0.029999999189864852,79.94000000000042,11596.000000000064
2022-05-24,453.9999656962504,1.5195058310859551e-05,3.814392406717595e-05,7.000000000000038,6.259320983968028e-45,39474.827017288975,608.640000000003,2.0521988116961185,0.029999999392398682,79.94000000000042,11596.000000000064
2022-05-25,453.9999742721884,1.1396293733144664e-05,2.8607943050381966e-05,7.000000000000038,4.6944907379760215e-45,39474.82776296679,608.640000000003,2.0391491087720914,0.029999999544299053,79.94000000000042,11596.000000000064
2022-05-26,453.99998070414193,8.547220299858498e-06,2.1455957287786472e-05,7.000000000000038,3.520868053482016e-45,39474.82832222515,608.640000000003,2.029361831579071,0.029999999658224332,79.94000000000042,11596.000000000064
2022-05-27,453.99998552810706,6.410415224893873e-06,1.6091967965839853e-05,7.000000000000038,2.6406510401115123e-45,39474.82874166891,608.640000000003,2.0220213736843062,0.02999999974366829,79.94000000000042,11596.000000000064
2022-05-28,453.9999891460809,4.807811418670405e-06,1.206897597437989e-05,7.000000000000038,1.9804882800836342e-45,39474.829056251736,608.640000000003,2.0165160302632326,0.029999999807751258,79.94000000000042,11596.000000000064
2022-05-29,453.9999918595613,3.6058585640028038e-06,9.051731980784916e-06,7.000000000000038,1.4853662100627257e-45,39474.82929218886,608.640000000003,2.012387022697427,0.029999999855813485,79.94000000000042,11596.000000000064
2022-05-30,453.9999938946716,2.7043939230021027e-06,6.788798985588687e-06,7.000000000000038,1.1140246575470443e-45,39474.829469141696,608.640000000003,2.009290267023073,0.029999999891860155,79.94000000000042,11596.000000000064
2022-05-31,453.9999954210043,2.028295442251577e-06,5.091599239191516e-06,7.000000000000038,8.355184931602832e-46,39474.82960185633,608.640000000003,2.0069677002673076,0.029999999918895157,79.94000000000042,11596.000000000064
2022-06-01,453.99999656575386,1.5212215816886829e-06,3.818699429393637e-06,7.000000000000038,6.266388698702124e-46,39474.8297013923,608.640000000003,2.0052257752004836,0.02999999993917141,79.94000000000042,11596.000000000064
2022-06-02,453.999997424316,1.1409161862665122e-06,2.864024572045228e-06,7.000000000000038,4.699791524026593e-46,39474.82977604428,608.640000000003,2.0039193314003656,0.0299999999543786,79.94000000000042,11596.000000000064
2022-06-03,453.99999806823763,8.556871396998841e-07,2.148018429033921e-06,7.000000000000038,3.524843643019945e-46,39474.82983203327,608.640000000003,2.002939498550277,0.02999999996578399,79.94000000000042,11596.000000000064
2022-06-04,453.99999855117886,6.417653547749131e-07,1.6110138217754408e-06,7.000000000000038,2.6436327322649588e-46,39474.829874025,608.640000000003,2.0022046239127107,0.029999999974338033,79.94000000000042,11596.000000000064
2022-06-05,453.9999989133848,4.813240160811849e-07,1.2082603663315807e-06,7.000000000000038,1.982724549198719e-46,39474.82990551881,608.640000000003,2.0016534679345357,0.029999999980753568,79.94000000000042,11596.000000000064
2022-06-06,453.9999991850392,3.609930120608886e-07,9.061952747486856e-07,7.000000000000038,1.4870434118990392e-46,39474.82992913916,608.640000000003,2.0012401009509047,0.02999999998556522,79.94000000000042,11596.000000000064
2022-06-07,453.99999938878005,2.7074475904566646e-07,6.796464560615142e-07,7.000000000000038,1.1152825589242795e-46,39474.82994685443,608.640000000003,2.0009300757131814,0.029999999989173957,79.94000000000042,11596.000000000064
2022-06-08,453.9999995415857,2.0305856928424985e-07,5.097348420461356e-07,7.000000000000038,8.364619191932096e-47,39474.82996014088,608.640000000003,2.0006975567848886,0.029999999991880508,79.94000000000042,11596.000000000064
2022-06-09,453.9999996561899,1.522939269631874e-07,3.8230113153460167e-07,7.000000000000038,6.273464393949073e-47,39474.82997010571,608.640000000003,2.000523167588669,0.029999999993910422,79.94000000000042,11596.000000000064
2022-06-10,453.9999997421431,1.1422044522239054e-07,2.867258486509513e-07,7.000000000000038,4.705098295461804e-47,39474.82997757934,608.640000000003,2.0003923756915043,0.029999999995432857,79.94000000000042,11596.000000000064
2022-06-11,453.99999980660795,8.56653339167929e-08,2.1504438648821346e-07,7.000000000000038,3.528823721596353e-47,39474.829983184565,608.640000000003,2.000294281768631,0.029999999996574683,79.94000000000042,11596.000000000064
2022-06-12,453.99999985495657,6.424900043759467e-08,1.612832898661601e-07,7.000000000000038,2.6466177911972647e-47,39474.82998738848,608.640000000003,2.000220711326476,0.029999999997431054,79.94000000000042,11596.000000000064
2022-06-13,453.99999989121807,4.8186750328196004e-08,1.2096246739962008e-07,7.000000000000038,1.9849633433979485e-47,39474.82999054142,608.640000000003,2.00016553349486,0.02999999999807333,79.94000000000042,11596.000000000064
2022-06-14,453.9999999184142,3.6140062746147e-08,9.072185054971506e-08,7.000000000000038,1.4887225075484614e-47,39474.82999290612,608.640000000003,2.0001241501211475,0.02999999999855504,79.94000000000042,11596.000000000064
2022-06-15,453.99999993881124,2.710504705961025e-08,6.80413879122863e-08,7.000000000000038,1.116541880661346e-47,39474.82999467965,608.640000000003,2.0000931125908634,0.02999999999891632,79.94000000000042,11596.000000000064
2022-06-16,453.99999995410906,2.0328785294707687e-08,5.103104093421472e-08,7.000000000000038,8.374064104960096e-48,39474.829996009794,608.640000000003,2.0000698344431505,0.02999999999918728,79.94000000000042,11596.000000000064
2022-06-17,453.9999999655824,1.5246588971030767e-08,3.827328070066104e-08,7.000000000000038,6.280548078720072e-48,39474.8299970074,608.640000000003,2.0000523758323654,0.0299999999993905,79.94000000000042,11596.000000000064
2022-06-18,453.9999999741874,1.1434941728273075e-08,2.8704960525495778e-08,7.000000000000038,4.7104110590400544e-48,39474.8299977556,608.640000000003,2.000039281874277,0.029999999999542917,79.94000000000042,11596.000000000064
2022-06-19,453.9999999806412,8.576206296204807e-09,2.1528720394121834e-08,7.000000000000038,3.532808294280041e-48,39474.82999831675,608.640000000003,2.0000294614057106,0.029999999999657228,79.94000000000042,11596.000000000064
2022-06-20,453.9999999854815,6.4321547221536056e-09,1.6146540295591375e-08,7.000000000000038,2.6496062207100308e-48,39474.82999873762,608.640000000003,2.000022096054286,0.02999999999974296,79.94000000000042,11596.000000000064
2022-06-21,453.99999998911176,4.824116041615204e-09,1.2109905221693531e-08,7.000000000000038,1.9872046655325233e-48,39474.82999905327,608.640000000003,2.000016572040717,0.029999999999807264,79.94000000000042,11596.000000000064
2022-06-22,453.99999999183444,3.618087031211403e-09,9.082428916270149e-09,7.000000000000038,1.4904034991493924e-48,39474.82999929001,608.640000000003,2.0000124290305403,0.02999999999985549,79.94000000000042,11596.000000000064
2022-06-23,453.99999999387643,2.7135652734085524e-09,6.811821687202612e-09,7.000000000000038,1.1178026243620443e-48,39474.82999946756,608.640000000003,2.000009321772908,0.02999999999989166,79.94000000000042,11596.000000000064
2022-06-24,453.99999999540796,2.035173955056414e-09,5.108866265401959e-09,7.000000000000038,8.383519682715332e-49,39474.829999600726,608.640000000003,2.0000069913296836,0.029999999999918786,79.94000000000042,11596.000000000064
