date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,female_smokers,human_development_index,population
2020-09-25,3480.634564576021,15.124806852171034,19.837963223655223,115.00000000000063,0.3503151260504216,0.0,0.200000000000001,0.7762803096822128,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,75.29393190773266,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-09-26,3494.18634683215,13.551782256128934,18.286905029247578,115.00000000000063,0.833276098901103,0.07620248868778297,0.200000000000001,0.7713159206908784,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,75.45414802582222,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-09-27,3506.3419094453843,12.155562613234398,16.76610071763706,115.00000000000063,1.4965634090174609,0.2578803733031684,0.200000000000001,0.7667684531232017,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,75.58390287457038,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-09-28,3517.406771450559,11.064862005174678,15.28830646906168,114.99747899159726,2.30186664208954,0.5833501636231442,0.200000000000001,0.7626421123052336,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,75.6834972916745,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-09-29,3527.4033332744143,9.996561823855162,13.86621627713564,114.99264705882416,3.20649047930472,1.063067890978512,0.200000000000001,0.7589437691028758,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,75.7599317922854,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-09-30,3536.3672219984787,8.963888724064619,12.51849010054728,114.9874393988371,4.159505868528324,1.6865473629656278,0.200000000000001,0.7556704965104157,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,75.81725766774358,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-01,3544.3603066087544,7.993084610275362,11.264543884395604,114.98476183742793,5.103808457634134,2.4275488544802064,0.200000000000001,0.752812827133944,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,75.86317725210061,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-02,3551.4804594329767,7.120152824222365,10.120642076192638,114.98792496565999,5.977662419502277,3.2479706259926777,0.200000000000001,0.7503450760712089,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,75.90077983629598,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-03,3557.868877218564,6.388417785587594,9.096967012865237,115.0002197423447,6.715858320767638,4.100767562254699,0.200000000000001,0.7482428083462325,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,75.93281887851492,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-04,3563.7155719410775,5.846694722513261,8.195420961006402,115.02459919589896,7.250581523381171,4.932140151329044,0.200000000000001,0.7464975555163011,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,75.94841991195676,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
