date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,weekly_hosp_admissions,total_boosters_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2020-03-11,0.0,0.0,0.0,0.0,100.0000000000004,483.0000000000019,1043.000000000004,10.18000000000004,2.7100000000000106,0.0,5218.000000000021,5218.000000000021,0.16000000000000061,3170000.000000013
2020-03-12,0.0,0.0,0.0,0.0,100.00000000000044,483.0000000000021,1043.0000000000045,10.180000000000044,2.7100000000000115,0.0,5218.000000000023,5218.000000000023,0.1600000000000007,3170000.000000014
2020-03-13,0.0,0.0,0.0,0.0,100.00000000000047,483.0000000000023,1043.000000000005,10.180000000000048,2.7100000000000124,0.0,5218.000000000025,5218.000000000025,0.16000000000000075,3170000.000000015
2020-03-14,0.0,0.0,0.0,0.0,100.0000000000005,483.0000000000024,1043.0000000000052,10.18000000000005,2.7100000000000133,0.0,5218.0000000000255,5218.0000000000255,0.16000000000000078,3170000.000000016
2020-03-15,0.0,0.0,0.0,0.0,100.00000000000051,483.0000000000025,1043.0000000000055,10.180000000000051,2.7100000000000137,0.0,5218.000000000026,5218.000000000026,0.1600000000000008,3170000.0000000168
2020-03-16,0.0,0.0,0.0,0.0,100.00000000000053,483.00000000000256,1043.0000000000055,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000084,3170000.0000000168
2020-03-17,0.0,0.0,0.0,0.0,100.00000000000054,483.0000000000026,1043.0000000000055,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-03-18,0.0,0.0,0.0,0.0,100.00000000000054,483.0000000000026,1043.0000000000055,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-03-19,0.0,0.0,0.0,0.0,100.00000000000054,483.0000000000026,1043.0000000000055,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-03-20,0.0,0.0,0.0,0.0,99.98739495798372,482.947058823532,1043.0000000000055,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-03-21,0.0,0.0,0.0,0.0,99.96323529411819,482.79138655462447,1043.0000000000055,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-03-22,0.0,0.0,0.0,0.0,99.92207094376266,482.54284502262703,1043.0000000000055,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-03-23,0.0,0.0,0.0,0.0,99.868347002263,482.22129019877445,1043.0000000000055,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-03-24,0.0,0.0,0.0,0.0,99.8236099608118,481.90850158573306,1043.0000000000055,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-03-25,0.0,0.0,0.0,0.0,99.82226467810737,481.8494595765015,1043.0000000000055,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-03-26,0.0,0.0,0.0,0.0,99.91099391905254,482.2893248051952,1043.061764705888,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-03-27,0.0,0.0,0.0,0.0,100.13857834168127,483.638906984634,1043.196533613451,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-03-28,0.0,0.0,0.0,0.0,100.58279607041752,486.28301023201203,1043.3315792663277,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-03-29,0.0,0.0,0.0,0.0,101.31987016205697,490.58399329133357,1043.420420067071,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-03-30,0.0,0.0,0.0,0.0,102.40200669394106,496.84804668149377,1043.3356447206343,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-03-31,0.0,0.0,0.0,0.0,103.86220314585995,505.3978805185548,1042.9703663782275,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-04-01,0.0,0.0,0.0,0.0,105.72014945053927,516.4418169823234,1042.3686926892958,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-04-02,0.0,0.0,0.0,0.0,107.96868351647603,530.1304415990576,1041.4936656061782,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-04-03,0.0,0.0,0.0,0.0,110.57625407239274,546.523057443638,1040.2784748025665,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-04-04,0.0,0.0,0.0,0.0,113.49306644311179,565.5382045242291,1038.575872908649,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-04-05,0.0,0.0,0.0,0.0,116.65544947680719,586.8983043304706,1036.2242123737958,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-04-06,0.0,0.0,0.0,0.0,120.02172608627397,610.158149708746,1033.2079136436319,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-04-07,0.0,0.0,0.0,0.0,123.53573541797005,634.7809425983025,1029.505401942486,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-04-08,0.0,0.0,0.0,0.0,127.14233162165485,660.1745563346361,1025.0672382700527,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-04-09,0.0,0.0,0.0,0.0,130.76125744280887,685.7879954668799,1019.8470511976928,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-04-10,0.0,0.0,0.0,0.0,134.3124104382801,710.9935984101159,1013.7114681009213,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-04-11,0.0,0.0,0.0,0.0,137.69516755721708,735.0366823240715,1006.6512966154467,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
2020-04-12,0.0,0.0,0.0,0.0,140.7712463854308,757.234266752751,998.7263683891881,10.180000000000053,2.710000000000014,0.0,5218.000000000027,5218.000000000027,0.16000000000000086,3170000.0000000168
