date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_tests_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,aged_65_older,extreme_poverty,female_smokers,male_smokers,human_development_index,population
2020-09-30,368.0180649677157,0.8528452361281975,0.6582543647454984,10.000000000000053,1.1631470850041158e-19,2.9218778828904584e-19,288.3873966609856,0.3819299518334116,11119.000000000055,0.0,20.837529779115524,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-01,368.97789908131415,0.9598343149435966,0.715622577049752,10.000000000000053,8.723603137530868e-20,2.191408412167844e-19,289.1392692151966,0.3825612324594161,11119.000000000055,0.0,20.48939733433667,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-02,370.05456199682965,1.0766630665244414,0.7903767582559644,10.000000000000053,6.542702353148151e-20,1.6435563091258828e-19,289.9826742772673,0.38338036196576497,11119.000000000055,0.0,20.122195059576057,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-03,371.2507469662717,1.1961850826987632,0.8791477917042567,10.000000000000053,4.907026764861113e-20,1.232667231844412e-19,290.9197332451196,0.3843072494963023,11119.000000000055,0.0,19.73952444594257,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-04,372.5602321704057,1.3094852890764341,0.9771900292985564,10.000000000000053,3.680270073645835e-20,9.24500423883309e-20,291.94558273927,0.38523463880289954,11119.000000000055,0.0,19.349019546480225,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-05,373.97411724351264,1.413885136813792,1.0812661483475456,10.000000000000053,2.7602025552343763e-20,6.933753179124817e-20,293.0532591294367,0.3860738459412185,11119.000000000055,0.0,18.960441938463944,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-06,375.4937424252013,1.5196252294687822,1.1896157392503186,10.000000000000053,2.0701519164257822e-20,5.200314884343613e-20,294.24381797345154,0.386730885425533,11119.000000000055,0.0,18.584251945121416,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-07,377.11235594624475,1.618613556878577,1.2989509770298548,10.000000000000053,1.5526139373193366e-20,3.9002361632577095e-20,295.51197304699275,0.38713850020360413,11119.000000000055,0.0,18.230537051924472,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-08,378.81649061837834,1.7041346990099375,1.4052537951511912,10.000000000000053,1.1644604529895025e-20,2.925177122443282e-20,296.84717435538073,0.38724333863040244,11119.000000000055,0.0,17.90820821880763,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-09,380.5869962766479,1.7705056784268158,1.5043737658850507,10.000000000000053,8.733453397421268e-21,2.1938828418324615e-20,298.2344166424248,0.3870194464420978,11119.000000000055,0.0,17.62439711433199,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-10,382.39981411117105,1.8128178496410583,1.592476510580565,10.000000000000053,6.550090048065951e-21,1.645412131374346e-20,299.65484577205814,0.38647676970552347,11119.000000000055,0.0,17.384004041308163,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-11,384.22655741595804,1.826743316125431,1.6663800073698156,10.000000000000053,4.912567536049463e-21,1.2340590985307596e-20,301.0862135145644,0.3856411907245213,11119.000000000055,0.0,17.18935888101347,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-12,386.0122580748973,1.785700667443138,1.719483292534475,10.000000000000053,3.684425652037097e-21,9.255443238980697e-21,302.4854455270032,0.384573653224387,11119.000000000055,0.0,17.039966801354822,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-13,387.7476874152556,1.7354293467362019,1.7502706788384799,10.000000000000053,2.7633192390278226e-21,6.941582429235523e-21,303.84530909677187,0.38335768012514276,11119.000000000055,0.0,16.93231753799093,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-14,389.4433770675832,1.695689657110977,1.761209150046768,10.000000000000053,2.072489429270867e-21,5.206186821926643e-21,305.17405131191356,0.38211198989346973,11119.000000000055,0.0,16.859742355173893,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-15,391.1227396526595,1.6793625886638748,1.757568465637858,10.000000000000053,1.5543670719531502e-21,3.904640116444982e-21,306.4900100417895,0.3809862225429212,11119.000000000055,0.0,16.812306766380445,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-16,392.8169092967027,1.6941696467338492,1.746536239338286,10.000000000000053,1.1657753039648627e-21,2.9284800873337365e-21,307.8175721725837,0.38011991900803177,11119.000000000055,0.0,16.776730074785355,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-17,394.56087201777643,1.74396272309176,1.7365542480234324,10.000000000000053,8.74331477973647e-22,2.1963600655003024e-21,309.1841422839308,0.3796211286548608,11119.000000000055,0.0,16.75004755608904,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-18,396.3905635155953,1.8296914993323976,1.7368206633931422,10.000000000000053,6.557486084802352e-22,1.6472700491252267e-21,310.6178691563874,0.37959545217957535,11119.000000000055,0.0,16.7300356670668,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-19,398.3482555390888,1.9576920246285838,1.7612276500981883,10.000000000000053,4.918114563601764e-22,1.23545253684392e-21,312.1518524167416,0.3801162723926006,11119.000000000055,0.0,16.715026750300126,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-20,400.4503319258104,2.1020763875729283,1.813438190708744,10.000000000000053,3.6885859227013227e-22,9.2658940263294e-22,313.79892664287337,0.3812244053287108,11119.000000000055,0.0,16.70377006272512,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-21,402.6993843677585,2.2490524425866165,1.8923283198253553,10.000000000000053,2.7664394420259918e-22,6.94942051974705e-22,315.56113131053297,0.3829756730980204,11119.000000000055,0.0,16.695327547043863,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-22,405.0857212105318,2.3863368432521836,1.993182245040319,10.000000000000053,2.0748295815194938e-22,5.212065389810288e-22,317.43088888367583,0.38540515495279826,11119.000000000055,0.0,16.68899566028292,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-23,407.5884990526958,2.5027778425231753,2.108588687658717,10.000000000000053,1.5561221861396204e-22,3.909049042357716e-22,319.39188838221435,0.38852720170264066,11119.000000000055,0.0,16.684246745212214,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-24,410.1765714453078,2.5880723928813967,2.2291131382391933,10.000000000000053,1.1670916396047152e-22,2.931786781768287e-22,321.4197480578312,0.3923260735458886,11119.000000000055,0.0,16.680685058909184,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-25,412.8091254165606,2.6325539714548456,2.3438020482495343,10.000000000000053,8.753187297035364e-23,2.198840086326215e-22,323.48251240083994,0.39675215050524765,11119.000000000055,0.0,16.67801379418191,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-26,415.4538059240888,2.6446805076796966,2.44201055364029,10.000000000000053,6.564890472776523e-23,1.6491300647446613e-22,325.5548526264223,0.4017349273585743,11119.000000000055,0.0,16.676010345636456,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
2020-10-27,418.0948146887039,2.641008764728748,2.5191468938986117,10.000000000000053,4.9236678545823926e-23,1.236847548558496e-22,327.6244011052406,0.40717288265532436,11119.000000000055,0.0,16.674507759227367,37.40000000000019,10.94000000000006,0.5000000000000026,3.200000000000016,40.700000000000216,0.800000000000004,1299478.000000007
