date,total_cases,new_cases,total_deaths,new_deaths,life_expectancy,population
2020-03-11,2.0000000000000075,0.0,0.0,0.0,80.56000000000033,5401.00000000002
2020-03-12,2.0000000000000084,0.0,0.0,0.0,80.56000000000036,5401.000000000023
2020-03-13,2.000000000000009,0.0,0.0,0.0,80.56000000000039,5401.000000000025
2020-03-14,2.0000000000000093,0.0,0.0,0.0,80.5600000000004,5401.0000000000255
2020-03-15,2.0000000000000098,0.0,0.0,0.0,80.56000000000041,5401.000000000026
2020-03-16,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000027
2020-03-17,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-03-18,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-03-19,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-03-20,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-03-21,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-03-22,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-03-23,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-03-24,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-03-25,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-03-26,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-03-27,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-03-28,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-03-29,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-03-30,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-03-31,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-04-01,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-04-02,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-04-03,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-04-04,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-04-05,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-04-06,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-04-07,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-04-08,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-04-09,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-04-10,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-04-11,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-04-12,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-04-13,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-04-14,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-04-15,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-04-16,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-04-17,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2020-04-18,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
