date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,extreme_poverty,female_smokers,population
2020-10-07,1186647.9052010824,9064.774349048936,8163.259445636177,20871.536933723288,148.2749544344437,140.33921060051438,0.4600000000000025,1.2426934977667146,389054.15244915633,375811.7475737986,0.023779828721558982,42.63471766188454,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,45.16905410780605,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-08,1196077.3303390811,9429.42513799874,8472.43399179017,21023.469377732705,151.93244400941416,143.1321232057189,0.4600000000000025,1.2451578091686057,395794.12524507724,382442.86654654215,0.024469325322681878,41.7633136181006,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,45.544562074067265,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-09,1205903.4570788117,9826.126739730485,8797.275127326804,21179.709305439184,156.23992770647908,146.17437698735338,0.4600000000000025,1.2461789580399985,402498.19317427394,389049.68038825237,0.02517293775413168,40.914723416548995,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,45.85517010112259,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-10,1216139.3476895243,10235.890610712555,9135.564523904943,21340.726678497645,161.0173730584633,149.4928018096814,0.4600000000000025,1.2458234557633554,409326.4183885708,395596.9116163353,0.025873077588384835,40.09320481192699,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,46.09286577881551,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-11,1226772.069477552,10632.721788027968,9484.073094286188,21506.712769054262,165.98609055661439,153.0975911762658,0.4600000000000025,1.244175768939519,416355.6720816679,402081.6943295759,0.026550897396201402,39.30365926505389,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,46.253773768500835,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-12,1237718.5836692518,10946.514191699725,9839.609969712717,21676.71961234341,170.00684328914818,156.96586371186993,0.4600000000000025,1.2413440115785905,423478.8147270563,408501.00768965186,0.027188221528081927,38.54938633631471,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,46.33869393335695,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-13,1248990.9697655153,11272.386096263499,10201.119177995606,21851.06651921234,174.34690686892992,161.11311724091627,0.4600000000000025,1.23743738812803,430444.1123488912,414828.54340460215,0.02776899420036013,37.830630573179846,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,46.353504936119904,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-14,1260616.7042472153,11625.734481699903,10566.970470762397,22030.41281765751,179.34629844516897,165.5518825331438,0.4600000000000025,1.2325581639143823,437013.5477070472,421035.8490369687,0.028280365559772397,37.14680938754492,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,46.30596273570343,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-15,1272623.841873196,12007.137625980828,10935.214906077632,22215.482156876,185.06933921849242,170.28574722629637,0.4600000000000025,1.2268281251982318,443213.83421273594,427109.2603071389,0.02871350623188493,36.49799327207438,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,46.206354404718816,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-16,1285029.9016537676,12406.059780571612,11303.776535408273,22406.85573530409,191.3735784280907,175.3048737681388,0.4600000000000025,1.2203426517525864,449042.1599301839,433045.9231392107,0.029064218232414063,35.88545035159947,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,46.07104343766975,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
