date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_boosters_per_hundred,reproduction_rate,icu_patients,hosp_patients,total_vaccinations_per_hundred,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_70_older,extreme_poverty,diabetes_prevalence,population,excess_mortality_cumulative,excess_mortality
2020-08-29,21683.534336357625,257.71525138007894,238.9994495989257,800.9551779286927,1.528989386838911,1.5448103575233745,2392.090010269787,0.010000000000000054,1.2284449617774422,24.91999751949126,134.0626086370976,0.3600000000000019,11114.424686478615,10613.771323601672,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,37.959800271666694,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.5962075785873044,3.325414132661991
2020-08-30,21946.420209281823,262.8858729241999,245.1445442127693,802.4908178356609,1.5356399069682287,1.5388611618076913,2421.0909918652396,0.010000000000000054,1.2195939023285585,25.431109968965607,136.67638440283957,0.3600000000000019,11235.868304774944,10783.925131356731,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,37.93724839379532,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.6086453413419013,3.405404975708522
2020-08-31,22210.996314039618,264.5761047577915,250.60643498569243,804.0343221679556,1.5435043322946935,1.5361423160875094,2450.278473375339,0.010000000000000054,1.2130150776837185,25.94329045991752,139.26795410691335,0.3600000000000019,11350.427828451942,10941.068735395393,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,37.90132026431874,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.6224943486050047,3.5764593555693738
2020-09-01,22477.313589763748,266.3172757241294,255.4112792127668,805.5883305076743,1.5540083397187598,1.53694254831321,2479.658078528599,0.010000000000000054,1.2091391363170891,26.46669538210689,141.89038057695316,0.3600000000000019,11457.96891594143,11085.021105521997,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,37.85051670114797,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.6378107143579932,3.827040218034503
2020-09-02,22746.971245975074,269.6576562113263,259.78048785172155,807.1570041832779,1.5686736756035518,1.5414986048354269,2509.406233427804,0.010000000000000054,1.2082405836534615,27.006388698829724,144.55829933058192,0.3600000000000019,11561.285591287053,11216.236886025807,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,37.78416176632645,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.6546148461849701,4.142737938943744
2020-09-03,23022.378208236994,275.40696226192114,264.0530093923468,808.7448378174854,1.5878336342075139,1.5499161320363979,2539.7886892919296,0.010000000000000054,1.21038696650545,27.574151575835327,147.32468765242922,0.3600000000000019,11657.134345372222,11335.934855857446,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,37.702495920737135,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.6728837498386547,4.50710793753961
2020-09-04,23306.199202396267,283.8209941592726,268.62704275854617,810.355767988196,1.6109301707105828,1.5621103375534804,2571.0994145125837,0.010000000000000054,1.2154686347045578,28.188289829258565,150.3233638324055,0.3600000000000019,11748.078344678828,11446.492205241517,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,37.605573621225176,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.6925503366194575,4.902737292613576
2020-09-05,23600.93931776362,294.74011536735406,273.9163219848764,811.9925047241799,1.636736735983812,1.5777614861967866,2603.614763696335,0.010000000000000054,1.2232186382779353,28.860593583967237,153.70748732162173,0.3600000000000019,11828.03265960804,11548.439661364897,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,37.49575794701137,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.7135079828644465,5.3124831107474755
2020-09-06,23908.63242949922,307.69311173560004,280.31732972395184,813.6560301268464,1.6635254026665947,1.5962815218874113,2637.559104446463,0.010000000000000054,1.233204379484148,29.583389596508113,157.64121665475886,0.3600000000000019,11893.94852508743,11642.449962571845,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,37.37729211895282,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.7356190285187303,5.720839708626228
2020-09-07,24227.122221284113,318.4897917848938,288.0192157803593,815.3363988071592,1.680368680312812,1.6160705467161427,2672.6945584576697,0.010000000000000054,1.244860621393979,30.40341162207408,162.29393770115342,0.3600000000000019,11949.499548308155,11728.026111230774,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,37.253646206215315,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.7587262300186546,6.11540240590407
2020-09-08,24557.961413862282,330.83919257816666,297.23651897812704,817.0357832682664,1.6993844611072682,1.6370580813363982,2709.192417227225,0.010000000000000054,1.2575304046363072,31.3631922007185,167.79380492421697,0.3600000000000019,12001.372544230486,11805.646264095365,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,37.12756012331054,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.7826862368320271,6.488245312600563
2020-09-09,24904.324647985628,346.3632341233476,308.194304715173,818.7613073930238,1.725524124757409,1.6596639553138717,2747.4028906515155,0.010000000000000054,1.2705139961081309,32.48422349766239,174.21351788191544,0.3600000000000019,12061.700222652518,11877.122383915108,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,37.003108844907004,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.8073387380174097,6.832152194811502
2020-09-10,25269.857852505094,365.53320451946666,321.0692954400648,820.5221925680398,1.760885175016023,1.6845609916954902,2787.7281747759707,0.010000000000000054,1.283126124101139,33.791674410577166,181.6162793293425,0.3600000000000019,12136.950166989405,11945.65406977216,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,36.884919384165116,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.832501929586565,7.14066611304926
2020-09-11,25657.815270438972,387.9574179338799,335.94571850959017,822.3276172767097,1.8054247086699062,1.712497020436132,2830.527252607516,0.010000000000000054,1.294686383638235,35.31638024232207,190.06801104839695,0.3600000000000019,12238.70863364543,12015.729159310391,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,36.77758352648846,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.8579751174272507,7.40818321208403
2020-09-12,26070.41222852416,412.5969580851876,352.7821920819346,824.1851117939912,1.8574945172813595,1.744161388468666,2876.044494723902,0.010000000000000054,1.304552926060934,37.08166139376488,199.60663207427476,0.3600000000000019,12369.466640069255,12093.061785449197,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,36.68521737983731,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.8835466718962774,7.630079624410712
2020-09-13,26508.339714379585,437.92748585542347,371.3868895365647,826.0993542074854,1.9142424134943128,1.7800848422564794,2924.356109730714,0.010000000000000054,1.3121464333950885,39.09044772599599,210.18176785014725,0.3600000000000019,12533.826547602057,12184.459655182583,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,36.611131037463686,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.9090059961652606,7.802863208935066
2020-09-14,26969.25199005105,460.9122756714649,391.7327573269555,828.0485783576191,1.9492241501336658,1.8185854481112376,2975.203288826805,0.010000000000000054,1.3169981573022975,41.32276468913184,221.6811869089424,0.3600000000000019,12741.449435588438,12297.583138284175,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,36.55758082496271,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.9341585048808958,7.9243439160742914
2020-09-15,27454.450159312728,485.1981692616796,413.7838569415651,830.0385830894825,1.9900047318633423,1.8601813291344975,3028.7295587338767,0.010000000000000054,1.3187250239237192,43.748085152272346,233.98671435753135,0.3600000000000019,12980.157875010675,12437.399296182446,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,36.52558348556113,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.9588410598408377,7.992905157482362
2020-09-16,27965.049513472954,510.599354160223,437.2460059899496,832.0880194114892,2.0494363220067533,1.9065183497920524,3085.0579612288216,0.010000000000000054,1.3170528177165468,46.328500838994245,246.9709827623312,0.3600000000000019,13244.07092726643,12606.30102352664,0.010000000000000054,72.00000000000037,12268.000000000064,0.14000000000000073,36.510112953537416,106.75000000000054,44.400000000000226,13.750000000000068,0.7000000000000035,6.3500000000000325,8939617.000000045,0.9828898677405429,8.007511447297304
