date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_tests,new_tests,new_tests_smoothed,positive_rate,tests_per_case,life_expectancy,median_age,aged_65_older,aged_70_older,cardiovasc_death_rate,population
2022-03-01,15316.91702737673,14.13987473568832,16.606248708364326,108.01076533712859,0.21563154998125325,0.2923629057990266,177031.2116050502,107134.44192051736,68.94952574025844,69.03046878376017,0.06298983487831557,20.16198583947093,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-02,15330.270689084606,13.353661707874851,15.789210286929372,108.19889494660872,0.18812960948012236,0.266872050066788,177185.55156060756,107203.59726133193,69.15534081456691,68.88639392783315,0.058551522894354065,21.7926270654468,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-03,15342.90030188135,12.629612796743256,14.979385737175066,108.35907748015707,0.16018253354835948,0.24033939630897938,177331.52294566602,107272.90452324538,69.3072619134463,68.87762673223565,0.05418675141446309,23.41708826935017,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-04,15354.908484329584,12.008182448236187,14.20083891503387,108.49211030792016,0.13303282776307962,0.2134003132304419,177470.31181817024,107342.1653833844,69.26086013902793,68.9204857246778,0.05004843460157135,24.988254146421202,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-05,15366.438376821869,11.529892492285752,13.478370298104764,108.6003690916384,0.10825878371823736,0.18675029956407269,177603.57258906425,107411.24111898642,69.07573560200859,68.96027379577089,0.04624608677858645,26.462223253642705,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-06,15377.673692118686,11.235315296816138,12.835278854800308,108.68805962415881,0.08769053252041689,0.161105711098394,177733.4286069568,107479.82534473448,68.58422574804823,68.93108123564534,0.04287945842589205,27.79530027798256,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-07,15388.850097789747,11.176405671060728,12.29654899242539,108.7601462048678,0.07208658070899401,0.13682136477175938,177862.60368905755,107547.5334558684,67.70811113391926,68.76219263326286,0.040035805842689925,28.93828193117604,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-08,15400.031335462565,11.181237672817216,11.873919339664887,108.81770176741958,0.05755556255178431,0.1142575878968545,177991.83456058786,107613.98734141665,66.45388554824173,68.39472139802416,0.037811437446012314,29.836974215027197,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-09,15411.252848720409,11.22151325784499,11.56933543235049,108.86266223377427,0.0449604663546915,0.09386319738676503,178121.5308986247,107678.83501155714,64.84767014049619,67.77167130061906,0.036231234839518976,30.456491165472123,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-10,15422.527403185448,11.274554465038573,11.375736706777428,108.89761076712142,0.03494853334714339,0.0760612635862923,178251.84028095004,107741.87755149283,63.04253993568897,66.87291960345405,0.035286063492276636,30.78759138638597,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
