date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,life_expectancy,population
2022-02-19,5987.627601062672,8.842447997435704,9.652573659578728,58.35659332829629,0.7257380148091812,0.7897580771648968,156155.52456715362,11.48286940472568,0.024840478386170588,79.07000000000042,31332.000000000167
2022-02-20,5996.180316181628,8.55271511895591,9.358804679073199,59.02027305052094,0.6636797231301574,0.7729305488238998,156378.5776945962,11.293503055483512,0.024258025240823832,79.07000000000042,31332.000000000167
2022-02-21,6004.483217097444,8.302900915816814,9.090859003810404,59.61294234445188,0.592669294610062,0.742849495328333,156595.11573119301,11.075056186247426,0.023537410333332835,79.07000000000042,31332.000000000167
2022-02-22,6012.5196203214755,8.036403224031334,8.829946127453807,60.12638419854585,0.5134418546033129,0.6992062876242402,156804.70355566713,10.852946955458048,0.02271883021283094,79.07000000000042,31332.000000000167
2022-02-23,6020.24348059341,7.7238602719343055,8.561506945299481,60.55597108362182,0.42958688545797946,0.6432263058927121,157006.14029570983,10.651830449302016,0.0218534406945295,79.07000000000042,31332.000000000167
2022-02-24,6027.599821175512,7.356340582101998,8.275240260687614,60.901545216401004,0.34557413306568896,0.577283821210097,157197.9921490612,10.493446204785187,0.021000617043198378,79.07000000000042,31332.000000000167
2022-02-25,6034.540056573303,6.940235397791762,7.965122664811131,61.16807875716186,0.26653354097573734,0.5046131567931582,157378.99199932037,10.394519042729176,0.020213294068759508,79.07000000000042,31332.000000000167
2022-02-26,6041.033484576075,6.493428002771754,7.629423446572158,61.36616895798137,0.199900155731803,0.4290920589329426,157548.33912780337,10.367172410682965,0.019513234934245803,79.07000000000042,31332.000000000167
2022-02-27,6047.075905287269,6.042420711193237,7.270715774974376,61.512409523915984,0.14992511679885226,0.35507922519518226,157705.92399743648,10.373585513571385,0.018919186058473647,79.07000000000042,31332.000000000167
2022-02-28,6052.740203044323,5.664297757053628,6.893729623732406,61.629669133887305,0.12002302311950123,0.28711597998235966,157853.64740370138,10.376439943194066,0.018430178166996825,79.07000000000042,31332.000000000167
2022-03-01,6058.005216924492,5.2650138801690245,6.497832124069513,61.72257505662112,0.09497848259495885,0.227037696040422,157990.95746971224,10.370112762825428,0.018061321408053072,79.07000000000042,31332.000000000167
2022-03-02,6062.835360657178,4.830143732686566,6.084516950194999,61.794840148315956,0.07381951159069233,0.17603263531409158,158116.92612329283,10.395166989701503,0.017834937403809707,79.07000000000042,31332.000000000167
2022-03-03,6067.197480415323,4.362119758144535,5.656895307992086,61.84965305887765,0.055978725483581626,0.13457263421019702,158230.68874049827,10.546359081965864,0.017762919277808823,79.07000000000042,31332.000000000167
2022-03-04,6071.0734981589485,3.8760177436245646,5.219314176533824,61.88997088659529,0.04198404411268622,0.10236111754517199,158331.7738782569,10.973311651487343,0.01784610671756802,79.07000000000042,31332.000000000167
2022-03-05,6074.469894142814,3.396395983865808,4.777069989220023,61.91873866914824,0.031488033084514665,0.07829410900567926,158420.35057385126,11.87447307281074,0.018061212229514116,79.07000000000042,31332.000000000167
2022-03-06,6077.424818797164,2.954924654350554,4.336193894629954,61.939054001861265,0.023616024813385997,0.060430988994078456,158497.41381952894,13.53258395780782,0.018386730115897733,79.07000000000042,31332.000000000167
2022-03-07,6080.0046031088705,2.579784311706679,3.8957276769517835,61.95429050139603,0.017712018610039498,0.04597256301252717,158564.69356341875,16.253801252130945,0.01882236820747924,79.07000000000042,31332.000000000167
2022-03-08,6082.209932616082,2.205329507212461,3.458785091909057,61.96571787604711,0.013284013957529622,0.034479422259395376,158622.2076992288,20.323463414857784,0.01936790737732892,79.07000000000042,31332.000000000167
2022-03-09,6084.056027354765,1.8460947386834252,3.032619846727529,61.97428840703542,0.009963010468147217,0.025859566694546532,158670.35316291568,25.973075906327622,0.020019951218193874,79.07000000000042,31332.000000000167
2022-03-10,6085.573533121124,1.5175057663590465,2.6263446523371803,61.980716305276644,0.0074722578511104126,0.0193946750209099,158709.9291795561,33.35571190712136,0.020769488300523265,79.07000000000042,31332.000000000167
2022-03-11,6086.80918991842,1.2356567972967578,2.2492205125237335,61.98553722895757,0.005604193388332809,0.014546006265682424,158742.15469850053,42.52772446039929,0.02160006386598718,79.07000000000042,31332.000000000167
2022-03-12,6087.826333292087,1.017143373667462,1.9093736907922843,61.98915292171826,0.004203145041249606,0.010909504699261819,158768.68146973857,53.435192181757245,0.0225111338723411,79.07000000000042,31332.000000000167
2022-03-13,6088.705270331065,0.8789370389771646,1.6128334355150287,61.99186469128878,0.0031523587809372047,0.008182128524446365,158791.60385117293,65.99341094304076,0.02351247128337674,79.07000000000042,31332.000000000167
2022-03-14,6089.543561668798,0.8382913377331976,1.3640707779937382,61.99389851846667,0.0023642690857029035,0.006136596393334774,158813.4661640748,80.0667130230532,0.024609466584704538,79.07000000000042,31332.000000000167
2022-03-15,6090.369694522455,0.8261328536554262,1.1670592244132099,61.99542388885009,0.0017732018142771777,0.00460244729500108,158835.0113360492,95.42156030058034,0.025805839434326766,79.07000000000042,31332.000000000167
2022-03-16,6091.203337472328,0.8336429498731158,1.0224356594217374,61.99656791663765,0.0013299013607078834,0.00345183547125081,158856.7523118303,111.71453803409742,0.027082563156869875,79.07000000000042,31332.000000000167
2022-03-17,6092.056413899341,0.8530764270137586,0.9275264860013395,61.997425937478326,0.0009974260205309125,0.0025888766034381076,158879.00004835258,128.4980075979715,0.02839466315627559,79.07000000000042,31332.000000000167
2022-03-18,6092.9339070631695,0.8774931638285168,0.8763672303704303,61.998069453108826,0.0007480695153981844,0.0019416574525785808,158901.88451105455,145.24268798677883,0.029680935958027684,79.07000000000042,31332.000000000167
2022-03-19,6093.834463910831,0.900556847661305,0.8597172456608232,61.998552089831705,0.0005610521365486383,0.0014562430894339356,158925.37042110626,161.37298237663904,0.030896448574855656,79.07000000000042,31332.000000000167
2022-03-20,6094.750847933131,0.9163840223006019,0.8650707396754829,61.99891406737386,0.00042078910241147874,0.0010921823170754518,158949.26906582993,176.21506322074723,0.03199020973430921,79.07000000000042,31332.000000000167
2022-03-21,6095.64002670616,0.8891787730279734,0.872341516295075,61.999185550530484,0.00031559182680860904,0.0008191367378065889,158972.45816912057,189.059859147946,0.032902159563175395,79.07000000000042,31332.000000000167
2022-03-22,6096.503759525426,0.8637328192667795,0.8777116963680431,61.99938916289795,0.00023669387010645678,0.0006143525533549416,158994.98361843728,199.25315227951188,0.03357351689280823,79.07000000000042,31332.000000000167
2022-03-23,6097.364697472132,0.860937946706065,0.8816089177188261,61.999541872173545,0.00017752040257984258,0.0004607644150162062,159017.43616664008,206.2631512167448,0.033954539738125934,79.07000000000042,31332.000000000167
2022-03-24,6098.257281992278,0.8925845201459044,0.8872522603641047,61.99965640413024,0.00013314030193488195,0.0003455733112621547,159040.7140634095,209.7311707816604,0.034010345656858884,79.07000000000042,31332.000000000167
2022-03-25,6099.220918830997,0.9636368387196432,0.8995616904249867,61.99974230309777,9.985522645116146e-05,0.00025917998344661603,159065.8450288114,209.5096418225093,0.03372527701898552,79.07000000000042,31332.000000000167
2022-03-26,6100.294858483308,1.073939652310581,0.924340143061146,61.99980672732341,7.48914198383711e-05,0.00019438498758496202,159093.85273347044,205.6906185679165,0.03310617495880932,79.07000000000042,31332.000000000167
2022-03-27,6101.514356532174,1.219498048864483,0.9676600846714266,61.999855045492644,5.6168564878778324e-05,0.0001457887406887215,159125.65665870035,198.58178099122526,0.03217222979699973,79.07000000000042,31332.000000000167
2022-03-28,6102.881323313813,1.3669667816386686,1.0359454513510182,61.99989128411957,4.212642365908374e-05,0.00010934155551654113,159161.3066512653,188.59608041051678,0.030958357868111824,79.07000000000042,31332.000000000167
2022-03-29,6104.417311166686,1.535987852874124,1.132024860976097,61.99991846308976,3.1594817744312805e-05,8.200616663740585e-05,159201.36480373685,176.23623290000154,0.02950399787748985,79.07000000000042,31332.000000000167
2022-03-30,6106.151331791312,1.7340206246265077,1.2568061376519197,61.99993884731741,2.3696113308234606e-05,6.150462497805439e-05,159246.5877356406,162.07420117791017,0.0278552123706255,79.07000000000042,31332.000000000167
2022-03-31,6108.110719270125,1.959387478812483,1.4092717008472164,61.99995413548814,1.7772084981175954e-05,4.6128468733540795e-05,159297.68830431634,146.7099495259667,0.02606464780414886,79.07000000000042,31332.000000000167
2022-04-01,6110.31427733237,2.2035580622444666,1.5864751072449823,61.99996560161619,1.3329063735881967e-05,3.4596351550155596e-05,159355.15688806295,130.72805037976926,0.024202493610060605,79.07000000000042,31332.000000000167
2022-04-02,6112.767139802776,2.45286247040669,1.7835384571305726,61.999974201212225,9.996797801911476e-06,2.5947263662616697e-05,159419.12734849734,114.6453267311748,0.022339491409872562,79.07000000000042,31332.000000000167
2022-04-03,6115.4569159380635,2.689776135287246,1.9936504491827747,61.99998065090925,7.497598351433607e-06,1.9460447746962523e-05,159489.27650232345,98.899508946248,0.02052045566147684,79.07000000000042,31332.000000000167
2022-04-04,6118.397438084778,2.940522146714309,2.2185145013990435,61.99998548818202,5.623198763575205e-06,1.4595335810221893e-05,159565.96506129357,83.92046234963433,0.01879111744100099,79.07000000000042,31332.000000000167
2022-04-05,6121.588770224871,3.1913321400939147,2.4550584681630556,61.999989116136604,4.217399072681404e-06,1.094650185766642e-05,159649.1946805858,70.09159110611719,0.017193047195165755,79.07000000000042,31332.000000000167
2022-04-06,6124.992983615655,3.4042133907847276,2.693714180792626,61.99999183710254,3.163049304511053e-06,8.209876393249815e-06,159737.97617091145,57.72089113178572,0.01575984680555339,79.07000000000042,31332.000000000167
2022-04-07,6128.546240620606,3.5532570049502192,2.9214506323624128,61.999993877826995,2.3722869783832897e-06,6.157407294937361e-06,159830.64464499053,47.01923977741074,0.014514293636808883,79.07000000000042,31332.000000000167
2022-04-08,6132.167857582464,3.6216169618574665,3.1240488663209423,61.99999540837033,1.7792152337874674e-06,4.61805547120302e-06,159925.09587740828,38.084113090976615,0.013466198572790904,79.07000000000042,31332.000000000167
2022-04-09,6135.767101978066,3.59924439560125,3.2878081429533816,61.999996556277836,1.3344114253406006e-06,3.463541603402265e-06,160018.96357450762,30.887373764580243,0.012610799543684981,79.07000000000042,31332.000000000167
2022-04-10,6139.248290284463,3.4811883063971285,3.4008255642286165,61.99999741720846,1.0008085690054505e-06,2.5976562025516987e-06,160109.75232680855,25.26737259880688,0.01192755667133841,79.07000000000042,31332.000000000167
