date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,handwashing_facilities,population
2020-03-11,8.66714406916616,0.18701884415200604,0.08642681407527794,4.000000000000015,0.0,0.0,0.010000000000000038,1.4600000000000055,129.00000000000048,296.0000000000011,0.11000000000000043,9.400000000000036,0.010000000000000038,1439.0000000000055,412.0000000000016,0.0,3.9096628862049005,76.4000000000003,18.700000000000074,19.35000000000008,28160548.00000011
2020-03-12,8.596188691822917,0.32799845761303587,0.13415075050474576,4.000000000000017,0.0,0.0,0.010000000000000044,1.4600000000000062,129.00000000000054,296.0000000000012,0.11000000000000049,9.400000000000041,0.010000000000000044,1439.0000000000061,412.00000000000176,0.0,5.568538147614921,76.40000000000033,18.70000000000008,19.350000000000087,28160548.00000012
2020-03-13,8.680011589972565,0.5508792569137216,0.21023879009252233,4.000000000000018,0.0,0.0,0.010000000000000047,1.4600000000000066,129.00000000000057,296.0000000000013,0.11000000000000051,9.400000000000045,0.010000000000000047,1439.0000000000066,412.0000000000019,0.0,7.629227948138487,76.40000000000036,18.700000000000088,19.350000000000094,28160548.000000127
2020-03-14,9.005823172117445,0.8500534310498703,0.32339402469608935,4.000000000000019,0.0,0.0,0.010000000000000049,1.460000000000007,129.0000000000006,296.00000000000136,0.11000000000000054,9.400000000000047,0.010000000000000049,1439.000000000007,412.000000000002,0.0,10.13258967474319,76.40000000000038,18.70000000000009,19.350000000000097,28160548.000000134
2020-03-15,9.651878691305294,1.2112957293960034,0.48051950042252073,4.0000000000000195,0.0,0.0,0.01000000000000005,1.4600000000000073,129.00000000000063,296.0000000000014,0.11000000000000057,9.400000000000048,0.01000000000000005,1439.0000000000073,412.00000000000205,0.0,13.087949204990842,76.40000000000039,18.700000000000095,19.3500000000001,28160548.00000014
2020-03-16,10.534933582150611,1.4790438720308452,0.6762264061830849,4.00000000000002,0.0,0.0,0.010000000000000052,1.4600000000000075,129.00000000000065,296.0000000000015,0.1100000000000006,9.400000000000048,0.010000000000000052,1439.0000000000075,412.0000000000021,0.0,16.47017247258609,76.4000000000004,18.700000000000095,19.3500000000001,28160548.00000014
2020-03-17,11.71012067788641,1.7961284114568805,0.9156904898344717,4.00000000000002,0.0,0.0,0.010000000000000054,1.4600252100840412,129.00000000000065,296.0000000000015,0.1100000000000006,9.400000000000048,0.010000000000000054,1439.0000000000077,412.00000000000216,0.0,20.249294189604445,76.4000000000004,18.700000000000095,19.3500000000001,28160548.00000014
2020-03-18,13.309044936339848,2.232471227791114,1.2081240406143827,4.00000000000002,0.0,0.0,0.010000000000000054,1.460098739495806,129.00000000000065,296.0000000000015,0.1100000000000006,9.400000000000048,0.010000000000000054,1439.000000000008,412.00000000000216,0.0,24.383286414666216,76.4000000000004,18.700000000000095,19.3500000000001,28160548.00000014
2020-03-19,15.493354484413935,2.814657234676567,1.5635059263883924,4.00000000000002,0.0,0.0,0.010000000000000054,1.4602117404654247,129.00000000000065,296.0000000000015,0.1100000000000006,9.400000000000048,0.010000000000000054,1439.000000000008,412.00000000000216,0.0,28.793415845259577,76.4000000000004,18.700000000000095,19.3500000000001,28160548.00000014
2020-03-20,18.41991890144882,3.536768620900775,1.9901291215850931,4.00000000000002,0.0,0.0,0.010000000000000054,1.4603147523432527,129.00000000000065,296.0000000000015,0.1100000000000006,9.400000000000048,0.010000000000000054,1439.000000000008,412.00000000000216,0.0,33.4041231315207,76.4000000000004,18.700000000000095,19.3500000000001,28160548.00000014
