date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,people_vaccinated_per_hundred,total_boosters,new_vaccinations,new_people_vaccinated_smoothed_per_hundred,population
2020-03-11,80790.95137370769,255.12820077235568,282.8889638508508,3010.052949559158,41.504550586436395,44.50246872800762,0.010000000000000038,0.0,1.0000000000000038,190857.00000000073,0.0,2525921300.000009
2020-03-12,80915.99069708091,240.885045752721,266.8702680757939,3029.9860083317326,37.50044441513935,42.05820108635983,0.010000000000000044,0.0,1.0000000000000042,190857.00000000081,0.0,2525921300.00001
2020-03-13,81074.05892455611,241.56202284072077,253.8733860923984,3051.4342379876534,34.11476446843276,39.54915824851264,0.010000000000000047,0.0,1.0000000000000044,190857.00000000087,0.0,2525921300.000011
2020-03-14,81274.26455540815,257.39684033674655,245.84390269147104,3074.184615142328,31.42564995119532,37.065777057425244,0.010000000000000049,0.0,1.0000000000000047,190857.0000000009,0.0,2525921300.0000114
2020-03-15,81523.2848418956,287.49000258610926,244.61875620412397,3097.8546378273386,29.50201057264022,34.71207034963006,0.01000000000000005,0.0,1.0000000000000049,190857.00000000093,0.0,2525921300.000012
2020-03-16,81798.24381888141,303.81000355561343,249.24359834249216,3121.3409783705083,27.860331458891963,32.521929943864464,0.010000000000000052,0.0,1.000000000000005,190857.00000000096,0.0,2525921300.0000124
2020-03-17,82105.7623082465,329.1552887042025,260.9198312714138,3144.5649774753647,26.504492291647992,30.548870211615252,0.010000000000000054,0.0,1.000000000000005,190857.000000001,0.0,2525921300.000013
2020-03-18,82467.70654049332,378.17103989596126,282.0603222253772,3167.853872085196,25.749264499925424,28.87942075825898,0.010000000000000054,0.0,1.000000000000005,190857.00000000102,0.0,2525921300.000013
2020-03-19,82912.93045482066,457.39463415597316,315.4689919922397,3191.7717712261515,25.763176558525224,27.607973778131885,0.010000000000000054,0.0,1.000000000000005,190857.00000000102,0.0,2525921300.000013
2020-03-20,83471.0824241796,567.282594880071,363.7255062760163,3216.99288788956,26.605074726586267,26.817919570832302,0.010000000000000054,0.0,1.000000000000005,190857.00000000102,0.0,2525921300.000013
2020-03-21,84167.96029906566,703.7308052421491,428.72379421897165,3244.2064629436777,28.251543601500835,26.56749817844747,0.010000000000000054,0.0,1.000000000000005,190857.00000000102,0.0,2525921300.000013
2020-03-22,85022.02769036271,859.2146682496486,511.325937293189,3274.0454580674914,30.61747153435128,26.87918811347365,0.010000000000000054,0.0,1.000000000000005,190857.00000000102,0.0,2525921300.000013
2020-03-23,85999.74571929123,981.5547309868505,608.8419473137844,3305.35660486284,31.895004103252198,27.569861350134367,0.010000000000000054,0.0,1.000000000000005,190857.00000000102,0.0,2525921300.000013
2020-03-24,87117.740511188,1120.8455084857767,722.4619790696966,3338.620798831362,33.70208694944954,28.683822644792155,0.010000000000000054,0.0,1.000000000000005,190857.00000000102,0.0,2525921300.000013
2020-03-25,88413.08540924764,1297.4768269040894,854.1823744121642,3375.2763618901718,36.9839827945048,30.35307803724639,0.010000000000000054,0.0,1.000000000000005,190857.00000000102,0.0,2525921300.000013
2020-03-26,89929.43028188737,1517.9776428025045,1005.9874138084788,3417.1951027039945,42.165055615594255,32.744405974605826,0.010000000000000054,0.0,1.000000000000005,190857.00000000102,0.0,2525921300.000013
2020-03-27,91706.59850327087,1778.4812605440281,1179.2356300072988,3466.2893619342713,49.27899533160529,36.01966065419296,0.010000000000000054,0.0,1.000000000000005,190857.00000000102,0.0,2525921300.000013
2020-03-28,93772.78468870086,2067.324245343384,1374.1995432876358,3524.2172961759834,58.066486317708595,40.30599953072236,0.010000000000000054,0.0,1.000000000000005,190857.00000000102,0.0,2525921300.000013
2020-03-29,96138.7029961638,2366.995608054084,1589.7204628955942,3592.1618409102734,68.0484587912874,45.673553946684386,0.010000000000000054,0.0,1.000000000000005,190857.00000000102,0.0,2525921300.000013
2020-03-30,98724.31557937898,2586.71718115369,1819.122167953858,3667.639722634876,75.55581726735062,51.92600143286406,0.010000000000000054,0.0,1.000000000000005,190857.00000000102,0.0,2525921300.000013
