date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,new_tests,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,female_smokers,male_smokers,handwashing_facilities,life_expectancy,population
2022-06-21,652658.1388861957,177.1839351563973,150.48997459276939,18936.571365109874,2.396293508982455,2.5256821346998337,21.7419345573217,0.19827733593033392,1757.0000000010723,0.0700000000002728,15.299999999931128,57.75672674033461,12166.459807502222,5590.000438594308,0.010000000001796825,13.890790413242454,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-06-22,652846.7707774467,188.63189125094402,160.0657618107699,18938.922415235145,2.35105012527272,2.489378763274394,21.791780815334857,0.19759601099752447,1757.0000000008067,0.0700000000002047,15.299999999948366,57.76884674515777,12971.699830453674,5202.678690290274,0.010000000001347632,13.89059280993186,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-06-23,653052.1252065507,205.35442910401315,170.8147798260803,18941.252170185275,2.3297549501277817,2.451572857200466,21.84283819715082,0.19686216661918435,1757.0000000006075,0.07000000000015363,15.299999999961294,57.779396347999445,13964.309419992473,4820.253862578731,0.010000000001010739,13.890444607448915,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-06-24,653279.6270012294,227.50179467868898,183.28585070666458,18943.590468944734,2.338298759460739,2.4179642259643472,21.897152957587032,0.19608796303807957,1757.0000000004582,0.07000000000011533,15.299999999970993,57.78859957423265,15129.811368965762,4484.700287043943,0.010000000000758067,13.890333455586706,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-06-25,653533.9647725779,254.33777134838374,197.98324291041246,18945.969790945812,2.379322001075842,2.394345179815862,21.95675259641852,0.19529819593725417,1757.000000000346,0.0700000000000866,15.299999999978265,57.796809501525985,16441.033243716192,4239.984701385095,0.010000000000568565,13.89025009169005,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-06-26,653818.426068122,284.46129554425534,215.3051335402758,18948.422818322506,2.453027376695702,2.386160468572307,22.023714368820986,0.19452228948687755,1757.0000000002622,0.07000000000006505,15.299999999983719,57.80450914849197,17857.611091568306,4122.747995980649,0.010000000000426437,13.890187568767557,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-06-27,654120.6794088817,302.25334075967874,234.2443373885621,18950.947834491744,2.525016169238005,2.396387319755026,22.100122576720427,0.19379879533106018,1757.0000000001992,0.07000000000004888,15.299999999987811,57.81230369163963,19353.72160835938,4162.835108168427,0.010000000000319842,13.890140676575687,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-06-28,654444.2657622213,323.58635333963673,255.15896635751764,18953.563267594756,2.6154331030112483,2.4279784342248054,22.187787291453148,0.19317715079693792,1757.0000000001519,0.07000000000003676,15.299999999990881,57.82045405924601,20914.484480973995,4379.611576763044,0.010000000000239895,13.890105507431786,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-06-29,654800.5633003353,356.2975381139719,279.1112784203688,18956.302169506693,2.7389019119384663,2.483683243897438,22.288035050268718,0.19271738152045742,1757.0000000001164,0.07000000000002767,15.299999999993183,57.82917063954956,22508.776278378984,4779.437270161172,0.010000000000179936,13.89007913057386,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-06-30,655204.4349186913,403.8716183560033,307.47102862781753,18959.201772572836,2.8996030661451924,2.565384443265681,22.40155353321516,0.19250086742670403,1757.0000000000898,0.07000000000002085,15.29999999999491,57.83860624635354,24096.867568585767,5354.001950681652,0.010000000000134967,13.890059347930414,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-01,655670.963874863,466.52895617165757,341.61798236291287,18962.295657160746,3.0938845879088346,2.6736003880407324,22.528276725310793,0.1926010868984058,1757.0000000000698,0.07000000000001574,15.299999999996203,57.848859061900704,25636.177545416904,6079.314520541955,0.010000000000101239,13.89004451094783,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-02,656213.0055176544,542.0416427913169,382.7188002822047,18965.607877324364,3.3122201636207067,2.8071118941333335,22.667621028607748,0.19307217910399208,1757.0000000000548,0.07000000000001191,15.299999999997173,57.859952450456454,27085.61678762581,6926.34469777558,0.010000000000075943,13.890033383210891,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-03,656839.351083943,626.3455662887054,431.55970202160904,18969.148555052125,3.5406777277575525,2.9626823368895976,22.818699453390153,0.19396234376561552,1757.0000000000437,0.07000000000000903,15.299999999997901,57.87181861801602,28408.766640006612,7863.638064378888,0.010000000000056972,13.890025037408188,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-04,657541.1463446324,701.7952606893809,488.63741775731944,18972.89040788576,3.7418528336332963,3.136650246526285,22.980336749521825,0.1953222749541408,1757.0000000000352,0.07000000000000686,15.299999999998448,57.88443372988018,29576.277143748914,8853.741686616439,0.010000000000042744,13.890018778056161,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-05,658325.9888308734,784.8424862410191,554.5314485797876,18976.847847931153,3.957440045393046,3.3284341942676994,23.15068773621103,0.1971988813933693,1757.0000000000289,0.07000000000000525,15.299999999998857,57.89779870215673,30567.769961478676,9855.980489267455,0.010000000000032072,13.890014083542141,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-06,659205.5438855994,879.5550547260148,629.2828084775051,18981.039602819754,4.191754888601999,3.535982885519785,23.32752669112928,0.1996305766882076,1757.000000000024,0.07000000000000403,15.299999999999162,57.91178664781995,31373.26557103885,10829.451220214993,0.010000000000024068,13.890010562656625,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-07,660191.2041811688,985.6602955693998,712.3957404887055,18985.48084949687,4.441246677117311,3.7561442423557465,23.508376018439336,0.20264374699579402,1757.0000000000207,0.07000000000000312,15.299999999999393,57.92617436577085,31994.253660824892,11736.178395768893,0.010000000000018066,13.890007921992488,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-08,661290.834357597,1099.630176428183,802.8390038151408,18990.177314562883,4.696465066015108,3.984942215380262,23.69067373975067,0.20623798154613476,1757.000000000018,0.07000000000000244,15.299999999999567,57.94066780452491,32444.495926286352,12544.39299204324,0.010000000000013564,13.890005941494385,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-09,662506.3295012305,1215.4951436333567,899.0468391574141,18995.120849529172,4.943534966285741,4.217784392627641,23.87197010227048,0.2104118410400151,1757.000000000016,0.07000000000000192,15.299999999999695,57.95495126432736,32750.6281673031,13226.69878411002,0.010000000000010187,13.890004456120808,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-10,663831.7840037518,1325.4545025214,998.9196927164786,19000.286112260026,5.165262730855232,4.449617706235443,24.04989212329076,0.21513386461970135,1757.0000000000143,0.07000000000000153,15.299999999999791,57.96870998532198,32952.61186121749,13760.642591637805,0.010000000000007654,13.890003342090626,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-11,665253.0610635775,1421.2770598257648,1101.7029104552666,19005.60034696169,5.314234701664379,4.673961178836254,24.222097744698228,0.22038174946671557,1757.0000000000132,0.07000000000000126,15.299999999999866,57.98153147320063,33104.07284260847,14130.176853230638,0.010000000000005754,13.89000250656799,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-12,666771.7093723448,1518.6483087671932,1206.5323686850202,19011.063576316963,5.46322935527221,4.88876290093392,24.3865268784132,0.22612341617243523,1757.0000000000125,0.07000000000000103,15.299999999999919,57.993163795592224,33217.42747724836,14326.83323785448,0.01000000000000433,13.890001879926013,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-13,668385.8786517547,1614.1692794099158,1311.4772629391068,19016.691492838912,5.627916521948671,5.09359496173794,24.54159180669986,0.23232753304076825,1757.0000000000118,0.07000000000000087,15.299999999999962,58.003498758597466,33302.151452639795,14350.353322056038,0.010000000000003261,13.89000140994453,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-14,670089.7256339366,1703.846982181874,1414.075317275438,19022.505400495404,5.813907656490601,5.289339563255629,24.686322098630065,0.2389588042731428,1757.0000000000114,0.07000000000000076,15.299999999999994,58.01256067435958,33365.46806675467,14208.919370986134,0.01000000000000246,13.890001057458417,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-15,671872.9685467203,1783.2429127837902,1511.7341912532845,19028.524670927494,6.0192704320900035,5.477953605861252,24.820475413662308,0.24599803016025504,1757.0000000000111,0.07000000000000067,15.300000000000015,58.020488517589875,33412.85105006605,13919.077892816218,0.01000000000000186,13.890000793093831,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-16,673720.5529775913,1847.584430870974,1602.032535165887,19034.76108561323,6.236414685735256,5.66229212747287,24.944622720557042,0.2534324269511548,1757.000000000011,0.0700000000000006,15.300000000000033,58.02752254296209,33448.388287549584,13505.438817155813,0.010000000000001409,13.890000594820393,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-17,675612.4012716559,1891.848294064675,1682.9457814649159,19041.21459249049,6.45350687726202,5.845975882934979,25.05984029741292,0.2612978173045107,1757.0000000000107,0.07000000000000055,15.300000000000047,58.03400726875088,33475.04121566223,12988.706375310316,0.01000000000000107,13.890000446115314,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-18,677534.4960086879,1922.0947370320255,1754.4909967321737,19047.83735031489,6.62275782439772,6.032560936118502,25.167471090175802,0.26962672432292123,1757.0000000000105,0.0700000000000005,15.300000000000058,58.04038572675023,33495.03091174672,12390.464202943644,0.010000000000000817,13.890000334586505,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-19,679479.1959076158,1944.6998989278682,1815.3553310979373,19054.639179510596,6.801829195706186,6.223451568281517,25.268973665771142,0.2784593774374079,1757.0000000000102,0.07000000000000048,15.300000000000065,58.046883394240886,33510.02318381008,11732.533171600118,0.010000000000000626,13.890000250939899,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-20,681433.0035241195,1953.8076165035961,1863.874907502512,19061.645221737046,7.0060422264499795,6.42000803626286,25.36578283959527,0.2878162525350699,1757.0000000000102,0.07000000000000045,15.300000000000068,58.053690941654516,33521.2673878576,11035.874991822273,0.010000000000000484,13.890000188204944,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-21,683379.5952255081,1946.5917013886888,1898.5525348608883,19068.88435263119,7.239130894142603,6.62332487011894,25.45917905877581,0.29770220232955114,1757.0000000000102,0.07000000000000044,15.300000000000072,58.06095446536,33529.700540893245,10319.157617493089,0.010000000000000377,13.890000141153727,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-22,685302.0936718793,1922.4984463711896,1918.4459929362315,19076.380491364176,7.496138732985761,6.834064596351336,25.55016435225901,0.30810955413888974,1757.0000000000102,0.07000000000000042,15.300000000000075,58.068765391914155,33536.02540566998,9597.056125207739,0.010000000000000297,13.890000105865315,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-23,687184.7721769874,1882.678505108065,1923.4592459950013,19084.14608280887,7.765591444697316,7.052333030327508,25.63934320601718,0.31900831298619753,1757.0000000000102,0.07000000000000042,15.300000000000079,58.07715013591095,33540.76905425253,8878.366075806265,0.010000000000000236,13.890000079399007,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-24,689014.3329788953,1829.560801907974,1914.5608530482898,19092.177209165504,8.031126356632244,7.277585745596321,25.726835943620873,0.3303761442419111,1757.0000000000102,0.07000000000000042,15.300000000000079,58.08606092356963,33544.32679068944,8173.927142504352,0.010000000000000191,13.890000059549275,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
