date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,aged_65_older,median_age,cardiovasc_death_rate,male_smokers,population
2020-10-06,408.1725414254155,1.1239557024102085,1.0965596839436245,6.9999999999989315,4.704617385350159e-13,1.2351118141056384e-12,489.3035202272308,8.389999999998718,0.6849222845929602,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-07,409.32501046466655,1.152469039251097,1.1010682762091744,6.999999999999209,3.528463039012619e-13,9.263338605792288e-13,490.68507924605404,8.38999999999905,0.6831815324492461,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-08,410.50956263195235,1.1845521672857713,1.1138361134270829,6.9999999999994165,2.646347279259464e-13,6.947503954344216e-13,492.1051256918133,8.3899999999993,0.681112393680827,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-09,411.7277440489487,1.2181814169963279,1.1336325795758082,6.999999999999572,1.984760459444598e-13,5.210627965758162e-13,493.56549827661763,8.389999999999487,0.6787475143944285,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-10,412.97861346657635,1.2508694176276616,1.1586903364271715,6.999999999999688,1.4885703445834485e-13,3.9079709743186214e-13,495.0650509860676,8.389999999999628,0.6761319027641481,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-11,414.2583944890731,1.279781022496766,1.186724765895041,6.999999999999776,1.1164277584375864e-13,2.930978230738966e-13,496.59923733457407,8.389999999999732,0.6733104655346505,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-12,415.543828187426,1.2854336983528607,1.2129569551581927,6.999999999999842,8.373208188281897e-14,2.1982336730542245e-13,498.1401472963417,8.389999999999812,0.6703033081038006,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-13,416.83600624076405,1.2921780533380152,1.2367463201178384,6.999999999999891,6.279906141211422e-14,1.6486752547906684e-13,499.6890817069047,8.389999999999871,0.6671817473997647,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-14,418.1468172209744,1.3108109802103651,1.2590870510127503,6.999999999999928,4.7099296059085666e-14,1.2365064410930012e-13,501.2602935038379,8.389999999999915,0.6640270668523454,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-15,419.49382332297125,1.3470061019968191,1.281990950832286,6.999999999999956,3.532447204431425e-14,9.273798308197509e-14,502.874844077459,8.389999999999947,0.6609231766744894,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
