date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,aged_70_older,female_smokers,male_smokers,life_expectancy,population
2020-03-11,1.0000000000000038,0.0,0.0,2.0000000000000075,0.0,0.0,0.010000000000000038,1.1500000000000041,14.000000000000053,0.0,13.748727671331583,3.810000000000014,22.600000000000094,2.140000000000008,23.50000000000009,48.80000000000019,64.50000000000024,10142625.00000004
2020-03-12,1.0000000000000042,0.0006140917905623792,0.0,2.0000000000000084,0.0,0.0,0.010000000000000044,1.1500000000000048,14.000000000000059,0.0,13.651295430292501,3.8100000000000156,22.6000000000001,2.1400000000000095,23.5000000000001,48.80000000000021,64.50000000000027,10142625.000000045
2020-03-13,1.0000000000000044,0.0030462184873949706,0.0,2.000000000000009,0.0,0.0,0.010000000000000047,1.1500000000000052,14.000000000000064,0.0,13.602036213960506,3.8100000000000165,22.600000000000108,2.1400000000000103,23.500000000000107,48.800000000000225,64.50000000000028,10142625.000000048
2020-03-14,1.0000000000000047,0.007245879120879156,0.0006493212669683272,2.0000000000000093,0.0,0.0,0.010000000000000049,1.1500000000000055,14.000000000000068,0.0,13.68967131043808,3.8100000000000174,22.600000000000115,2.140000000000011,23.50000000000011,48.80000000000023,64.5000000000003,10142625.00000005
2020-03-15,1.0000000000000049,0.013013594861021398,0.002197398190045257,2.0000000000000098,0.0,0.0,0.01000000000000005,1.1500000000000057,14.00000000000007,0.0,14.008498634735496,3.8100000000000183,22.600000000000122,2.1400000000000112,23.500000000000114,48.80000000000024,64.50000000000031,10142625.000000052
2020-03-16,1.000000000000005,0.02003815348254697,0.004973840497737579,2.00000000000001,0.0,0.0,0.010000000000000052,1.1500000000000057,14.000000000000071,0.0,14.647273297318613,3.810000000000019,22.600000000000122,2.1400000000000112,23.500000000000117,48.800000000000246,64.50000000000033,10142625.000000052
2020-03-17,1.000000000000005,0.027924542713720253,0.009067484445701404,2.00000000000001,0.0,0.0,0.010000000000000054,1.1500000000000057,14.000000000000073,0.0,15.68086803051969,3.810000000000019,22.600000000000122,2.1400000000000112,23.50000000000012,48.80000000000025,64.50000000000033,10142625.000000052
2020-03-18,1.000000000000005,0.03621490024795996,0.014386586184954829,2.00000000000001,0.0,0.0,0.010000000000000054,1.1500000000000057,14.000000000000075,0.0,17.164018508345517,3.810000000000019,22.600000000000122,2.1400000000000112,23.500000000000124,48.80000000000026,64.50000000000033,10142625.000000052
2020-03-19,1.000000000000005,0.04440422625255055,0.020703966788037445,2.00000000000001,0.0,0.0,0.010000000000000054,1.1500000000000057,14.000000000000076,0.0,19.126632336333508,3.810000000000019,22.600000000000122,2.1400000000000112,23.500000000000124,48.80000000000026,64.50000000000033,10142625.000000052
2020-03-20,1.000000000000005,0.05195216775017578,0.02769087101862996,2.00000000000001,0.0,0.0,0.010000000000000054,1.1500000000000057,14.000000000000076,0.0,21.57027079394377,3.810000000000019,22.600000000000122,2.1400000000000112,23.500000000000124,48.80000000000026,64.50000000000033,10142625.000000052
