date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,total_cases_per_million,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,male_smokers,median_age,population
2021-09-04,1.000000000000005,6.623678859309716e-35,1.6627320427872509e-34,2.00000000000001,0.0,4.640000000000024,1.700000000000009,1101.361515307869,0.27920999532409607,38.10000000000021,22.000000000000124,222390.0000000011
2021-09-05,1.000000000000005,4.967759144482287e-35,1.2470490320904382e-34,2.00000000000001,0.0,4.640000000000024,1.700000000000009,1032.0250472759901,0.26051189209746795,38.10000000000021,22.000000000000124,222390.0000000011
2021-09-06,1.000000000000005,3.7258193583617153e-35,9.352867740678286e-35,2.00000000000001,0.0,4.640000000000024,1.700000000000009,967.224797092417,0.24344274260251297,38.10000000000021,22.000000000000124,222390.0000000011
2021-09-07,1.000000000000005,2.7943645187712864e-35,7.014650805508715e-35,2.00000000000001,0.0,4.640000000000024,1.700000000000009,908.2967814004385,0.22819097744315842,38.10000000000021,22.000000000000124,222390.0000000011
2021-09-08,1.000000000000005,2.0957733890784648e-35,5.260988104131536e-35,2.00000000000001,0.0,4.640000000000024,1.700000000000009,856.0007696314544,0.21475409281087585,38.10000000000021,22.000000000000124,222390.0000000011
2021-09-09,1.000000000000005,1.5718300418088484e-35,3.9457410780986515e-35,2.00000000000001,0.0,4.640000000000024,1.700000000000009,810.574656085906,0.20291043062948871,38.10000000000021,22.000000000000124,222390.0000000011
2021-09-10,1.000000000000005,1.1788725313566363e-35,2.9593058085739886e-35,2.00000000000001,0.0,4.640000000000024,1.700000000000009,772.200853085762,0.19241553144011936,38.10000000000021,22.000000000000124,222390.0000000011
2021-09-11,1.000000000000005,8.841543985174773e-36,2.2194793564304915e-35,2.00000000000001,0.0,4.640000000000024,1.700000000000009,741.1890367115428,0.18311126073264306,38.10000000000021,22.000000000000124,222390.0000000011
2021-09-12,1.000000000000005,6.63115798888108e-36,1.6646095173228687e-35,2.00000000000001,0.0,4.640000000000024,1.700000000000009,718.0872364864699,0.17499472544605651,38.10000000000021,22.000000000000124,222390.0000000011
2021-09-13,1.000000000000005,4.97336849166081e-36,1.2484571379921515e-35,2.00000000000001,0.0,4.640000000000024,1.700000000000009,703.733139064918,0.1682696381375484,38.10000000000021,22.000000000000124,222390.0000000011
2021-09-14,1.000000000000005,3.730026368745608e-36,9.363428534941136e-36,2.00000000000001,0.0,4.640000000000024,1.700000000000009,699.2653843568665,0.16334831780807424,38.10000000000021,22.000000000000124,222390.0000000011
2021-09-15,1.000000000000005,2.797519776559206e-36,7.022571401205852e-36,2.00000000000001,0.0,4.640000000000024,1.700000000000009,706.1048074984201,0.16087759259005718,38.10000000000021,22.000000000000124,222390.0000000011
2021-09-16,1.000000000000005,2.0981398324194045e-36,5.266928550904389e-36,2.00000000000001,0.0,4.640000000000024,1.700000000000009,726.5174550097244,0.1619384142227629,38.10000000000021,22.000000000000124,222390.0000000011
2021-09-17,1.000000000000005,1.5736048743145533e-36,3.950196413178292e-36,2.00000000000001,0.0,4.640000000000024,1.700000000000009,762.7998074822459,0.16765048164315516,38.10000000000021,22.000000000000124,222390.0000000011
2021-09-18,1.000000000000005,1.180203655735915e-36,2.9626473098837187e-36,2.00000000000001,0.0,4.640000000000024,1.700000000000009,816.6026190247433,0.17892305838815203,38.10000000000021,22.000000000000124,222390.0000000011
2021-09-19,1.000000000000005,8.851527418019362e-37,2.221985482412789e-36,2.00000000000001,0.0,4.640000000000024,1.700000000000009,888.5111918057278,0.1962797210697181,38.10000000000021,22.000000000000124,222390.0000000011
2021-09-20,1.000000000000005,6.638645563514522e-37,1.6664891118095916e-36,2.00000000000001,0.0,4.640000000000024,1.700000000000009,977.8168295362626,0.21975116119660054,38.10000000000021,22.000000000000124,222390.0000000011
