date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,population_density,median_age,aged_65_older,female_smokers,hospital_beds_per_thousand,population
2022-02-02,9353.315910328325,37.80603032151779,45.28224653087247,93.84935117070815,0.7149221587837293,0.7363427475297417,2743.3507238980837,0.754378107697936,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-03,9388.48997088459,35.17406055626443,42.643514730087176,94.54564298371967,0.6962918130115212,0.7309514691799511,2753.667071527316,0.7391872653241964,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-04,9420.893560904244,32.40359001965472,40.04093905338314,95.21923546985195,0.6735924861322682,0.7210688055048738,2763.1707580734155,0.7243925498334843,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-05,9450.514433768047,29.62087286380377,37.48049743806584,95.86731929792886,0.6480838280769008,0.7070743901661483,2771.858210119384,0.7100406955037502,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-06,9477.511956547769,26.997522779720985,34.95944887040462,96.48883788973637,0.6215185918075148,0.6897232134390917,2779.7761949198584,0.6961845293847625,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-07,9502.377180080523,24.865223532754566,32.443911313436985,97.08863875990099,0.599800870164622,0.6701681372932822,2787.068756241611,0.6828505819125223,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-08,9525.075144271781,22.697964191259548,29.93846548249212,97.6649276801392,0.5762889202382054,0.6485674410436535,2793.7256497603976,0.6700614981667778,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-09,9545.54528839131,20.470144119527422,27.46153075375664,98.21441974200499,0.549492061865791,0.6250761948745315,2799.729128399811,0.6578512302831321,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-10,9563.76037224049,18.215083849180164,25.03841810410225,98.7336816455472,0.519261903542201,0.5998713025877028,2805.071220411045,0.6462638267201068,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-11,9579.770667027828,16.010294787337624,22.696119815956475,99.22013841580241,0.48645677025522915,0.5731702836634669,2809.7666879327217,0.6353277989347157,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-12,9593.737098525571,13.966431497743047,20.45940175595574,99.6728284401648,0.4526900243623984,0.5452453598064243,2813.86274591076,0.6250726106748579,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-13,9605.956104437179,12.21900591160723,18.347872583935146,100.09296974641333,0.4201413062485284,0.5164340198548188,2817.446351288278,0.6155284399065967,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-14,9616.903487506954,10.947383069775245,16.35937809664562,100.48816622383728,0.3951964774239533,0.4871469434625432,2820.65706905768,0.6067138800269102,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-15,9626.639558099523,9.736070592570616,14.507541491036264,100.85743042094856,0.369264197111275,0.4575030647397651,2823.512595426101,0.5986514410479792,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-16,9635.216013112471,8.576455012947685,12.808407572705134,101.19808251189772,0.3406520909491644,0.42759158426911004,2826.028092497181,0.5913434611996891,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-17,9642.697481715428,7.4814686029557596,11.275102382825562,101.50714300868103,0.30906049678330216,0.39747940248754726,2828.2225086101234,0.5847913709482485,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-18,9649.177684654393,6.480202938965371,9.913827918340898,101.78237729529565,0.2752342866146262,0.3672166947228037,2830.123318593989,0.5789870317664554,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-19,9654.79155372998,5.613869075587962,8.72085817211056,102.02307902835616,0.24070173306051731,0.33684109247067456,2831.770078958424,0.5739078562424247,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-20,9659.724321406095,4.932767676115668,7.680286163019578,102.23065768755686,0.20757865920068871,0.3063808193530062,2833.2170942866956,0.5695021591501451,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-21,9664.228422050059,4.504100643964583,6.760191351417889,102.40907923851846,0.17842155096160262,0.2753150262794608,2834.538379215349,0.56570338083643,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-22,9668.36034368688,4.1319216368195955,5.960020695205309,102.55777904750566,0.14869980898720075,0.2437047571045538,2835.750492556312,0.5624670960668837,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-23,9672.16018989187,3.799846204990266,5.278099716620535,102.67706085317948,0.11928180567382013,0.2119779860572455,2836.8651876137474,0.559741563161993,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
2022-02-24,9675.660300789958,3.5001108980865947,4.7097910124169236,102.76836448280655,0.09130362962705224,0.18076839581313464,2837.891941938498,0.5574488679112499,44.300000000000225,19.300000000000104,3.610000000000019,0.200000000000001,0.7000000000000035,3684041.00000002
